idx,replacements_visual,replacements_phonetic,replacements_typo
66,"[('considers', 'cСnsiders')]","[('considers', 'cenesiders')]","[('considers', 'consders')]"
67,"[('focuses', 'fo⌑uses')]","[('focuses', 'ffocusez')]","[('focuses', 'fuoecss')]"
68,"[('geometries', 'geometɼies')]","[('geometries', 'sieomeetriez')]","[('geometries', 'geemotiers')]"
69,"[('constraints', 'coᶮstrᶏints')]","[('constraints', 'constraintse')]","[('constraints', 'contraints')]"
70,"[('employed', 'emploᥡẹd')]","[('employed', ""employeded'"")]","[('employed', 'e)mpl_oye(d')]"
71,"[('linguistic', 'ⅼļnguistіc')]","[('linguistic', 'linggguistik')]","[('linguistic', 'liguistic')]"
72,"[('strategies', 'stᶮaᆣegies')]","[('strategies', 'stratedgeezz')]","[('strategies', 'srategies')]"
73,"[('distinct', 'dȋᵴtinℂt')]","[('distinct', 'distincted')]","[('distinct', 'Distict')]"
74,"[('conditional', 'cõɳdițioñal')]","[('conditional', 'conditionall')]","[('conditional', 'fonditiinal')]"
75,"[('generalization', 'generalïzatlɑn')]","[('generalization', 'ganerallizaytion')]","[('generalization', 'geeralization')]"
76,"[('often', 'ϲftḛn')]","[('often', 'oftehn')]","[('often', 'ofen')]"
77,"[('path', 'patႶ')]","[('path', 'peath')]","[('path', 'ptah')]"
78,"[('induced', '⍸nduced')]","[('induced', 'indused')]","[('induced', 'i{nd)uced')]"
79,"[('present', 'pոesent')]","[('present', 'presenttt')]","[('present', 'psneret')]"
80,"[('refer', 'ɼefer')]","[('refer', 'repher')]","[('refer', 'refe')]"
81,"[('intermediate', 'inłermediate')]","[('intermediate', 'inetermediet')]","[('intermediate', 'itetneamdire')]"
82,"[('positivity', 'positiv⁞ty')]","[('positivity', 'positivity')]","[('positivity', 'po?si&tiv;ity')]"
83,"[('mass', 'maЅs')]","[('mass', 'mas')]","[('mass', 'mss')]"
84,"[('conductivity', 'conḋucʈivɪty')]","[('conductivity', 'condocdtivite')]","[('conductivity', 'con^ducti$v#i<t(y')]"
85,"[('prescribed', 'ₚrₑscrіbed')]","[('prescribed', 'frescribed')]","[('prescribed', 'prescripted')]"
86,"[('peak', '⍴eak')]","[('peak', 'ppeak')]","[('peak', 'eak')]"
87,"[('model', 'modeᅴ')]","[('model', 'modell')]","[('model', 'odel')]"
88,"[('body', 'оody')]","[('body', 'bodey')]","[('body', 'bdoy')]"
89,"[('impacted', 'ıຫอacted')]","[('impacted', 'ichmpagcted')]","[('impacted', 'ipacted')]"
90,"[('achieved', 'achiɛved')]","[('achieved', 'ahchieved')]","[('achieved', 'avieched')]"
91,"[('specific', '۶pecific')]","[('specific', 'spaciffic')]","[('specific', 'sipifcec')]"
92,"[('simplicial', 'ᶊimpliϹial')]","[('simplicial', 'simplicial')]","[('simplicial', '&s]implicial')]"
93,"[('derive', 'ḋēri㏞e')]","[('derive', ""derrive'"")]","[('derive', 'eerive')]"
94,"[('complete', 'cᎠmplȢtᰀ')]","[('complete', 'cempplete')]","[('complete', 'cmtopele')]"
95,"[('problems', 'proօlems')]","[('problems', ""problems'"")]","[('problems', 'prolems')]"
96,"[('forward', '㎌orwaŕɖ')]","[('forward', 'forwared')]","[('forward', 'forword')]"
97,"[('naturally', 'naturἐlly')]","[('naturally', 'nattiureally')]","[('naturally', '(n(a,t%ura:lly')]"
98,"[('propose', 'pr⩍posė')]","[('propose', 'proppose')]","[('propose', 'proose')]"
99,"[('pertains', 'pʙrtains')]","[('pertains', ""Pertan'sl"")]","[('pertains', '[pert\\ains')]"
100,"[('endeavors', 'ĕňɖea㏞oɾₛ')]","[('endeavors', ""endiver's"")]","[('endeavors', 'endavers')]"
101,"[('mach', 'maƈₕ')]","[('mach', ""mack'"")]","[('mach', 'jach')]"
102,"[('model', 'ₘoɗeˡ')]","[('model', 'moddles')]","[('model', 'modle')]"
103,"[('observations', 'obsërvations')]","[('observations', 'osbervations')]","[('observations', 'obaervations')]"
104,"[('burst', 'էurst')]","[('burst', 'burrst')]","[('burst', 'bur)st')]"
105,"[('tokens', 'ţᴏkens')]","[('tokens', 'toxens')]","[('tokens', 'tok}ens')]"
106,"[('benefiting', 'ດenefitinḡ')]","[('benefiting', 'bbentefiting')]","[('benefiting', '~benef?iti/n[g')]"
107,"[('large', '˩aƞʙe')]","[('large', 'lorge')]","[('large', 'lare')]"
108,"[('outperform', 'outₚerfòrm')]","[('outperform', ""outspormer'"")]","[('outperform', 'ourpe4form')]"
109,"[('approach', 'ǡₚₚȓøach')]","[('approach', 'approich')]","[('approach', 'approuch')]"
110,"[('raises', 'raisеs')]","[('raises', 'raisez')]","[('raises', 'risaes')]"
111,"[('learning', 'l∈arṉ⦋ng')]","[('learning', 'learkning')]","[('learning', 'learing')]"
112,"[('insights', 'іnsights')]","[('insights', 'insits')]","[('insights', 'isgnhtis')]"
113,"[('large', 'largʙ')]","[('large', 'largem')]","[('large', 'lare')]"
114,"[('takes', '⍖akеs')]","[('takes', 'takess')]","[('takes', 'akes')]"
115,"[('inability', 'inabiⅼᏓŧy')]","[('inability', 'inabelety')]","[('inability', 'iliatinby')]"
116,"[('used', 'usӘd')]","[('used', 'usd')]","[('used', 'u~sed')]"
117,"[('variants', 'varianƒs')]","[('variants', 'varianttse')]","[('variants', 'vari{ants')]"
118,"[('slightly', 's[ightḹy')]","[('slightly', 'slightlyi')]","[('slightly', 'slightl')]"
119,"[('learn', 'leƏrn')]","[('learn', ""learn'"")]","[('learn', 'lrean')]"
120,"[('findings', 'ḟiᴺdℑngs')]","[('findings', ""finding'sl"")]","[('findings', 'findinds')]"
121,"[('trojan', 'tɾöjan')]","[('trojan', 'SrovOn')]","[('trojan', 'tjroan')]"
122,"[('data', 'ῂata')]","[('data', 'date')]","[('data', 'd=ata')]"
123,"[('infinity', 'ɪnfӏnitᎩ')]","[('infinity', 'inefinittey')]","[('infinity', '/infi)nity')]"
124,"[('birational', 'bਇratiöņaĺ')]","[('birational', 'borational')]","[('birational', 'birstiinal')]"
125,"[('local', 'loѻal')]","[('local', 'locel')]","[('local', 'lcaol')]"
126,"[('simply', 'simρly')]","[('simply', ""sympoly'"")]","[('simply', 'simpy')]"
127,"[('approach', 'appʴoàcₕ')]","[('approach', 'aptroach')]","[('approach', 'approuch')]"
128,"[('information', 'iŋformatioᲅ')]","[('information', 'inefformationh')]","[('information', 'informtion')]"
129,"[('hardest', 'haɾdest')]","[('hardest', 'haredepst')]","[('hardest', 'hard,est')]"
130,"[('species', 'specᵢès')]","[('species', 'spiecies')]","[('species', 'spcies')]"
131,"[('challenges', 'chөllengæჺ')]","[('challenges', 'challengese')]","[('challenges', 'cagnellehs')]"
132,"[('used', 'uႣḛd')]","[('used', 'oosed')]","[('used', 'uesd')]"
133,"[('recommendation', 'reоԛmmendation')]","[('recommendation', 'rrekommendashon')]","[('recommendation', 'rcndmtemioaeon')]"
134,"[('deeper', 'đeeper')]","[('deeper', 'deiper')]","[('deeper', 'deepe4')]"
135,"[('might', 'miᏸht')]","[('might', 'mbight')]","[('might', 'mhgit')]"
136,"[('element', 'eḻemeրƚ')]","[('element', 'elementtt')]","[('element', 'elment')]"
137,"[('trained', 'ₜrained')]","[('trained', 'traineded')]","[('trained', 'treined')]"
138,"[('classification', 'classificåtīôn')]","[('classification', ""classification'"")]","[('classification', 'claswification')]"
139,"[('gravity', 'grᶏvity')]","[('gravity', ""gravity'"")]","[('gravity', 'graity')]"
140,"[('distinctive', 'ɗistìnctive')]","[('distinctive', 'distincticy')]","[('distinctive', 'distincive')]"
141,"[('satisfies', 'şatis㎌ïêß')]","[('satisfies', 'satifizes')]","[('satisfies', 'satizfles')]"
142,"[('paper', 'ɑaper')]","[('paper', 'ppaper')]","[('paper', 'pape')]"
143,"[('relevance', 'rȢɭevance')]","[('relevance', 'relivancee')]","[('relevance', 'rlncevaee')]"
144,"[('agreement', 'agreeກent')]","[('agreement', 'aghrement')]","[('agreement', 'agrement')]"
145,"[('modalities', 'modal༏ties')]","[('modalities', ""modality'sl"")]","[('modalities', 'mtolidieas')]"
146,"[('practice', 'praϲticẹ')]","[('practice', 'prracttice')]","[('practice', ')p\'r[act-ic""e')]"
147,"[('condition', 'coƞdition')]","[('condition', 'ckonedition')]","[('condition', 'conditin')]"
148,"[('particular', 'φärticular')]","[('particular', 'ppoticullar')]","[('particular', 'p`a:r?ticular')]"
149,"[('prismatic', 'prĭsmǎtiç')]","[('prismatic', 'prysmatic')]","[('prismatic', 'prismxtic')]"
150,"[('service', 'servicѐ')]","[('service', 'servece')]","[('service', 'sirvcee')]"
151,"[('stochastic', 'st▢chastic')]","[('stochastic', 'sttochasttic')]","[('stochastic', '(s!t-ocha:s/t{ic')]"
152,"[('answer', 'anŞẉʚⵤ')]","[('answer', 'aincer')]","[('answer', 'answr')]"
153,"[('framework', 'frɐmewȭrk')]","[('framework', ""framework'"")]","[('framework', 'framwork')]"
154,"[('lack', 'laᴄk')]","[('lack', 'llack')]","[('lack', 'lck')]"
155,"[('equivalence', 'ȩ໐uivalence')]","[('equivalence', ""equivalence'"")]","[('equivalence', 'equ(iv*ale]nce')]"
156,"[('rise', 'riۆe')]","[('rise', 'ris')]","[('rise', 'ise')]"
157,"[('neural', '∩eural')]","[('neural', 'neurale')]","[('neural', 'neurl')]"
158,"[('inefficiency', 'iņefᶂiçîẻncy')]","[('inefficiency', 'unifficiency')]","[('inefficiency', '8neffucienf6')]"
159,"[('model', 'mᎠᶁel')]","[('model', 'modul')]","[('model', ']model')]"
160,"[('users', 'யⱾᶒrs')]","[('users', 'uzers')]","[('users', 'uesrs')]"
161,"[('provide', 'pⵤᴅv⟧de')]","[('provide', 'pruvide')]","[('provide', 'provde')]"
162,"[('experiments', 'expeřimЄnts')]","[('experiments', 'eixsperimennts')]","[('experiments', 'enixmtepres')]"
163,"[('functions', 'fun⊂tions')]","[('functions', 'funktiens')]","[('functions', 'fnuintocs')]"
164,"[('track', 'tracḴ')]","[('track', 'treack')]","[('track', 'trck')]"
165,"[('towards', 'tОwards')]","[('towards', 'tteowareds')]","[('towards', '>towards')]"
166,"[('main', 'maiຖ')]","[('main', 'man')]","[('main', 'mian')]"
167,"[('expected', 'ߍₓᶈected')]","[('expected', 'expectedl')]","[('expected', 'expecto')]"
168,"[('complex', 'comqlex')]","[('complex', 'cameplex')]","[('complex', 'clmeopx')]"
169,"[('joint', 'joinɨ')]","[('joint', 'joent')]","[('joint', 'jont')]"
170,"[('steps', 'stԑps')]","[('steps', 'staps')]","[('steps', 'spets')]"
171,"[('computer', 'compυter')]","[('computer', 'chomputeer')]","[('computer', 'computr')]"
172,"[('expressive', 'e⌧ₚɼèšsīve')]","[('expressive', 'expressivel')]","[('expressive', 'expresive')]"
173,"[('limiting', 'lĮmiting')]","[('limiting', 'lechmiting')]","[('limiting', 'limting')]"
174,"[('nilpotent', 'nᵢlpoʈent')]","[('nilpotent', 'nilpotent')]","[('nilpotent', 'ilpotent')]"
175,"[('results', 'rʙsul⨦s')]","[('results', 'riesolts')]","[('results', 'result<s')]"
176,"[('next', 'neẊₜ')]","[('next', ""nesked's'"")]","[('next', 'netx')]"
177,"[('residual', 'rⲉsidual')]","[('residual', 'resedgeual')]","[('residual', '!re=s<idu<a]l')]"
178,"[('semantic', 'semanᴌic')]","[('semantic', 'ssymantic')]","[('semantic', 'smineatc')]"
179,"[('holistic', 'holisti⩍')]","[('holistic', 'holicetilk')]","[('holistic', 'holisti')]"
180,"[('unusually', '⅃Ŋusually')]","[('unusually', 'unusiualy')]","[('unusually', 'unusuly')]"
181,"[('controlling', 'cоnłrollinɕ')]","[('controlling', 'centrollin')]","[('controlling', 'cltlninroog')]"
182,"[('enabling', 'enaoling')]","[('enabling', 'enablleng')]","[('enabling', 'enbaling')]"
183,"[('assess', 'asѕess')]","[('assess', 'assass')]","[('assess', 'asesss')]"
184,"[('challenges', 'chaⅼleกges')]","[('challenges', 'shallehndges')]","[('challenges', 'cglaenehls')]"
185,"[('contributions', 'cԸntributions')]","[('contributions', 'cantrubyutiohns')]","[('contributions', 'conributions')]"
186,"[('minimal', 'miσɪmal')]","[('minimal', 'mminimol')]","[('minimal', 'mmainil')]"
187,"[('theories', 'tₕeorieš')]","[('theories', 'theirise')]","[('theories', 'th3ories')]"
188,"[('long', 'lonṞ')]","[('long', 'lang')]","[('long', 'lng')]"
189,"[('tire', 'tiիe')]","[('tire', 'tir')]","[('tire', '""t#ire')]"
190,"[('opening', 'öᵽeƞïƞg')]","[('opening', ""openinged'"")]","[('opening', 'openning')]"
191,"[('rising', 'ⵤising')]","[('rising', 'reyesing')]","[('rising', 'ising')]"
192,"[('alone', 'alonɜ')]","[('alone', ""alone'"")]","[('alone', 'ak0ne')]"
193,"[('time', '⨥ᶖme')]","[('time', 'teime')]","[('time', 'tmie')]"
194,"[('takes', 'takeѕ')]","[('takes', ""takeques'"")]","[('takes', 'taeks')]"
195,"[('phases', 'pԽaȿes')]","[('phases', 'phazes')]","[('phases', 'pases')]"
196,"[('implementation', 'iրplȢmentâtⅠon')]","[('implementation', 'implimmentteetion')]","[('implementation', 'i`mple<men$ta^tion')]"
197,"[('investigate', 'ȋɴ㏞eſͭigǎᴛe')]","[('investigate', 'investigatedbe')]","[('investigate', 'investiate')]"
198,"[('manifolds', 'ᴍanℑ㎌ōlds')]","[('manifolds', 'manifoldso')]","[('manifolds', 'mxnifolds')]"
199,"[('well', 'ᴡell')]","[('well', 'welle')]","[('well', 'Wele')]"
200,"[('growing', 'ℊröwiᴺg')]","[('growing', ""growing'"")]","[('growing', 'growin')]"
201,"[('train', 'traⅼn')]","[('train', 'tran')]","[('train', 'trin')]"
202,"[('landscape', 'landៜcapɛ')]","[('landscape', 'landscayp')]","[('landscape', ""'landscape"")]"
203,"[('asynchronous', 'asyncԤroṇous')]","[('asynchronous', 'asyngchronest')]","[('asynchronous', 'asynchronou')]"
204,"[('show', 'sᛷow')]","[('show', 'schow')]","[('show', 'sho')]"
205,"[('symmetry', 'sɺmmetry')]","[('symmetry', 'ssymmetri')]","[('symmetry', 'symmtry')]"
206,"[('analysis', 'änaȴyₛйₛ')]","[('analysis', 'analysils')]","[('analysis', 'analise')]"
207,"[('conducted', 'coṇdu໐ted')]","[('conducted', 'contducghted')]","[('conducted', 'co#n.d^u;cte[d')]"
208,"[('conjecture', 'conjecŧurẹ')]","[('conjecture', 'conjecturo')]","[('conjecture', 'c~o<nje+ctu[re')]"
209,"[('domain', 'ɗòₘain')]","[('domain', 'domayn')]","[('domain', 'domsin')]"
210,"[('prepare', 'preрare')]","[('prepare', 'prepar')]","[('prepare', 'prepre')]"
211,"[('bipolar', 'bipoʟãr')]","[('bipolar', 'thilondry')]","[('bipolar', 'bipola5')]"
212,"[('crystals', 'cřysᶵalß')]","[('crystals', ""Chrestal's"")]","[('crystals', 'drystals')]"
213,"[('tackle', 'taʗkle')]","[('tackle', 'tackl')]","[('tackle', 'ta|c(kle')]"
214,"[('math', 'maȽh')]","[('math', 'mmath')]","[('math', 'mth')]"
215,"[('discrepancy', 'diˢcɾepanℂy')]","[('discrepancy', 'discropency')]","[('discrepancy', 'fisvrepancy')]"
216,"[('zero', 'zer០')]","[('zero', 'ziro')]","[('zero', 'zeo')]"
217,"[('nonlinear', 'nonᶫinēɐr')]","[('nonlinear', 'nonlinger')]","[('nonlinear', 'nonlineaf')]"
218,"[('hyperparameter', 'hyperparâmeteᖌ')]","[('hyperparameter', 'hyperparameter')]","[('hyperparameter', 'yperprameter')]"
219,"[('english', 'énğlish')]","[('english', 'Anglish')]","[('english', 'Englis')]"
220,"[('particularly', 'pࠡȓtℑculårļý')]","[('particularly', 'particularoully')]","[('particularly', 'Particulary')]"
221,"[('space', 'spმce')]","[('space', 'spaice')]","[('space', 'spcae')]"
222,"[('composed', 'CoղգՕsed')]","[('composed', 'compoesd')]","[('composed', 'cesompod')]"
223,"[('observe', 'obѕerve')]","[('observe', 'ebsorve')]","[('observe', 'obevsre')]"
224,"[('energetically', 'eȠergetically')]","[('energetically', 'energetically')]","[('energetically', 'eieeanclltrgy')]"
225,"[('rationale', 'ratiònalë')]","[('rationale', ""rationally'"")]","[('rationale', 'tahiona.d')]"
226,"[('stylized', 'ſťylizʚd')]","[('stylized', ""stylised'"")]","[('stylized', 'stylizev')]"
227,"[('metrics', 'mȢtrᒨcs')]","[('metrics', 'metrrycs')]","[('metrics', '<me_tri(cs')]"
228,"[('framework', 'framƐwϲɚk')]","[('framework', 'fframewirk')]","[('framework', '<fr-amework')]"
229,"[('sequence', 'sequeⁿce')]","[('sequence', 'seacuness')]","[('sequence', 'senquency')]"
230,"[('improvements', 'ҋₘₚɾòͮэments')]","[('improvements', 'improvementse')]","[('improvements', 'improvments')]"
231,"[('relevant', 'reléᨆaɳt')]","[('relevant', 'raeleveant')]","[('relevant', 'releant')]"
232,"[('given', 'givʙn')]","[('given', 'ggiven')]","[('given', 'give@n')]"
233,"[('outputs', 'oūtᶈutᵴ')]","[('outputs', ""outp'ots"")]","[('outputs', 'ouhputa')]"
234,"[('exhibits', 'exʜibitſ')]","[('exhibits', 'exibites')]","[('exhibits', 'exh9bits')]"
235,"[('graphs', 'grapՒs')]","[('graphs', 'graghs')]","[('graphs', 'ghpras')]"
236,"[('first', 'fiɼst')]","[('first', ""firsed'"")]","[('first', 'fi-rst')]"
237,"[('least', 'leaʂt')]","[('least', ""leased'"")]","[('least', 'lea)st')]"
238,"[('terms', 'teŕₘſ')]","[('terms', 'tearms')]","[('terms', 'tems')]"
239,"[('achieve', 'aიhieve')]","[('achieve', 'achiev')]","[('achieve', 'a""chi!eve')]"
240,"[('operator', 'opɛrator')]","[('operator', 'operraghtor')]","[('operator', 'opera(t@or')]"
241,"[('everywhere', 'eveᶯywheṟe')]","[('everywhere', 'everwiree')]","[('everywhere', 'erervewyhe')]"
242,"[('critical', 'cᒋitical')]","[('critical', 'ckriticol')]","[('critical', 'ciitcarl')]"
243,"[('theory', 'theОry')]","[('theory', 'theorry')]","[('theory', '+t@h=eo(ry')]"
244,"[('perceptron', '☾erceptron')]","[('perceptron', 'perceptron')]","[('perceptron', 'percepron')]"
245,"[('nature', 'naturε')]","[('nature', 'natur')]","[('nature', 'ature')]"
246,"[('performing', 'perᶂorm1ng')]","[('performing', 'performingl')]","[('performing', 'pfeimnrrog')]"
247,"[('additional', 'additⅰסnal')]","[('additional', 'addishonnal')]","[('additional', ""add'i[t-ion.al"")]"
248,"[('integer', '1nteger')]","[('integer', 'inetegerr')]","[('integer', 'iteger')]"
249,"[('cosmic', 'Сosmic')]","[('cosmic', 'casmic')]","[('cosmic', 'cosic')]"
250,"[('norms', 'normŞ')]","[('norms', 'naurms')]","[('norms', 'n!or#ms')]"
251,"[('problem', 'pro℔lem')]","[('problem', 'problemu')]","[('problem', 'problom')]"
252,"[('acquisition', 'acquisເtion')]","[('acquisition', 'acquisietiun')]","[('acquisition', 'acstiiuiqon')]"
253,"[('developed', 'deʏeloɑed')]","[('developed', ""develloped'"")]","[('developed', 'd,eve(loped')]"
254,"[('quality', 'qua˨ity')]","[('quality', 'qualityl')]","[('quality', ']qua/li(t!y')]"
255,"[('present', 'ₚreseńŧ')]","[('present', ""present'"")]","[('present', 'plesant')]"
256,"[('found', '⨍ound')]","[('found', 'founged')]","[('found', 'foun]d')]"
257,"[('concrete', 'concrеte')]","[('concrete', 'concrreed')]","[('concrete', 'conrete')]"
258,"[('many', 'ɰany')]","[('many', ""Mannie'"")]","[('many', 'meny')]"
259,"[('expected', 'expᶒcted')]","[('expected', 'exppecghted')]","[('expected', '{e@x`pec\\t#e\\d')]"
260,"[('along', 'ƌlong')]","[('along', 'alon')]","[('along', 'al@ong')]"
261,"[('advanced', 'ad៴anced')]","[('advanced', 'aedvanceed')]","[('advanced', 'aancevdd')]"
262,"[('language', 'lan€uage')]","[('language', ""langwage'"")]","[('language', 'languag)e')]"
263,"[('implementation', 'ІຫplemeȠtation')]","[('implementation', 'iimplemannetationn')]","[('implementation', 'implementatin')]"
264,"[('associated', 'aſsociateđ')]","[('associated', 'associdate')]","[('associated', 'associeted')]"
265,"[('initial', 'initiál')]","[('initial', 'Ynitial')]","[('initial', 'initia[l')]"
266,"[('explore', 'exploʳe')]","[('explore', 'eaxplor')]","[('explore', 'elopxre')]"
267,"[('spectroscopy', 'specţʳoscopy')]","[('spectroscopy', 'spektracecopy')]","[('spectroscopy', 's""pec)t""rosc&opy')]"
268,"[('transformers', 'transformЄrɜ')]","[('transformers', 'twragnnsformers')]","[('transformers', 'trnsformers')]"
269,"[('learning', 'leạrᶯinε')]","[('learning', 'learneing')]","[('learning', 'liannerg')]"
270,"[('across', 'acroᏚs')]","[('across', 'acreoss')]","[('across', '$across')]"
271,"[('visual', '۷isual')]","[('visual', 'veijual')]","[('visual', 'visul')]"
272,"[('argument', 'aⲙgument')]","[('argument', 'argemenght')]","[('argument', 'argumen$t')]"
