,clean,perturbed,legibility_score,predicted,batch
4,contrast,contruct,1.4053342,construct,23
0,arising,araising,4.9295697,raising,24
1,worth,Woketh,-0.3426722,woke,24
2,starsmerchant,starsmerchant,5.0517907,star merchant,24
3,television,tsvieeloin,4.9126644,trivia,24
4,install,insta@ll,1.3804798,instill,24
0,associate,assuste,2.1375372,astute,25
1,work,Wrok,0.8691966,work,25
2,scared,scaed,5.048252,scared,25
3,parliament,pareillement,3.8426545,parallel,25
4,debate,dbate,4.1724033,date,25
0,basically,basicly,2.3016145,basically,26
1,offline,offlin{e,1.7774458,offline,26
2,gothic,[[gothic,0.97095186,gothic,26
3,gnome,gnome,4.857063,gneome,26
4,usps,kspw,1.8980852,kspw,26
0,networks,Netwoks,1.9580032,Network,27
1,coating,coatinh,1.5971287,coat,27
2,projectors,PROSECUTERS,-1.4263175,Prosecutor,27
3,unless,usnles,5.0578485,useless,27
4,branches,branchs,4.8402696,branches,27
0,invest,ivest,4.9809294,invest,28
1,tomatoes,Tomatos,3.294871,tomato,28
2,syndication,syndicateDon,2.2489474,syndicate,28
3,efficiency,efficiancy,4.781373,efficiency,28
4,demonstrates,demonstraters,4.7066507,demonstrator,28
0,papua,paua,4.820732,paua,29
1,sexuality,sexuaoity,1.8482009,sexuality,29
2,steering,seneitrg,4.542306,seneitrg,29
3,disciplines,dlpiiiecnss,4.512865,dpiiiecnss,29
4,vacancies,vacances,4.7942457,vacation,29
0,killer,klleir,4.8282704,clearer,30
1,indicator,indicaor,4.490553,indicator,30
2,mobile,moblie,4.375451,mobile,30
3,dawn,)daw[n,-0.48119375,dawn,30
4,pocket,podket,2.1731694,pocket,30
0,banned,baned,4.507841,banned,31
1,clark,clarck,4.82332,clark,31
2,iowa,iwoa,3.8481023,iowa,31
3,homes,homss,4.65519,homes,31
4,allocated,all{o#cated,-0.25868446,allocated,31
0,chargé,c\h#a'rgé,-1.0608147,chaos,32
1,aurora,arora,4.963615,arrow,32
2,chamber,chamfer,3.262494,chamfer,32
3,thriller,theLiar,1.6963888,liar,32
4,subscriptions,subscripciones,3.6715486,subscription,32
0,sake,Sazae,0.29783317,salary,33
1,barbara,barbearia,1.4396924,barberia,33
2,vector,vctoer,4.963309,veteran,33
3,needle,needl,4.2477865,needle,33
4,costumes,Costanzas,0.8379743,costanza,33
0,burns,bnrus,4.784529,brusque,34
1,neil,niel,4.750121,neel,34
2,swiss,swsis,4.776362,swiss,34
3,bibliography,bhpabriogliy,4.6413717,bipolar,34
4,dedicated,dediated,4.721297,detected,34
0,idea,ide,4.7065253,idea,35
1,draws,ddaws,5.0606904,dawns,35
2,advert,afver6,0.29705912,averts,35
3,update,undates,-0.701553,holding,35
4,hosting,houding,-0.21759826,holding,35
0,appearance,appeareance,4.2916975,appearance,36
1,sandy,sany,4.410957,sany,36
2,husband,HUSBUND,-2.50312,husband,36
3,salaries,salarys,4.419173,salary,36
4,dispatched,d)isp-a?tched,0.6957019,disputed,36
0,addition,ddition,4.7276626,addition,37
1,porter,portar,4.646044,porter,37
2,phrases,prhases,4.779889,phrase,37
3,robbie,roofe,0.60748297,roof,37
4,environmental,enviornmental,4.8529687,environmental,37
0,offensive,ofencive,2.2475815,offensive,38
1,exam,excam,4.164347,excuse me,38
2,unto,un5o,0.19338249,uno,38
3,repository,repositiry,4.7811885,repository,38
4,sailing,saiing,4.860847,saying,38
0,papua,papia,0.8977531,papaya,39
1,teaching,teacheing,4.7337418,teaching,39
2,marvel,mvearl,4.8043866,molar,39
3,forums,foruns,4.0680366,forums,39
4,enrolled,enworld,1.0432001,enworld,39
0,registry,rrgjstry,4.0450354,retry,40
1,sure,Suryoye,-0.2471485,surrey,40
2,remedy,Remedie,0.9311429,medicine,40
3,benchmark,bncraemhk,4.5309963,brakeman,40
4,referrals,reffrralz,3.281674,refrigerator,40
0,double,douple,0.6391794,double,41
1,arising,arksinh,1.8235265,arking,41
2,hunt,hund,3.7629633,hunk,41
3,appraisal,appraisal,5.053309,appraise,41
4,entrepreneur,e<ntrep@r-eneu.r,1.4838096,entrep@r-eneu.r,41
0,rehabilitation,"'rehabi,l`itati|on",1.7291402,rehabilitate,42
1,ecology,ecleezy,0.31397128,eclectic,42
2,german,germany,2.064159,german,42
3,governmental,governmentWell,3.0094857,government,42
4,listing,l:is^t:in.g,-0.13397163,listen,42
0,chicken,schicken,4.5809655,shackle,43
1,data,datas,3.3113904,data,43
2,queue,ueue,2.7524788,queue,43
3,women,oen,2.5370371,one,43
4,islands,Islamdoes,0.88411653,Islamic,43
0,chargers,characyers,2.8060443,characters,44
1,replication,r?epl*i`c#ati|o;n,-2.2012088,replacing,44
2,sentence,sncnetee,4.994398,snatch,44
3,batch,btach,4.6700845,bath,44
4,staying,satying,4.703467,sating,44
0,contractor,contracgir,4.0009484,contraceptive,45
1,scanning,scaming,4.9758434,scam,45
2,sacramento,Sacramentao,4.3684807,sacrament,45
3,claire,claie,4.9007235,clay,45
4,rich,rech,1.6091865,wreck,45
0,prerequisite,prereuisite,3.6720145,prerequisite,46
1,manufacturers,mfaearurnucts,4.7726917,mfaerunucts,46
2,consist,conais6,0.29752025,conais,46
3,crest,creuset,0.27695855,casserole,46
4,subscriber,subscribeTwitter,2.686212,subscribed,46
0,understood,andersturd,4.6492887,anecdote,47
1,beverage,bevarage,4.840703,behavior,47
2,arrested,aressted,5.073004,arrested,47
3,proven,prohiben,-1.6327153,prohibited,47
4,cancelled,fancwl.ed,0.9901587,fancied,47
0,photographer,p;hotographer,2.2724307,photographer,48
1,women,wmoen,4.7054324,woman,48
2,authorized,uthorzed,4.731249,authorized,48
3,watched,wtahced,4.680305,washed,48
4,incompatible,iilpaomcbnte,4.005962,illuminated,48
0,upset,pset,4.8493414,set,49
1,uganda,ugxnda,2.6687508,unda,49
2,estimate,easittme,4.449739,ettme,49
3,davis,ravis,1.3029654,avis,49
4,clark,cark,4.773596,ark,49
0,bike,Bize,-1.6903429,biz,50
1,rubber,ruffer,1.3665565,ruff,50
2,modified,:modified,2.4718475,modify,50
3,fits,fites,2.026667,fit,50
4,doll,voll,0.84540516,full,50
0,turns,turnes,2.0032022,thrones,51
1,circuits,cirxuits,2.5709016,circuits,51
2,publication,publ9cation,1.3347328,publication,51
3,slave,sklave,3.278391,slave,51
4,organisation,orginazation,2.889128,organization,51
0,rose,Roze,0.118824124,rose,52
1,garmin,gairmn,4.8144245,gray man,52
2,dedicated,dedicadet,4.978725,detective,52
3,sake,sak3,0.4215375,sack,52
4,trustees,trastos,1.1248416,trash,52
0,located,Lacated,2.0396416,Lacated,53
1,yoga,yago,3.2199917,yago,53
2,quick,qick,1.1044619,qick,53
3,shake,shke,4.3726306,shke,53
4,hope,hoppe,4.3760486,hoppe,53
0,gravity,gravi5y,1.3985949,grave,54
1,apollo,apolpo,4.194502,appaloosa,54
2,establishes,establischments,3.8245988,establishments,54
3,hull,hull,4.6576204,hull,54
4,applies,applys,2.856126,apply,54
0,fruits,fritts,4.9713764,fritters,55
1,cellular,cellular,5.026931,cellular,55
2,ongoing,ongiong,4.4266562,ongoing,55
3,notebook,Notbook,1.5067611,notebook,55
4,influences,influenes,4.179536,influences,55
0,fairfield,:fairfi+eld,1.2566284,fairy field,56
1,sure,Suhre,-0.028851287,shore,56
2,animals,animas,4.8851357,animals,56
3,cancelled,vancrklfd,1.6234424,vacuum cleaner,56
4,relocation,raoltcoein,4.2541327,rottweiler,56
0,boring,boiring,3.9738398,boring,57
1,moscow,Moskow,0.40193585,Moscow,57
2,interval,in6erval,0.6589095,inaccessible,57
3,which,Wich,-0.14581974,which,57
4,package,pacakge,4.388323,package,57
0,hacker,Hacer,1.8272783,to do,58
1,analyze,Analyse,1.1930103,to analyze,58
2,opening,openning,4.521431,opening,58
3,lookup,logp,0.17385192,log,58
4,replacing,reblogging,1.0840929,to blog,58
0,portsmouth,$po)rts)m%out[h,-1.8759594,port,59
1,quick,quik,1.9551445,quick,59
2,emissions,emeissions,2.5165114,emissions,59
3,marijuana,marijauna,4.646382,marijuana,59
4,substitute,Subsitute,4.7108026,substitute,59
0,success,succeess,4.213794,success,60
1,boss,BOIS,-2.3955672,bois,60
2,hope,hpe,4.3875413,hope,60
3,drama,drena,1.6030926,drena,60
4,surprised,surpris3d,3.1771126,surprise,60
0,bits,bities,2.464104,bites,61
1,senior,sioenr,4.821655,sooner,61
2,anne,Anny,-0.95065325,Annie,61
3,dawn,daw,4.791867,dawn,61
4,stick,bick,0.36583695,bitch,61
0,potter,pooter,2.394249,potter,62
1,venture,VENDRE,-0.09589228,vendor,62
2,high,hgih,4.6754584,high,62
3,loan,lona,4.593236,lonely,62
4,directed,d9r3vtee,0.0810535,detergent,62
0,scan,sca]n,2.2278962,scan,63
1,vera,_ver(a,0.61300427,vera,63
2,reliance,rinlecae,4.599983,rinae,63
3,sound,s)o:un$d,-2.5042856,so:un$d,63
4,chassis,cha:s\sis,1.0334969,chasiss,63
0,type,tpye,3.764109,type,64
1,form,cotm,-1.4911972,coat,64
2,recommend,recomand,4.520756,recommend,64
3,africa,África,0.2405047,Africa,64
4,wool,ool,4.53908,oil,64
0,occupation,occopation,4.222487,occupation,65
1,year,yar,4.544647,year,65
2,password,pasdword,3.96884,password,65
3,snap,snal,0.46961448,snail,65
4,proxy,ptoxy,2.6486566,potion,65
0,interested,ietrsented,4.928802,intended,66
1,evans,ev)ans,1.2066613,avans,66
2,moderators,mkderatota,3.9246514,motato,66
3,missouri,m\is-sou~r[i,1.765156,misso,66
4,tablet,tablait,1.6253483,tablet,66
0,then,tne,4.109888,tune,67
1,sellers,slelers,5.0942187,sleevers,67
2,portsmouth,portsm>outh,1.3943709,portmouth,67
3,price,proce,1.4199483,process,67
4,sides,Sidis,4.2388945,side,67
0,occupation,occupaion,0.38481137,occupation,68
1,lounge,launge,4.306849,lunge,68
2,buttons,buuttuns,3.2702603,buttons,68
3,rose,"ro,s:e",-0.18237327,rose,68
4,efforts,erftfos,4.750032,error,68
0,nail,naal,4.80668,anal,69
1,ethics,ethice,4.787903,ecstasy,69
2,unconventional,unconv[entional,3.546618,unconventional,69
3,lamb,lamg,2.0014236,lag,69
4,plan,pln,2.5510406,plan,69
0,only,Onley,2.0519617,only,70
1,similarly,similarl/y,2.7231317,similar,70
2,isle,iscle,2.718046,isle,70
3,painting,pantang,4.6184163,pants,70
4,shōnen,sōhenn,4.4992146,sohen,70
0,destiny,destany,4.8156233,destination,71
1,pulse,pupse,4.377223,pupose,71
2,tongue,toungue,4.1374173,tongue,71
3,fujitsu,ujitsu,4.3276052,jitsu,71
4,wellington,Werrington,0.8647203,werington,71
0,disposition,%d)ispo?s-i?tio[n,-2.098177,percentage,72
1,bubbles,bubblee,3.163875,bubble,72
2,fatal,fadul,-2.2540808,fall,72
3,temperatures,TEMPERATURAS,-2.3288562,temperature,72
4,having,havin,3.7008634,having,72
0,determine,detirmine,4.840904,determine,73
1,subscriber,SUBCRIBER,-1.4916611,subscriber,73
2,cellular,cllua,1.268407,cula,73
3,cinéma,cinéma,4.2124705,cinema,73
4,wordpress,wordprss,1.9588561,wordpress,73
0,suited,ssutied,4.6271005,studied,74
1,completed,com)pl=et+e^d,0.45139134,compiled,74
2,needle,needle,4.624309,needled,74
3,dawn,dan,4.6762633,don,74
4,leads,Leeds,0.28984517,led,74
0,input,imput,3.8044477,impute,75
1,hope,houp,-0.9006006,houp,75
2,conditioning,conditiining,4.9384,conditional,75
3,speaks,speek,4.1331186,speak,75
4,islamic,isalmic,4.996516,isamic,75
0,carlo,CarlaO,3.980517,Carla,76
1,lange,langf,3.6592739,language,76
2,longitude,longir7de,1.349268,longer,76
3,estimate,[[estimulate,0.55521095,estimate,76
4,listen,lichten,1.0505525,lighten,76
0,allied,allisd,4.8367367,allowed,77
1,investigated,investsd,4.2008348,invested,77
2,jeremy,jereky,4.0002003,jerry,77
3,trial,Traal,2.307336,trail,77
4,pitch,pietsch,3.8995879,petsch,77
0,silk,silk,4.873956,silky,78
1,upset,upseted,4.5732493,upset,78
2,austin,ausg8n,0.19566812,austrian,78
3,work,wofk,2.9521134,work,78
4,guitar,guitat,4.9470396,guitar,78
0,tours,tou-r\s,2.3555753,tour,79
1,playing,plaaaying,4.654097,playing,79
2,vitamin,vitain,4.7692657,vain,79
3,locale,l0cale,0.3974845,scale,79
4,cisco,cieco,1.3782297,cozy,79
0,liable,]li]able,1.5782747,able,80
1,invest,ivest,4.9809294,vest,80
2,treated,treate,5.0335765,treat,80
3,modifications,"m\odi'ficatio,ns",2.0676203,modification,80
4,bubbles,gubbles,1.8013322,gobbles,80
0,focuses,fofusea,3.4913375,fuse,81
1,euros,eurs,4.8851595,eur,81
2,registry,registerI,3.333058,register,81
3,arrested,aeestrrd,4.959524,extraterrestrial,81
4,costs,cust,-0.20191509,custodian,81
0,moderators,"""m)od}erators",0.083126426,modifiers,82
1,felt,feelit,0.17458595,feeling,82
2,stuffed,stupied,-1.0912536,stupid,82
3,guinea,Guanya,-0.15602,guilty,82
4,reliance,r:e'liance,2.2180014,reliance,82
0,desert,'d;esert,0.09345573,desert,83
1,forums,formus,4.9922037,formula,83
2,wool,wollen,-0.71838623,well,83
3,diagnostic,|di!a=gnostic,-0.2749103,diva,83
4,distant,dictent,1.6729273,detective,83
0,podcast,podast,1.5390482,podcast,84
1,preparation,prepratio,3.514074,preparation,84
2,helping,HelpOmg,1.6959455,help,84
3,desert,dreset,5.0195513,reset,84
4,disputes,diaphtes,1.1128829,diaphragm,84
0,queens,qu4ens,-0.22537012,queens,85
1,administered,adminstrated,5.004782,administered,85
2,abandoned,bandoned,5.005154,abandoned,85
3,step,STIP,-2.0167685,stipulate,85
4,thru,thYou,-0.804111,thou,85
0,protective,protdcfive,3.251525,protocol five,86
1,jelsoft,ielsoft,3.789535,intelligent soft,86
2,legislation,legislaton,3.072684,legislator,86
3,situation,stuaiiton,4.8314185,stupidity,86
4,quantity,qnatuity,2.864598,quantity,86
0,recreational,rcnrtaeieaol,4.449991,recreational,87
1,assistance,assistence,4.8891788,assistance,87
2,hotmail,hoitaml,4.4337606,hotaml,87
3,sink,snik,4.637449,snick,87
4,lifestyle,lifestyle,4.6683807,lifestyle,87
0,nepal,nrpal,3.0043218,napal,88
1,stayed,STAHD,-2.362381,stand,88
2,spank,s[pank,1.0118227,spank,88
3,tankōbon,tankōbon,4.604086,tank top,88
4,advised,adivsed,4.9282703,advised,88
0,revenue,revine,1.6096048,revise,89
1,anybody,anyobdy,4.6212606,anybody,89
2,marvel,karvel,3.9426847,carvel,89
3,gravity,grzvity,2.8732207,gratitude,89
4,instruction,instrucción,2.1011503,instruction,89
0,sanford,Sampford,1.2341201,Samford,90
1,oracle,oclare,4.3665442,occlude,90
2,allocated,allegated,1.6694672,allege,90
3,easy,esy,4.2216883,easy,90
4,bride,Brade,1.3047415,Brad,90
0,desert,deseer,4.9413233,deer,91
1,forward,forword,4.2445617,forward,91
2,provision,provisiln,4.042853,provincial,91
3,instruments,insturments,4.9518986,instructions,91
4,memory,memery,4.7609973,memory,91
0,experiencing,expeiencing,4.6024885,experiencing,92
1,sharing,sharimg,4.927526,shaming,92
2,mortgage,mortgageGame,1.915002,mortgage,92
3,confused,conf7sed,2.3797915,confused,92
4,superior,s#u!peri$o!r,-1.8225279,superior,92
0,yeah,Yeeah,1.2417232,Yeah,93
1,unleashed,unleased,4.4845877,unleashed,93
2,neon,heon,1.1302838,heaven,93
3,buttons,huttons,3.3515139,hutons,93
4,gzip,GZCLP,-3.0161004,GZCLP,93
0,modifications,morifucations,1.2948139,morphicities,94
1,giant,gisnt,1.9163573,ginny,94
2,effort,efreet,4.4918385,effete,94
3,garmin,Garman,0.35808247,garman,94
4,wrestling,wrestlemag,2.7481673,wrestleman,94
0,analysis,anysilas,4.658254,anysilas,95
1,creations,CROATIONS,-1.4112061,croations,95
2,critics,citicrs,5.051629,citicrs,95
3,chassis,ChessIs,1.1358286,chess is,95
4,function,funtion,4.2562404,function,95
0,proof,PRIF,-2.1793754,Printer,96
1,throat,Theat,0.027942576,Theater,96
2,roger,rog3r,0.364812,Rover,96
3,packed,pafled,0.008754935,Pafield,96
4,principle,prinicple,4.8940682,Principle,96
0,partial,partiel,3.8346636,partial,97
1,inherited,inhereted,4.9581323,inherited,97
2,expression,expr4exion,1.5680262,expression,97
3,cellular,celular,4.8933225,cellular,97
4,certainty,certaintly,3.4158914,certainly,97
0,chosen,choosed,0.7052227,chosen,98
1,overseas,aworseas,1.6652269,worse as,98
2,salaries,salaires,4.991084,salary,98
3,cleveland,ClevelandAnd,2.549056,Cleveland,98
4,hotmail,hotms8l,1.2497,hot mess,98
0,oldest,handlest,-0.7762739,handled,99
1,expressions,expresions,3.3728492,expression,99
2,apollo,appello,2.5265026,appeal,99
3,operate,oparte,1.3278767,opaque,99
4,playing,pleaing,2.338771,pleading,99
0,weapon,weapin,0.7191681,weapon,100
1,mambo,manpo,-1.1539706,manipulate,100
2,washing,wnaishg,4.252379,wane,100
3,london,lointain,1.8679501,longtime,100
4,artificial,artifixial,4.0926533,artificial,100
0,heating,heaing,4.300367,hearing,101
1,moscow,@mos`cow,0.38607755,moose,101
2,friendly,freindly,4.70468,friendly,101
3,valentine,Valintine,4.2718306,Valentine,101
4,analysis,analasys,4.901432,analysis,101
0,firm,firem,2.843786,fireman,102
1,marijuana,mairjuana,4.6119742,marijuana,102
2,improving,imprving,4.4364057,improving,102
3,sort,sott,4.765988,soot,102
4,secret,secrtet,4.751534,secret,102
0,basement,basament,4.881905,basement,103
1,remedy,Remedie,0.9311429,medicine,103
2,tobacco,tobago,0.7198933,tobacco,103
3,module,m0vule,0.03965474,mule,103
4,fatal,Fadell,0.17223835,fall,103
0,group,Grupo,-1.3429981,Group,104
1,remedy,rendi,-0.34777442,render,104
2,hidden,hdden,4.3610544,hidden,104
3,banned,bnenad,4.7840466,beneath,104
4,phillips,Philipes,1.6625427,Philips,104
0,subscriptions,subscribeAs,-0.12386369,subscribed,105
1,valium,vialum,4.9208746,valium,105
2,deeply,'deep:ly,0.6923874,deeply,105
3,israeli,Israely,1.4472007,Israel,105
4,find,f@ind,0.45929563,find,105
0,situation,situaiton,4.9290175,situation,106
1,growing,groing,4.666101,going,106
2,ward,wsrd,1.8529568,world,106
3,quotations,qoutnoaits,4.2266455,quoted,106
4,welfare,wfalree,4.8414154,wafer,106
0,variation,vardyIn,-1.0338974,very,107
1,flow,+f`lo)w,-1.5675703,flower,107
2,partners,pathers,1.3778216,path,107
3,writings,Writtens,0.19537397,written,107
4,blank,glwnk,0.040071324,gone,107
0,relocation,realisation,4.2919497,realization,108
1,drinking,dronking,2.8441963,drinking,108
2,varies,vzries,2.0315213,vices,108
3,assurance,Assurence,1.9133619,assurance,108
4,scheduled,shdcueled,4.5913982,shaved,108
0,clone,{clone,1.2048932,clone,109
1,skiing,sking,4.794338,sking,109
2,double,doble,4.4378166,doble,109
3,ronald,ronalf,2.714262,ronalf,109
4,teeth,teath,4.78206,teath,109
0,pornographic,progoirpanhc,4.262278,pomegranate,110
1,package,pakage,3.6415446,package,110
2,controversial,c`ontrove!rsia#l,0.81091654,controversy,110
3,translate,transalate,5.007349,translate,110
4,broadcasting,broa~dcast'ing,3.0409157,broadcasting,110
0,refers,r}efers,0.93107015,refers,111
1,friendly,freindly,4.70468,friendly,111
2,integrate,%in+tegrate,1.2334644,integrate,111
3,coding,codimg,4.247187,coding,111
4,murray,mruray,4.6480966,murray,111
0,welfare,wellfare,4.8383574,well-fare,112
1,ending,Endding,3.5412126,ending,112
2,approach,/ap%proa=ch,-0.123388536,aproach,112
3,jamaica,jmaacia,4.757704,jamaica,112
4,gaps,GAFS,-3.1164134,gafs,112
0,dated,dadad,5.005277,dada,113
1,basement,basament,4.881905,basement,113
2,databases,databosses,3.6508248,data bosses,113
3,teaching,tichen,3.2551775,thing,113
4,influences,influencwz,0.8763865,influence,113
0,prev,prec,1.8416846,precision,114
1,directive,dctiievre,4.788768,detective,114
2,advising,adveising,2.1056948,advice,114
3,sticker,sticksr,4.90788,sticker,114
4,streets,treets,5.072092,treats,114
0,credit,creadit,3.7465236,created,115
1,flooring,floorings,4.1612396,floors,115
2,personality,Personaly,1.6380694,personally,115
3,humor,huur,4.384872,hour,115
4,voluntary,volantary,4.932186,voluntary,115
0,anxiety,anixiety,4.5466757,anxiety,116
1,hunt,hnut,3.7258217,nut,116
2,greece,greec*e,1.2769948,greece,116
3,seasonal,saisonal,3.5837786,seasonal,116
4,derived,divered,4.995024,diverted,116
0,mild,milad,4.4601717,miracle,117
1,blended,blmDid,-1.7010262,bluebird,117
2,label,lable,2.6123528,label,117
3,trained,Trinid,2.6817315,trinity,117
4,anthony,Antoni,-1.597126,antonym,117
0,tackle,tcklae,4.5593925,tackle,118
1,mating,mzting,1.4719996,mitten,118
2,illustrated,illustrated,4.855694,illustrate,118
3,evaluated,evoluated,1.8191448,evolve,118
4,porsche,p}ors'che,0.40991145,porch,118
0,fiancé,fjancé,4.1611276,fancy,119
1,influence,infuence,4.805443,influence,119
2,bring,Brong,-0.27394667,bridge,119
3,dawn,Dayn,-0.41008532,day,119
4,municipality,mtniipcauily,4.2067437,mythical,119
0,antiques,antiguos,0.7781647,ancient,120
1,patricia,paiticra,4.85427,pathetic,120
2,costumes,Costanzas,0.8379743,costanza,120
3,transferred,transerred,4.413222,transferred,120
4,queens,qeens,3.444872,queens,120
0,german,"""germ>a/n",-0.6026539,gender,121
1,replication,replicatikn,4.467771,replicate,121
2,constantly,costantly,2.9420862,constant,121
3,bunny,bnuny,4.713695,bunny,121
4,awards,awarethis,-0.25017482,aware,121
0,complaints,compla8nts,2.678389,complaints,122
1,blackberry,hlackvwrrj,-0.2660981,shackle,122
2,bangkok,Bangcock,-1.1733943,cock,122
3,guards,".gu""a^r-d;s",-0.63387054,guaranteed,122
4,meter,mehter,1.2649156,meter,122
0,boss,"=b""o~ss",-2.1649354,boss,123
1,thirty,trhity,4.7510552,thirty,123
2,treated,trated,5.0804987,treated,123
3,peter,petir,1.6760719,perit,123
4,republic,republicac,4.708278,republic,123
0,nonprofit,$n&onprofit,-0.50300556,nonprofit,124
1,dean,demn,2.397046,demon,124
2,costs,co/sts,-0.0019841525,costs,124
3,lock,loock,3.201139,lock,124
4,configuration,configuración,2.9295435,configuration,124
