,clean,perturbed,legibility_score,predicted,batch
2,modified,modefigedh,,modify,14
3,interim,interime,,interval,14
4,setting,settingedf,,setting,14
0,nitrogen,nitrogen,4.7374487,nitro,15
1,medicine,meedicune,,medicine,15
2,matches,matshes,,matches,15
3,delivered,deeliverred,,deliver,15
4,lean,len,,length,15
0,memory,MEMRI,-2.3372238,memory,16
1,arising,arrising,,arise,16
2,tablet,tarblet,,tablet,16
3,processing,prosaessing,,processing,16
4,accordance,accoredansch,,accommodating,16
0,controversial,controversial,4.806607,controversial,17
1,preston,Preston,1.1508085,preston,17
2,branches,bbrranches,,branches,17
3,flooring,floyring,,floating,17
4,later,lagter,,later,17
0,flavor,flavmer,,flavour,18
1,sentence,xentence,,sentence,18
2,complimentary,complimentary,4.6517344,complementary,18
3,dispatched,dispaedshed,,displaced,18
4,manuals,magnewals,,magnolia,18
0,referral,referal,,referral,19
1,mixture,meixtur,,mixture,19
2,divx,divx,4.691322,divx,19
3,ongoing,ongoing,4.2869916,ongoing,19
4,featuring,Featuring,3.4865062,feature,19
0,sides,Siddies,4.481206,sideways,20
1,galaxy,gallquesy,,guilty,20
2,existence,esastence,,existence,20
3,unto,unto,4.782383,until,20
4,focuses,cophexes,,cops,20
0,discrimination,DiScRiMinAtioN,-0.81997126,Discrimination,21
1,celtic,celletic,,Celtic,21
2,expect,exsppect,,Expect,21
3,tactics,takticc,,Tactics,21
4,suggested,suggestede,,Suggested,21
0,consequences,CoNsEqUeNcEs,-0.74808556,Consequences,22
1,abandoned,abandineds,,abandoned,22
2,animals,aunimeals,,animals,22
3,observation,Observation,4.3192663,observation,22
4,disciplines,dissiplinise,,discipline,22
0,artificial,artifical,4.9905396,artificial,23
1,surprised,serpreised,,preserved,23
2,sound,sownd,,sworn,23
3,gateway,gatewayg,,gateway,23
4,rose,Roseeee,1.4959329,rose,23
0,dawn,dawng,,dawn,24
1,architectural,arkehiteeqtsiural,,arkehitee,24
2,ronald,rounleded',,rounded,24
3,pittsburgh,pittsurghe,,pitstop,24
4,liable,liabele,,libel,24
0,lamb,lahmb,,lamb,25
1,visits,VISITS,0.50182796,visit,25
2,relevant,releavent',,reveal,25
3,measurements,measurement'ss,,measurements,25
4,broker,browker,,broker,25
0,primary,primaryi,,primary,26
1,lincoln,lingon,,longon,26
2,sellers,selers,,seller,26
3,perry,perri,0.70707077,perry,26
4,surprised,surprisedf',,surprise,26
0,formula,formulah,,formula,27
1,dial,Dil,-0.9801113,dil,27
2,assurance,assurance,4.9511833,assure,27
3,appearance,appearance,4.7988486,appear,27
4,integrate,ienteghrate,,inertia,27
0,souls,soulsd,,soul,28
1,egyptian,esiyptiakn,,Egyptian,28
2,tutorial,teutoriall,,tutorial,28
3,nutritional,nutritional,4.4268293,nutrition,28
4,territories,Territories,4.1502867,territory,28
0,buttons,BUttons,0.82031506,buttons,29
1,variations,variasians,,variations,29
2,hardware,harrddware,,hardware,29
3,couple,coupale,,coupée,29
4,credit,creadit,,created,29
0,precipitation,precipitation,4.5233545,precipitate,30
1,comments,commentsh,,comment,30
2,understand,UnDeRsTaNd,-0.10995871,undoubtedly,30
3,reasons,REaSoNS,-0.0059188087,reason,30
4,purpose,peurpose,,purpose,30
0,having,hiving,,hive,31
1,alternatives,alltternativs,,alternative,31
2,pichunter,pichunter,,hunter,31
3,innovation,inovassion,,invasion,31
4,reason,reasen,,reason,31
0,neon,nteon,,notion,32
1,larger,larsar,,larsar,32
2,dated,dated',,date,32
3,potter,poter,4.4076004,potato,32
4,matter,maaattterrr,4.687739,matters,32
0,meet,meetedl,,meeting,33
1,turkish,tourchis's,,tourist,33
2,stack,stack',,stacked,33
3,ending,endingn,,ending,33
4,oracle,orachlewe,,oracle,33
0,satisfaction,satisfactionalf,,satisfaction,34
1,perry,perrya,,perry,34
2,adequate,adequte,2.822136,adequate,34
3,equipment,equipment',,equipment,34
4,pittsburgh,pitsburg,,Pittsburgh,34
0,silent,silentt,,silent,35
1,unique,uNIquE,-1.1819532,unique,35
2,delivering,dellivereng,,deliver,35
3,creations,creationss,,create,35
4,iowa,yoaho,,yoho,35
0,drilling,drilling',,drilling,36
1,throughout,throuwht,,throwing,36
2,hardware,hardwaret,,hardware,36
3,likely,likly,4.6632338,likely,36
4,only,oNLY,-0.8777685,only,36
0,dispatched,dispattafedd,,dispatcher,37
1,parents,pperents,,perpetrator,37
2,preston,praiscton,,praise,37
3,sublime,sublimen,,splendid,37
4,manufacture,manufacture,4.7299666,manufacturer,37
0,answered,answereed,4.944961,answered,38
1,lifestyle,lifestylev,,lifestyle,38
2,communicate,CoMMUnicAtE,-2.0671558,communicate,38
3,murray,murry,4.113051,murder,38
4,disciplines,disciplines,4.8559566,discipline,38
0,relocation,relocatin,4.460218,relocation,39
1,jersey,Gersey,,Jersey,39
2,neil,nEl,1.1344945,nel,39
3,settle,settle'sf,,settle,39
4,stone,STONE,-1.1616677,stone,39
0,slightly,selightly,,slightly,40
1,rough,rOuGh,-0.29917115,rough,40
2,vitamin,vitaminedm,,vitamin,40
3,commands,Commands,4.4806094,command,40
4,revenue,revenue,5.0117087,revenues,40
0,awful,auphale,,aphale,41
1,calgary,calgary',,calgary,41
2,islands,Eyland's,,Eylands,41
3,registrar,registrar,4.96924,register,41
4,sofa,sofa,4.065605,sofa,41
0,suggest,suggest,,suggestion,42
1,anthony,Ånthany,,anthony,42
2,nepal,nipal,,nepal,42
3,scales,scalez,,scale,42
4,phrases,ghrapes,,grapes,42
0,broker,breoker,,broker,43
1,boots,bootts,,boots,43
2,hope,hop,,hop,43
3,proxy,proxy,4.6567783,proxy,43
4,sims,Sim'sm,,simply,43
0,trusts,tructs,,structs,44
1,grew,grew,4.797026,grow,44
2,projectors,projectorsn,,projection,44
3,well,welle,,well,44
4,visits,visits,4.97786,visit,44
0,queue,qeue,,queue,45
1,poverty,poverrte,,povert,45
2,partially,partiallyes,,partial,45
3,carter,cartewr,,cartewre,45
4,limited,limetede,,limeted,45
0,valid,valleded's,,valued,46
1,francis,francis,5.013788,frances,46
2,guitar,guittar,,guilty,46
3,infected,infecteds,,infected,46
4,salaries,salries,5.033715,salary,46
0,signatures,SIGNATURES,-2.000012,signatures,47
1,municipality,municippahlatty,,municipality,47
2,acre,acare,,care,47
3,hotel,hotele,,hotel,47
4,tobacco,tobaccot,,tobacco,47
0,challenges,chuallendjes,,chameleon,48
1,albums,aulbums,,album,48
2,analyze,analys,,analyze,48
3,manufacturing,manufacturinga,,manufacturing,48
4,arctic,arcedic,,arched,48
0,steps,stephs,,steps,49
1,meet,mEt,3.1123397,met,49
2,papua,papio,,papier,49
3,vastly,vagstly,,vagary,49
4,repeat,repeit,,repeat,49
0,senior,SENIOR,-1.2818601,senior,50
1,appraisal,appraisal,5.053309,appraise,50
2,develops,DEVELOPS,-2.0514302,develop,50
3,announce,annouence,,announce,50
4,photoshop,photoship'sl,,photoshop,50
0,silence,silencie,5.0359297,silent,51
1,flooring,floorin,,floating,51
2,trailers,trailern's',,trailer,51
3,planned,PLANED,-2.980698,planned,51
4,athletes,athlete'se,,athlete,51
0,indian,Indin,2.3601258,India,52
1,pittsburgh,Pittsburgh,3.15677,Pittsburgh,52
2,interested,interresstted,,interested,52
3,investigator,invecetigaterh,,invertebrate,52
4,easy,easiee,,easy,52
0,awards,AWARDS,-2.7927969,awards,53
1,appeals,appyls,,apps,53
2,reproductive,reproductivebel',,reproductive,53
3,nutritional,nutritionnoll,,nutrition,53
4,meter,mbeter,,better,53
0,varies,veries,,very,54
1,anthony,enthony,,entropy,54
2,quotations,quotation's',,quotations,54
3,assistance,assistins,,assistance,54
4,advertisement,advertisemently',,advertisement,54
0,joshua,joscua,,jocosa,55
1,spank,spanc,,spank,55
2,quotations,queuottations,,quarreled,55
3,consistently,coniistentally',,concurrently,55
4,collectables,collectablese,,collectable,55
0,replication,replucation,,reputation,56
1,partners,PARTNERS,-2.572271,partner,56
2,podcast,ppaudcast,,pavement,56
3,dishes,dishes',,dish,56
4,experiencing,eexpeeriincing,,experience,56
0,uzbekistan,usbbecistan,,Uzbekistan,57
1,proven,ProVeN,-1.1677476,Province,57
2,linux,lainquecksed,,inquired,57
3,accordance,accordances,,accommodations,57
4,hull,Hull,1.2869068,Hull,57
0,boring,BOOOORRRRRRIIINNNNNGGGG,-0.63123167,bored,58
1,distinction,distinction',,discrimination,58
2,alarm,alarm,5.070116,alarm,58
3,actress,actress',,actress,58
4,firewire,FireWire,0.29223654,firewire,58
0,driven,drivewn,,drive,59
1,aquarium,acquarium',,aquarium,59
2,high,high,,high,59
3,leone,leon,,Leon,59
4,sullivan,sullivan,4.9199715,Sullivan,59
0,idea,idia,,idea,60
1,constantly,consteonttly,,constantly,60
2,tags,TAGS,-2.673197,tag,60
3,informational,informationale,,informal,60
4,delivery,delivari,,delivery,60
0,financing,Financing,3.626792,Finance,61
1,sublime,sublime,4.939637,Superb,61
2,theft,theft,4.6377444,Theft,61
3,throat,throaghtl,,Throat,61
4,communicate,ComMuNIcaTE,-1.874888,Communication,61
0,strain,straing,,string,62
1,manufacturers,Manufacturers,3.2710364,manufacturer,62
2,heating,heating,,heat,62
3,slope,slope,4.7577677,slope,62
4,lounge,lounque'se,,lounge,62
0,modular,modulars,,modules,63
1,turbo,tuwrbo,,turbobo,63
2,tools,TOOLS,-1.1501381,tools,63
3,partially,portialy,,portably,63
4,registration,registration,4.838233,registration,63
0,decline,declline'sl,,declined,64
1,hearing,hearing,4.9405727,hearing,64
2,computation,Computation,3.599133,computing,64
3,strongly,stranggly,,strangely,64
4,spanish,spahnish,,spanish,64
0,river,river,4.8623023,river,65
1,affects,affexedt,,affected,65
2,personality,Personality,3.0303383,personality,65
3,temperatures,Temperatures,3.6830108,temperature,65
4,kennedy,Kennidy,,kennedy,65
0,priorities,prioreedies,,preordained,66
1,thru,theru,,thorough,66
2,investigated,investigatedb,,investigate,66
3,credits,CREDITS,-1.9724706,credits,66
4,graham,Grah'm,,gram,66
0,tablet,tablett,,tablet,67
1,cave,chave,,shave,67
2,workforce,worrcforce,,workforce,67
3,telephony,telephone'sp,,telephone,67
4,canon,canonn,,canon,67
0,const,Const,2.459649,constant,68
1,woods,wooeds,,woods,68
2,indexes,indquescest,,incest,68
3,strictly,strictlys,,strictly,68
4,high,HIgh,0.106810175,high,68
0,council,chouncil,,council,69
1,afghanistan,affhanistinglyc,,afghanistan,69
2,provide,pruvide,,provide,69
3,multi,multti,,multiply,69
4,oklahoma,okllehoma,,oklahoma,69
0,proc,proc,,process,70
1,liability,liabileitey,,liable,70
2,influences,infulances,,infinite,70
3,facilitate,FACILITATE,-2.224508,facilitate,70
4,arlington,arlington,5.0471797,arlington,70
0,toward,ToWaRD,-2.2480721,Tower,71
1,chosen,chastenn,,Chestnut,71
2,nonprofit,ntonprofat,,Nottingham,71
3,anne,annes,,Annes,71
4,pichunter,pizchanterr,,Pitcher,71
0,findings,finndins,,finds,72
1,stone,setone,,set one,72
2,jamaica,jomaica,,jamaica,72
3,parts,partss,,parts,72
4,opening,oponing,,opening,72
0,featuring,featturin,,feather,73
1,upset,uopset,,upset,73
2,francis,francis',,Francis,73
3,sellers,seller'sl,,seller's,73
4,desert,daisert,,daisy,73
0,accordance,accoreddance,,acrobatics,74
1,beverage,beverage,4.7877393,beverage,74
2,logical,logicall,,logical,74
3,amended,amended',,amended,74
4,discourage,descourige,,desperate,74
0,roommate,roomate,,roommate,75
1,firewire,firewier,,fireworks,75
2,later,laters,,later,75
3,branches,brahntches,,branches,75
4,drama,drame,,drama,75
0,photographer,Photographier,2.859798,photographer,76
1,shannon,shanon,,shannon,76
2,occurring,ooccurring,,occurring,76
3,participating,participatingly,,participatingly,76
4,efforts,ehfforts,,efforts,76
0,spanish,SPANISH,-2.52097,Spanish,77
1,obesity,obesity',,obesity,77
2,caring,carin,,care,77
3,mate,maite',,mate,77
4,sweden,sweeineds,,sweetened,77
0,suited,sewted,,sewed,78
1,textbooks,textbooks,4.8430214,textbook,78
2,streams,STREAMS,-1.7306969,stream,78
3,sterling,steerlling,,steering,78
4,applies,apply's,,apply,78
0,bill,bil,2.4181623,bill,79
1,publisher,peupblisher,,publisher,79
2,roommate,roommatet,,roommate,79
3,vérité,vérité,,truth,79
4,sleep,ssleep,,sleep,79
0,slave,slaveeeee,4.324759,slave,80
1,similarly,simmelirylyl,,simply,80
2,relations,relations,4.996325,relationship,80
3,impressive,imprressiv,,impressive,80
4,alternatives,alternatives',,alternative,80
0,marijuana,merajuana,,marijuana,81
1,portsmouth,portsmouth'ss,,portmouth,81
2,trial,triable,,trial,81
3,figured,figgured',,figured,81
4,staying,staying,4.7645426,stay,81
0,situations,situatns,4.956999,situation,82
1,deer,deerf,,deer,82
2,trusts,trustts,,society,82
3,society,soaciity,,society,82
4,reliance,reliancee,,reliance,82
0,marvel,marevel,,marvel,83
1,banned,banned,4.99073,ban,83
2,magnificent,Magnificient,1.8896582,magnificent,83
3,relate,relate',,relate,83
4,year,yearied's,,yearied,83
0,actress,Actress,1.1030655,actress,84
1,later,lawter,,latter,84
2,regions,regions,,region,84
3,chamber,tiamber,,timer,84
4,weapon,wEaPoN,-1.766879,wateron,84
0,contrast,contrasked,,contrasted,85
1,utilization,utiliszation,4.286212,utilized,85
2,karl,karl,4.935115,karl,85
3,penguin,pengwen,,pengwin,85
4,flow,flow,4.8108335,floe,85
0,silence,silencee,,silence,86
1,analyses,aunalycees,,anxiety,86
2,flavor,flavper,,flapper,86
3,substitute,substitutees,,substitute,86
4,update,updat,,update,86
0,persistent,persistantu,,persistent,87
1,chassis,chiassis,,chassis,87
2,heating,hiting,,hitting,87
3,speaks,speyks,,spikes,87
4,bold,Bold,0.2416233,bold,87
0,previews,prevyewx,,preview,88
1,wave,wav,,wave,88
2,roughly,roughly,4.8546443,approximately,88
3,lindsay,lindzay,,lindsey,88
4,shipment,shipmounet,,shipment,88
0,narrative,narative,4.284873,narration,89
1,barbados,bearbbados,,bearboads,89
2,lynn,linn,,line,89
3,narrative,narrrative,4.813467,narration,89
4,bridges,bridges,4.5752277,bridge,89
0,threatening,threatningingt,,threatening,90
1,spank,spankedk,,spanked,90
2,knock,KNOCK,-0.3854528,knock,90
3,bios,bioc,,bio,90
4,circumstances,CirCuMsTaNceS,-0.3865038,circle,90
0,participate,particypate,,participate,91
1,hotel,hotwel,,hotel,91
2,equipment,EQUIPMENT,-2.5356414,equipment,91
3,likely,likley,4.5734754,likely,91
4,alien,alien'sh,,alien,91
0,cleveland,cleavelened's',,cleveland,92
1,exposé,epscawese,,episcope,92
2,football,fotoball,4.5671897,football,92
3,continent,continent',,continent,92
4,jeremy,egremy,,emery,92
0,atom,agtom,,atom,93
1,pack,pac',,pact,93
2,finder,findear,,finder,93
3,indefatigable,indefatigable,4.740338,indefatigable,93
4,chen,chun,,chunk,93
0,flow,flough,,flood,94
1,podcast,podqastt,,podcast,94
2,jones,JONS,-2.115008,Johns,94
3,music,musec,,muse,94
4,sake,sakee,,sake,94
0,privacy,preivecy,,prejudice,95
1,listings,listingsm,,listing,95
2,physiology,physiologry,,physiology,95
3,karl,karl,4.935115,karate,95
4,continues,conetinous,,constant,95
0,islamic,elsamick,,elasmoc,96
1,society,societiy,4.781815,society,96
2,moderators,maederadors,,maestro,96
3,informational,INFORMATIONAL,-2.2370727,informative,96
4,picture,pictuyre,4.420852,picture,96
0,pichunter,pichunter,,pichunter,97
1,turbo,turbo,4.693933,turbo,97
2,exports,exportsh,,exportsh,97
3,promise,promise',,promise,97
4,dash,dahsh,,dash,97
0,upset,upsit,,upset,98
1,tablet,Tablet,2.044163,tablet,98
2,carlo,carlo,4.450913,carlo,98
3,slides,slide'ss,,slide,98
4,work,woRk,3.3414059,work,98
0,versus,versus,4.8803635,versus,99
1,hung,HUNG,-2.2517529,hung,99
2,scenic,senic,,sensible,99
3,directory,directorylye,,directorylye,99
4,bottle,bottle,3.692908,bottle,99
0,sandy,Sandi,0.5515107,Sandy,100
1,sudden,suddden,4.8077145,sudden,100
2,chargers,chargert's,,charger's,100
3,investigations,investigations,4.8748612,investigation,100
4,challenging,challenging,4.7583437,challenge,100
0,welfare,WElFaRe,-0.30507687,Welfare,101
1,cells,cels,4.8886147,cell,101
2,preparation,preparantai,,preparation,101
3,ohio,OhIO,0.19946235,Ohio,101
4,throat,throaed,,throat,101
0,streams,streamz,,streams,102
1,tribes,Tribs,1.7143549,tris,102
2,ought,aughteds,,oughts,102
3,bacon,backan,,backhand,102
4,laugh,LAUGH,-2.7853584,laugh,102
0,major,majer,,major,103
1,circuits,ceircots,,circots,103
2,gravity,ggravite,,graveite,103
3,cuts,cuts,4.9623604,cut,103
4,solo,soolow,,smallow,103
0,replication,reppllecation,,repulsion,104
1,similarly,simmeliryly,,similarly,104
2,proxy,proxsy,,proxy,104
3,secret,secwret,,secret,104
4,blank,blankf,,blank,104
0,drop,drrop,,drop,105
1,austin,austtin,,austin,105
2,tier,tir,4.8269796,tier,105
3,merely,mirely,,merely,105
4,tactics,teagctics,,teaching,105
0,kinase,kinase,,kinase,106
1,xerox,Xerox,4.0246067,xerox,106
2,batch,beatch,,beat,106
3,scan,scahn,,shank,106
4,consistently,Consistently,3.535868,consistently,106
0,risk,rick,,rickety,107
1,computation,Computation,3.599133,computing,107
2,risk,riskedch'sl,,risky,107
3,neural,Neural,1.0792716,neural,107
4,wave,wavel,,wave,107
0,costs,chosts,,hosts,108
1,self,Selllf,1.392424,shelf,108
2,headlines,heaedlleines,,heddles,108
3,intervals,Intervals,4.401956,interval,108
4,taxation,taxiations,,taxi,108
0,celebrities,Celebrities,3.4948947,celebrities,109
1,expressions,ecpreassionz,,ecpreassionz,109
2,examples,examnples,4.684854,examples,109
3,miracle,Miracle,0.9825606,miracle,109
4,creations,creation's',,creation's,109
0,bubbles,bubles,4.6865544,bubble,110
1,seven,Seven,2.835929,seven,110
2,hunt,hugnt,,hug,110
3,jelsoft,jelsoft,4.6799574,jello,110
4,linking,linking'sm,,linking,110
0,distinction,DISTINCTION,-1.9793928,distinction,111
1,retro,RETRO,-0.4760522,retro,111
2,introduced,intraduceds,,introduction,111
3,trailers,trailorrs,,trailer,111
4,corresponding,correspondingl,,corresponding,111
0,residents,Residents,3.6418276,Resident,112
1,logitech,logitech,3.7357888,Logitech,112
2,lopez,lopeaz,,Lopez,112
3,telecom,talecomm,,Talecomm,112
4,exposé,Exposé,2.441863,Exposure,112
0,meta,metu,,menu,113
1,leads,Leads,1.2514025,lead,113
2,settle,schettle,,scuttle,113
3,control,ckantrol,,cantrol,113
4,aids,AiDs,-2.4321458,aid,113
0,accounts,accuent'st,,accent,114
1,anybody,enebogeedl,,envelope,114
2,manuals,manula'sl,,manuals,114
3,colombia,ckolombie,,colombia,114
4,relative,relletive,,relative,114
0,namespace,Namespace,2.2617476,Noun,115
1,cosmetics,cosmeticts,,Cosmetics,115
2,funds,fonds,,Funds,115
3,fujitsu,fugiest,,Fugitive,115
4,generous,generous'sl,,Generous,115
0,situation,situation',,situation,116
1,module,modulew,,module,116
2,proven,proveen,,proven,116
3,headquarters,headqwoarters,,headquarters,116
4,athletes,athleets,4.9309344,athletes,116
0,manufacturers,manufacturers,4.8311896,manufacturer,117
1,requiring,Requiring,3.4046526,requirement,117
2,toned,Toned,2.949932,toned,117
3,varies,vary'sy,,vary's,117
4,length,lengcth,,length,117
0,remedy,rremedy,,remedy,118
1,anyway,annyway,,anyway,118
2,iowa,ioa,,ioa,118
3,fioricet,fioricet,,fioricet,118
4,coding,colding,,cold,118
0,function,funcction,4.235533,function,119
1,prepare,prupare,,prepare,119
2,extent,exsant,,excitant,119
3,mambo,mamboe,,mambo,119
4,length,length's',,lengths,119
0,unless,unlosss,,unloss,120
1,semester,Semester,4.922676,session,120
2,viewer,vuerer,,viewer,120
3,vitamin,viktamen,,victim,120
4,marie,Marre,-0.09139126,marry,120
0,moscow,Moscow,0.4106751,Moscow,121
1,commons,common'sl,,common sense,121
2,wishing,WISHING,-2.386747,wish,121
3,timer,Pitherma,,pitcher,121
4,possibilities,posebiliteis,,possibilities,121
0,jersey,JERSEY,-1.2433133,Jersey,122
1,learned,LEARNED,-2.4373343,learned,122
2,deutsche,deutsh,,German,122
3,viking,VIking,3.2986422,Viking,122
4,jersey,jursey,,Jersey,122
0,trans,tran'sl,,translate,123
1,concern,concern,4.863932,concerned,123
2,manufactured,MANUFACTURED,-2.0106378,manufactured,123
3,movie,moove,2.3691165,move,123
4,arising,arsing,4.7898154,arousing,123
0,impressive,impressev,,impressive,124
1,infrastructure,ientfrastructtur,,infrastructure,124
2,moscow,mosckow,,moscow,124
3,publication,pebleicaschon,,pebble beach,124
4,funds,ffunds,,funds,124
0,homes,HOMIES,-2.3031795,Home,125
1,hosting,Hosting,1.791427,Host,125
2,washing,washing',,Washing,125
3,commands,command'sm,,Command,125
4,jersey,Jersey',,Jersey,125
0,cdna,Gand,,Gandalf,126
1,solar,soller',,Solitaire,126
2,frequencies,frycuoncies,,Frycoccies,126
3,barbara,bborbara,,Borobara,126
4,reasons,reasans,,Reasons,126
0,type,teype,,type,127
1,lifestyle,Lifestyle,2.5588303,style,127
2,investigated,ienvestigattede,,investigate,127
3,multi,Jumlitl,,jumble,127
4,demonstrates,Demonstrates,3.2922618,demonstrate,127
0,alternatives,altarneteves,,altarneteves,128
1,already,elarrieded,,elarrieded,128
2,cities,CITIES,-0.89955354,cities,128
3,provinces,provinces,4.9999866,provinces,128
4,cayman,caymon,,caymon,128
0,streets,streats,,streets,129
1,combines,combine'st,,combined,129
2,thumbs,thumb'ss,,thumbs,129
3,sensitivity,sehnsattivity,,sensativity,129
4,throughout,Throught,3.3153038,thought,129
0,hungarian,hungryAn,-0.57476884,hungry,130
1,contractor,contteracteore,,controversy,130
2,function,fincktion,,fiction,130
3,reproductive,reeprodeucteve,,reputation,130
4,roommate,rhommate,,roommate,130
0,efficient,eficitne,,deficit,131
1,setting,setting,4.9717684,setting,131
2,staffing,Staffing,4.6906667,staffing,131
3,wordpress,wordpress,,wordpress,131
4,input,Input,1.9192537,input,131
0,composite,commposote,,compost,132
1,estimates,Estimates,3.9849038,estimate,132
2,calgary,Calgary,4.1134396,Calgary,132
3,extent,extdnet,,extent,132
4,intent,intentc,,intent,132
0,jeremy,Xeremy,,Xerxes,133
1,advised,adiveced,,advised,133
2,evening,Evening,3.5710366,evening,133
3,shelf,shelfedh,,shelf,133
4,parts,parts,4.933315,part,133
0,sudden,suden,4.057406,suddenly,134
1,scheduled,schaeduled,,scheduled,134
2,projectors,Projectors,2.9961066,projector,134
3,photoshop,phowtoshoppe,,photoshop,134
4,education,educatione,,education,134
0,treating,treating'st,,treated,135
1,banned,BAND,-2.8743103,band,135
2,replication,replication'sl,,replication,135
3,band,banced,,balanced,135
4,delaware,dealawere,,dealer,135
0,count,counted'ss,,counted,136
1,dedicated,dedikateed,,dedicate,136
2,transportation,transportatener,,transport,136
3,graphics,gRaPhIcS,0.122050405,graph,136
4,temperatures,tempereateurs,,temperature,136
0,screens,sscreens,,screens,137
1,worlds,worrlds,,worlds,137
2,packed,paked,,packed,137
3,silk,silked',,skilled,137
4,efficiency,Efficiency,3.8053396,efficiency,137
0,relocation,rrelokation,,relocation,138
1,dispatched,DISPATCHED,-2.338157,dispatched,138
2,edges,edgez,,edges,138
3,exterior,EXTERIOR,-0.043174166,exterior,138
4,graham,graem,,gram,138
0,completed,ckompletted,,completed,139
1,phones,phoness,,phonetic,139
2,productivity,produxteviti,,productivity,139
3,nursing,ngursing,,nursing,139
4,mutually,mutually,4.723682,mutually,139
0,silence,silence',,silent,140
1,examples,examplesm,,example,140
2,scanning,scanneng,,scanning,140
3,prompt,promppt,,prompt,140
4,authorized,Authorized,2.300221,authorized,140
0,corner,corner,4.9948564,corner,141
1,unnecessary,unnecesswaryly's,,unnecessary,141
2,women,womon,,woman,141
3,katrina,Katrina,4.4351916,catrina,141
4,update,update,3.529374,update,141
0,davidson,davidonce,,David once,142
1,walter,walter,5.0642924,Walter,142
2,africa,africo,,African,142
3,hacker,hackwer,,Hacker,142
4,refers,refpers,,Refers,142
0,chicken,chickeng,,chicken,143
1,approximately,approximatelybly',,approximately,143
2,typical,tYpIcAl,-0.58538586,typical,143
3,nearby,neearby,,nearby,143
4,metallic,metallich,,metallic,143
0,amount,amounet,,amount,144
1,supreme,sourpeme',,sour cream,144
2,mariah,mmariah,,mariah,144
3,semester,semmestor,,semester,144
4,biography,byography,,byography,144
0,credits,Credits,4.134527,Credit,145
1,anxiety,angxieti,,angry,145
2,effect,effect,4.8705373,effect,145
3,authorized,authoreeized,,authorized,145
4,market,MaRkeT,-0.64992106,Market,145
0,albuquerque,albequerrque,,albequerrque,146
1,convention,conventn,4.8698926,convent,146
2,decide,DECIDE,-2.6881955,decide,146
3,lamb,lamb'st,,lambst,146
4,menu,munet,,munit,146
0,python,python's',,python's,147
1,mail,mal1,3.0624864,malaysia,147
2,ones,ons,,on,147
3,everyone,eVeRyOnE,0.86864716,everywhere,147
4,emerald,emeralded,,emerald,147
