clean,perturbed,legibility_score,legible
freelance,fԻeʙìͻԵze,-2.4039578,
freelance,ϊreêlarԑe,0.97469133,
singapore,sїngӭpoґe,1.4503809,
singapore,əiяgƌpɒԦê,-2.25201,
inventory,inveηҼéry,0.97061574,
inventory,їoventoгy,3.5786848,
rico,riźo,-0.19237767,
rico,zioo,-1.1852702,
enforcement,өրtcrcement,3.5780327,
enforcement,eԦǂɛbcement,0.34821558,
blair,biair,4.9378324,
blair,blaiɍ,4.4437976,
asking,aɢk1Իg,-1.0688294,
asking,aƨkinΧ,1.0371226,
eddie,ѐďdie,2.4074352,
eddie,ԑddŝe,0.12247686,
economic,ɛոoсomiɛ,2.4718153,
economic,ӟcoɾoɯՖc,-1.886796,
translations,Նѓanӭǐӟtions,-0.7321675,
translations,ʻranslationе,2.4264498,
conduct,ccňʚuct,0.012030449,
conduct,cōիducǂ,-0.014137972,
mens,meŉs,1.95112,
mens,meʀs,4.0884767,
take,fɞƘe,-0.85208535,
take,takɒ,0.73172206,
stranger,зͳŉʚnǧϵr,-2.2281625,
stranger,stՒänƽer,-0.065952264,
choir,ԑhoir,2.4071436,
choir,cϧoir,-0.49323753,
princeton,princзǂōn,-0.09954843,
princeton,qгinćeƫɛϧ,-1.3060153,
granted,granͳeô,-0.8103365,
granted,ɡrantêd,1.7073891,
accommodation,accŏmǌodation,2.4474523,
accommodation,äǒcƈњmoůation,-1.4659957,
trap,tĥæp,-2.4956815,
trap,tñaȿ,-1.9051098,
screening,ŝcrƶenioΚ,-0.15105325,
screening,ŝcŉeԑɾiɓg,0.14168298,
utils,ϋtils,1.0758216,
utils,ύtils,3.3532715,
renewal,ʀȅnewáʖ,0.22680634,
renewal,neϧewaǐ,-1.3937174,
librarian,libharłan,2.2989511,
librarian,iǐbraĥian,0.76643807,
tile,tiɨe,4.5276537,
tile,tilԀ,1.8714274,
flux,fıux,2.7359083,
flux,ǂlux,1.8675114,
reducing,ɦօducing,0.36415625,
reducing,ŉedύcing,1.610674,
joint,˥oinʃ,-1.0179982,
joint,Ԅȯʅnt,-1.9599141,
reads,Եeǎöͼ,-3.2235727,
reads,rɵads,2.4837058,
surfaces,surƭacƽs,3.8051698,
surfaces,surſaėes,2.537592,
leaves,ӏëսƲes,-1.607663,
leaves,lԑaʫēs,-0.96184397,
operational,oէecæκՖəñal,-1.8800288,
operational,operæճioяal,-0.42962325,
implemented,impżemeɦted,2.0068915,
implemented,ļmpΪeɷeՒted,0.20169488,
anywhere,anԿwhөrʫ,-2.1276603,
anywhere,öόyʍherȇ,-0.89186627,
pixels,pixȇļs,3.090493,
pixels,ҏixөՖs,-1.6018646,
soup,sзuq,-1.2296916,
soup,sóöp,-0.6736684,
confidence,ɒcnƫidɒncȅ,-0.8760556,
confidence,conͳidencԑ,2.817102,
dimension,diѦėnsiòɾ,0.011252971,
dimension,dimensioс,2.8931835,
genome,ģɒnoѦě,-2.599091,
genome,geroѩė,-0.55905735,
booth,ɞooth,-0.6272202,
booth,bϭʚth,-0.33443466,
solomon,sȯlomon,3.5602274,
solomon,ǝolomon,0.011319257,
traveling,ճɦʚvelɬng,-0.48526645,
traveling,ťraԕeling,3.7981498,
verified,verifıeȧ,2.8320396,
verified,véσiƑįěd,-0.26860434,
vessel,vesȧëЇ,0.7506196,
vessel,vȱsͼʙl,-1.758152,
subjects,sǔɛjecǳs,-0.6573084,
subjects,sdbjɵctӫ,0.3864339,
powder,pɓωdeǹ,-0.0562393,
powder,pöψder,0.9633145,
lets,leǆs,-1.2189668,
lets,lɛҒs,0.9630132,
filed,ʕiiád,0.7393814,
filed,Ϯiled,1.4703654,
joined,jożǹeô,-2.3668928,
joined,joineȧ,2.012487,
tunnel,tuοhel,0.17129317,
tunnel,funheɭ,1.4240059,
cookie,εɞokǐe,-0.56705844,
cookie,cookɨe,3.1948621,
hard,hʚrձ,-2.3759735,
hard,harԀ,4.8878474,
sets,setɢ,-0.12387617,
sets,seʅs,-0.23842293,
outlets,outļʚŧs,1.7496518,
outlets,ouιletɛ,1.7193391,
entity,entitН,1.3430622,
entity,entiǆy,-0.6278698,
helena,helěǹa,2.1571906,
helena,helȍna,0.4911087,
answer,đnswėn,0.5255284,
answer,áŋsweŉ,1.3398926,
appeal,aҫϸeal,0.44427323,
appeal,apǹeal,0.32733685,
kong,Ƙəng,1.2534436,
kong,Ҝϵng,-0.3404585,
albert,slʙert,0.9018854,
albert,ǒǽөert,-2.4124165,
policy,policy,4.6688824,
policy,poliõy,-0.18306787,
computational,cԀmpűťaՆioǹæl,0.2657463,
computational,cɓmpuŧǟtչoɦal,-1.4827844,
masters,mâsters,3.8633084,
masters,masʈɛrs,4.5460978,
nancy,nâncy,2.9499626,
nancy,իanϭy,-0.5141453,
possibility,էƨssiʙΙշity,-0.56340396,
possibility,էoɜsibilĺty,0.44909486,
thanks,traгks,3.7800515,
thanks,thaҺқɘ,1.4438856,
mazda,mđzdȧ,3.2805407,
mazda,ψԀʙda,-2.1727786,
gave,½aņe,-2.7411296,
gave,gȧve,4.455751,
nurse,ñƱrəe,-1.2882617,
nurse,իursʙ,-1.1136307,
healthcare,ѓeàïthcэre,0.32254508,
healthcare,healtǹeare,2.6913307,
advancement,advanɓemєbt,1.5307668,
advancement,ɑdԔanoeɷent,-0.28116637,
disk,dӏsљ,-1.9073365,
disk,dlsk,2.2380362,
verzeichnis,ϼeɐͼeioƞniź,-2.0842884,
verzeichnis,verɛeīchhis,4.5640526,
humans,huжэns,0.35992324,
humans,hûmans,3.4007792,
stuff,stů(f,0.50456846,
stuff,вtuff,0.69839394,
george,gϵʚґge,0.56528455,
george,gɛoʀge,0.7052274,
initiatives,ïnitìatĭʉeə,-0.54689103,
initiatives,ƚnitIȧſives,1.5103506,
announcements,anяouɒcėmenʣs,-1.8023914,
announcements,anňoɺnċementə,0.04200956,
energy,eneсgy,4.106667,
energy,ɘnсrͶy,-1.2153374,
surgical,surХīεai,1.0216151,
surgical,ϩuпgical,-0.122598626,
mouth,mouͲh,1.7988125,
mouth,ɰouϊh,-2.2300534,
reflection,rƶflectioc,2.2078617,
reflection,ȑefїection,3.5297089,
excitement,exclteʍénť,2.5841548,
excitement,ėxċŀҨemʙnf,-0.7927149,
mary,ЖăԻy,-0.3224735,
mary,maѓӌ,2.5505886,
lanka,łēnƙӟ,-2.6472814,
lanka,ǐanҩa,-2.4290164,
plaintiff,րlaıntifƭ,3.9956973,
plaintiff,ɕlãıhtiǳf,-1.9983009,
adding,aȧding,4.7598114,
adding,adǚing,-0.89356357,
bond,bond,4.7785892,
bond,сond,-0.19118789,
restriction,resțѓiƃţion,1.1286702,
restriction,restnictiԵn,3.3600311,
tested,tĕsҒċd,0.14810067,
tested,testɵd,2.5003452,
aggressive,agğressIvz,1.6269692,
aggressive,axKrɞssiɵė,-0.70564795,
rebecca,reɛeccã,1.237343,
rebecca,reǹecca,0.33208135,
finishing,finıʚhing,2.0146644,
finishing,]iσishing,1.5744408,
achievements,achīɵvements,4.335473,
achievements,äcnieɇͼmenſs,0.3127404,
acres,ƨcres,0.76314837,
acres,acrʚs,1.4365385,
designed,desɨgnӫd,2.2041776,
designed,deзïgneӛ,-1.6012945,
cloud,eloud,2.3203566,
cloud,cɬoǓd,0.36753684,
necklace,ŉecklace,3.4876206,
necklace,necӄlӛeԑ,-1.1604443,
vids,viöа,-1.6877332,
vids,ȕiōԍ,-3.0890398,
colored,cɒƚored,2.022508,
colored,cɞlօrέƌ,1.9156055,
filtering,ťiıͳering,1.5246091,
filtering,filʃerĺng,1.8455808,
collaborative,bollēοϭŕative,0.7311497,
collaborative,coչlaboratʅve,1.8841873,
campaign,camþaign,1.9694884,
campaign,caψpaiɡn,0.69848394,
pendant,pendant,4.871004,
pendant,pьǹɑant,-1.6649473,
producing,prodůcing,2.9934895,
producing,prսducing,4.2188,
largely,langeīȳ,-0.19351527,
largely,lar¼ely,0.58901364,
brooklyn,óĦcoklчn,-1.6904194,
brooklyn,bԻooklyϧ,2.1853476,
piece,pīece,3.71465,
piece,pɬece,1.1320332,
playlist,pìaylist,3.781274,
playlist,ęɨɜӴıɨst,-2.315759,
launched,launɔпɐd,-0.8230861,
launched,laǔocheɺ,-2.4006348,
speaker,ʚpeɞkeɍ,0.31982428,
speaker,sșeakɵɾ,2.9267368,
donors,öonorɵ,-2.0285301,
donors,ʚźηo¤s,-3.0480194,
roman,nomăϧ,-1.8855301,
roman,nomăn,0.59091103,
gates,gatсs,1.9805095,
gates,gateź,-0.32503164,
peeing,péeinƶ,1.0901374,
peeing,peeѕnģ,3.4965904,
truly,truīy,1.4786572,
truly,truɫɣ,2.5409772,
purchases,puñehäsɵs,-0.11798865,
purchases,purӧŉasɵs,-0.21075422,
inquire,ioцuińe,-0.8519906,
inquire,iиqȧlre,0.99917406,
offices,bfʅİcӫs,-1.8117918,
offices,ȧffIces,2.7049592,
tool,tԀɒɨ,-1.7707036,
tool,ϊoбl,-2.5133429,
fibre,fibrс,2.446035,
fibre,fibhċ,-0.21263221,
hygiene,hԿͶiene,-1.4215027,
hygiene,hýgïɜne,0.38893092,
various,ʫaԦiɓύs,-2.60299,
various,vàεiϭǔͼ,-2.658659,
equally,ɵquɞliƴ,-2.2906578,
equally,ɞήuԀƚlԿ,-2.2073286,
cornwall,ʚcrnwâǐl,-0.71268326,
cornwall,coŕnwalï,1.6024954,
signals,signaĺs,4.287301,
signals,signäǽə,-1.3016694,
prayer,prayèr,3.0640888,
prayer,prayeг,3.3606396,
investment,invesճmeht,2.3691978,
investment,invөɞҨmɛnt,0.6097159,
performed,цeŉfebmed,-0.798613,
performed,ϸecfѳnmȢd,0.37949657,
shop,sƞop,0.94449216,
shop,sɾōp,-0.07528167,
focused,քocused,1.3599724,
focused,fȯʙusϭd,-0.3119083,
bringing,bԻiгgiրģ,2.1330519,
bringing,bґin¤inк,-0.84816366,
appeared,ӹppeԀrєa,0.9520863,
appeared,ͼpըeđreǒ,-2.3684444,
incidence,incɫdênce,1.6423918,
incidence,incideȯce,2.233351,
families,faЊilies,1.0804611,
families,ƒãmiӏiɞə,-0.3374592,
chat,chät,3.8699605,
chat,chaƪ,1.112172,
programs,progrԍms,3.2543242,
programs,ϸroMnams,-0.807587,
reporter,řepɛгtԑr,2.413862,
reporter,repoɦՆer,0.133972,
offerings,offenչngɜ,-0.7744998,
offerings,oʕfɵrihΝӟ,-1.0328784,
material,materiǒЇ,-0.23357242,
material,maщerial,0.9487291,
reserve,ȑeserve,3.679035,
reserve,heserƱϵ,-0.42014033,
issue,iɞsue,2.2446485,
issue,Ιɜšàe,-1.3560116,
innovations,innovæ˕ions,1.4199492,
innovations,innovatiońs,4.277483,
resorts,resor˕s,3.749567,
resorts,resoeͱs,2.8517811,
tribal,tnībal,0.84931463,
tribal,ʅñ1bal,-1.7951834,
draft,draŀt,-0.584088,
draft,drafҾ,0.88659793,
apparel,aրqareƚ,2.2884965,
apparel,apçaгѐl,0.733655,
falling,ΐalliŉg,1.1981716,
falling,tăłΊiеg,-0.916496,
flowers,flbжers,1.7170748,
flowers,˕lŏwerɔ,-1.9535794,
syntax,ԍӵհtaл,-2.672076,
syntax,ɵyпʥax,-1.6349454,
windows,wiƃôowе,-1.9975978,
windows,wiʙdćws,0.63591075,
whose,ŵhoeě,1.7965024,
whose,ӝȓċsɵ,-2.4868824,
shorter,shbгter,4.5478277,
shorter,ӟhorƫeh,2.4384906,
modes,ɷoʚes,-2.738581,
modes,ɷoȧeӭ,-3.2485702,
text,tżĸt,0.5959187,
text,ţext,4.681393,
trainer,traϫneȓ,0.47176772,
trainer,trȧinɘǹ,0.33039072,
have,häʪѐ,-1.2291765,
have,haʪé,-0.99371004,
dell,deĬl,0.34734863,
dell,dɛll,4.5282555,
favourite,fäҌourļte,-0.018219154,
favourite,faԔouriՆe,0.30416724,
encoding,encodļng,1.9525901,
encoding,өɞcoϋing,-2.1830835,
charger,ćharger,4.3910017,
charger,chʚrgeп,1.2270222,
wing,жiňg,0.60870785,
wing,winğ,3.4227252,
alfred,alfrέa,2.833442,
alfred,alfrɵd,2.4830563,
harvey,πăπvey,-0.6693558,
harvey,hӭrvey,3.2771049,
motorcycles,moͳorcyɓleš,-0.46660727,
motorcycles,ԏotƨccŷόleͼ,-1.5119627,
geometry,geϭmȅtƈɣ,0.025779985,
geometry,Meometry,1.3110715,
boating,ԑoating,1.0042831,
boating,ƃoafɬog,-1.7752455,
same,ɐame,2.698172,
same,saЉe,-0.94677746,
tariff,tʚnifƑ,0.3910789,
tariff,taħı։f,-1.5260233,
fake,fakć,1.5759734,
fake,faKe,4.589463,
nigeria,ѓigӫ¤iǡ,-1.6408197,
nigeria,ҺiMeriä,-2.028689,
curriculum,cuԻŕicuƗuϖ,0.31721053,
curriculum,cdrbicuïum,0.8427106,
britannica,critannica,4.5744905,
britannica,hяitânòiόa,-1.7533677,
stat,sƭat,3.0511348,
stat,staʕ,0.7851625,
milk,ԽílK,-0.6896297,
milk,mžlǨ,0.5581439,
helicopter,heiżcopιɛԻ,2.0432022,
helicopter,helicopʣeɾ,1.8092828,
monitored,ωoƞւͳorѐơ,-2.6576698,
monitored,moǹIϊċrɛd,0.3856955,
stud,ͼtud,1.207089,
stud,sƭud,3.060394,
uploaded,uploaʚȢd,0.2538028,
uploaded,uȵloaɜɵd,-1.4090978,
team,ҿєȧѦ,-2.742262,
team,teåm,3.2297873,
amendments,âɯeñömentz,-0.774744,
amendments,ɜmeοɺmcnճs,-2.0207837,
harbor,hɢrbor,0.2671264,
harbor,ŕarboʀ,1.5774198,
time,ǂimė,1.7710922,
time,timϧ,-0.1582671,
materials,ʍäʅeriǟlͼ,-0.13329998,
materials,ԏaſƃrɨaІs,-1.06366,
social,soĉŀӧӏ,-1.8975128,
social,sočĩэl,-0.5014907,
historical,hŀsȶõrical,1.3674357,
historical,ristoricaӀ,4.1101074,
campus,câψpυƨ,-0.7153442,
campus,ӗampus,0.8461467,
round,roǔnd,2.8414857,
round,roɒnd,1.9101775,
satisfy,satisfց,2.946332,
satisfy,ŝat1sƪy,0.7243486,
acne,ǒcnȯ,-2.982162,
acne,ãcne,2.6608968,
orange,oŉange,0.8156057,
orange,oraɾΝe,0.17435235,
soviet,scÐiet,-0.5394985,
soviet,ʚoԕiϵǂ,-2.4090035,
cheaper,cոeaþer,3.301851,
cheaper,cheӫper,1.0863452,
enhanced,enhaǹced,3.3105764,
enhanced,enǹanced,2.8360078,
edmonton,edmɛnton,4.4396176,
edmonton,edmonton,4.9788914,
program,prcMram,-0.32773003,
program,proKhэm,-0.22890955,
required,requiréd,3.725957,
required,rѐңuirëd,1.1870974,
printable,pr1ñtable,1.5515693,
printable,pr(Իtabšͼ,-0.3723055,
probably,proɒablǥ,1.1560464,
probably,ęеobåƃlӌ,-1.9952551,
authors,ăuthõrs,2.7314985,
authors,aǙthoԻв,0.25369242,
allowed,allċwed,0.60410786,
allowed,alloʬed,1.4315598,
single,sinģlө,1.4565011,
single,singlɞ,2.9691277,
interviews,inťeԦvïews,1.1089927,
interviews,intɒɛvıcШs,-0.3222325,
denver,dөnver,4.8068404,
denver,ӓӫƽveο,-2.781791,
european,ʙurȱpeaʙ,-0.9499181,
european,oūropeao,-1.6279365,
hold,holԀ,4.6381245,
hold,ńold,2.3211465,
whether,шhether,3.0327177,
whether,whether,4.721552,
packaging,päcԞagicg,4.2276764,
packaging,pàĉkaging,3.6210804,
norfolk,nɔrfolҜ,-0.024122855,
norfolk,noŕƫolǅ,-1.7668316,
expenditure,e¾ըèńօiϊɒře,-2.4568112,
expenditure,ѐxqʙřditϭre,0.04210349,
sleeps,sleeոʚ,-1.1969635,
sleeps,sleeƥs,2.749747,
considering,cϭnsideriɦg,1.2092015,
considering,consiďcɦiog,0.8356439,
prefix,prϲfǽx,-0.5291272,
prefix,preքiɴ,0.299367,
delhi,dєɬhi,0.38023698,
delhi,delhш,1.0331863,
insulin,iĥoulin,0.07827848,
insulin,inƨӓļin,-0.58257586,
algorithm,ǎìgɵhithտ,1.5233579,
algorithm,algoriɩhɯ,2.9912634,
expectations,expϲctaՆľons,0.7341313,
expectations,eӽpecǂȧtions,4.401314,
bags,ʙags,-1.155609,
bags,ɓaΝs,-0.59672016,
discussions,điƨcussionʙ,0.43054354,
discussions,uչscussiѳns,-0.14800318,
albany,ӭlbäѓy,-1.2453353,
albany,ǟloáɾy,0.12785904,
holland,իóĩiօńd,-0.60486287,
holland,ʀoìlзĥd,-0.94425523,
repeated,repeaǂөd,2.509539,
repeated,heçeatоd,-1.5035205,
responsibility,rӫӟдonοĺbility,-0.72525805,
responsibility,respcnsĺbiīiͲʞ,1.6945082,
plains,pîѳīnɜ,-1.4191785,
plains,pǏainǝ,1.1646581,
payment,çaҹψɘŕՆ,-2.7165313,
payment,цayжent,-0.33241603,
stood,ǝtɞod,-1.2148095,
stood,sճȯod,-0.61300385,
dice,ơice,-0.913547,
dice,diɵe,1.4733274,
programming,pċograѫmiɧХ,-1.2909133,
programming,ĻroͶraӜmƚŉg,-1.3780196,
robinson,roȯinsɛn,2.5567813,
robinson,rȯbinɞoη,1.1621201,
emission,ɵmission,2.2107232,
emission,ēwissíǒɦ,-0.3175365,
fraction,fract}on,1.2771063,
fraction,fԷaction,1.1254464,
submissions,suɐɷisslonə,-1.3114127,
submissions,suƽm}ɘɐiʚnʚ,-2.6538308,
notification,hotiǂiȯation,2.5909579,
notification,nbtifłcaϯչon,-0.17641968,
unwrap,ūnѠŕap,-0.17834109,
unwrap,uƞwrap,2.6965833,
millennium,mîllenɦչùm,-0.12722045,
millennium,mil}ėοԦiuω,-1.1403977,
timothy,ίimɔճhy,-1.0114435,
timothy,ƒչmothy,0.31788304,
secondary,sēcɜnɑʚny,0.4703251,
secondary,secondзĥy,2.1936283,
books,bôoks,3.0290675,
books,booNс,-0.67657477,
dragon,draǥoп,2.387246,
dragon,öràgon,-0.997022,
hundreds,Mundrědͼ,-0.1909522,
hundreds,hundreàϩ,-0.060835637,
dylan,ʚyian,-1.2894664,
dylan,õylǎn,-0.41448984,
proceed,ҏrocϲeͻ,0.2137923,
proceed,procɜeâ,-1.2612439,
email,emäїǐ,0.4900805,
email,emaiï,1.9243004,
julie,jɑƗiɵ,-2.3684206,
julie,juliέ,3.609453,
blah,οlʚh,-1.2277286,
blah,ʚlań,-1.9958712,
eyed,eyɛd,4.2641845,
eyed,eɣeö,-2.4799745,
modern,moƌern,3.6002946,
modern,modėՒǹ,-0.8330783,
preservation,presêrvatioƞ,3.4825513,
preservation,preserŗatĭbn,2.1782892,
spears,speans,3.1001034,
spears,еpeȧrɞ,-0.39835694,
happening,ŋappënïng,0.22231896,
happening,ϧaųpeʀing,-1.7925258,
afterwards,àftenwarԁƨ,2.274956,
afterwards,afterwοґƌs,1.5705814,
disable,ǔiϧable,-1.9224932,
disable,dŀɜabīe,-0.0056891222,
regular,regulэơ,0.6935798,
regular,reguìaǹ,0.004128694,
selling,seӏɫing,2.762583,
selling,ôelįiԻg,0.18934318,
vista,vistæ,2.3104787,
vista,visƒã,1.4560393,
pond,poϲd,0.4222492,
pond,øonƌ,-1.7132039,
residence,ґesidence,3.201539,
residence,nesideƞce,4.0137343,
threats,thrėaʈz,1.683892,
threats,tñreэtš,-0.35018578,
newly,nӫwƚy,-0.16293071,
