model,size,test,ratio,Category,Class,Support,Support %,Prediction,Prediction %,Mean Score,Med Score,∆ Score,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
llama2,13B,phonetic,0.5,offensive,No,1952,0.6897526501766784,2509,0.8865724381625442,0.34113074204946997,0.4,0.07851590106007067,0.75,0.96,0.84,0.75,0.67,"[[1873  636]
 [  79  242]]"
llama2,13B,phonetic,0.5,toxic,Yes,507,0.17915194346289753,764,0.26996466431095406,0.5155830388692579,0.4,0.15053003533568904,0.41,0.61,0.49,0.77,0.76,"[[1870  196]
 [ 453  311]]"
llama2,13B,phonetic,0.5,toxic,No,2323,0.8208480565371025,2066,0.7300353356890459,0.5155830388692579,0.4,0.15053003533568904,0.91,0.8,0.85,0.77,0.76,"[[1870  196]
 [ 453  311]]"
llama2,13B,typo,0.125,hateful,Yes,553,0.19540636042402826,0,0.0,0.33946996466431095,0.2,0.07823321554770318,0.0,0.0,0.0,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,typo,0.125,hateful,No,2277,0.8045936395759717,2830,1.0,0.33946996466431095,0.2,0.07823321554770318,0.8,1.0,0.89,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,typo,0.125,offensive,Yes,878,0.3102473498233215,335,0.11837455830388692,0.34466431095406364,0.4,0.06402826855123675,0.79,0.3,0.44,0.76,0.68,"[[1882  613]
 [  70  265]]"
llama2,13B,typo,0.125,offensive,No,1952,0.6897526501766784,2495,0.8816254416961131,0.34466431095406364,0.4,0.06402826855123675,0.75,0.96,0.85,0.76,0.68,"[[1882  613]
 [  70  265]]"
llama2,13B,typo,0.125,toxic,Yes,507,0.17915194346289753,582,0.20565371024734982,0.4668197879858657,0.4,0.10692579505300354,0.51,0.58,0.54,0.82,0.81,"[[2037  211]
 [ 286  296]]"
llama2,13B,typo,0.125,toxic,No,2323,0.8208480565371025,2248,0.7943462897526502,0.4668197879858657,0.4,0.10692579505300354,0.91,0.88,0.89,0.82,0.81,"[[2037  211]
 [ 286  296]]"
llama2,13B,typo,0.25,hateful,Yes,553,0.19540636042402826,0,0.0,0.35893992932862195,0.2,0.1014487632508834,0.0,0.0,0.0,0.8,0.7,"[[2277  553]
 [   0    0]]"
llama2,13B,typo,0.25,hateful,No,2277,0.8045936395759717,2830,1.0,0.35893992932862195,0.2,0.1014487632508834,0.8,1.0,0.89,0.8,0.7,"[[2277  553]
 [   0    0]]"
llama2,13B,typo,0.25,offensive,Yes,878,0.3102473498233215,311,0.10989399293286219,0.3476678445229682,0.4,0.07819787985865725,0.79,0.28,0.42,0.75,0.67,"[[1888  631]
 [  64  247]]"
llama2,13B,typo,0.25,offensive,No,1952,0.6897526501766784,2519,0.8901060070671378,0.3476678445229682,0.4,0.07819787985865725,0.75,0.97,0.84,0.75,0.67,"[[1888  631]
 [  64  247]]"
llama2,13B,typo,0.25,toxic,Yes,507,0.17915194346289753,758,0.2678445229681979,0.5067137809187279,0.4,0.14413427561837455,0.42,0.63,0.51,0.78,0.78,"[[1886  186]
 [ 437  321]]"
llama2,13B,typo,0.25,toxic,No,2323,0.8208480565371025,2072,0.7321554770318022,0.5067137809187279,0.4,0.14413427561837455,0.91,0.81,0.86,0.78,0.78,"[[1886  186]
 [ 437  321]]"
llama2,13B,typo,0.5,hateful,Yes,553,0.19540636042402826,0,0.0,0.3833215547703181,0.2,0.12957597173144877,0.0,0.0,0.0,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,13B,typo,0.5,hateful,No,2277,0.8045936395759717,2830,1.0,0.3833215547703181,0.2,0.12957597173144877,0.8,1.0,0.89,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,13B,typo,0.5,offensive,Yes,878,0.3102473498233215,299,0.10565371024734982,0.34851590106007074,0.4,0.0895053003533569,0.8,0.27,0.4,0.75,0.65,"[[1891  640]
 [  61  238]]"
llama2,13B,typo,0.5,offensive,No,1952,0.6897526501766784,2531,0.8943462897526502,0.34851590106007074,0.4,0.0895053003533569,0.75,0.97,0.84,0.75,0.65,"[[1891  640]
 [  61  238]]"
llama2,13B,typo,0.5,toxic,Yes,507,0.17915194346289753,1099,0.388339222614841,0.5697879858657243,0.6,0.20113074204946998,0.33,0.72,0.45,0.69,0.72,"[[1589  142]
 [ 734  365]]"
llama2,13B,typo,0.5,toxic,No,2323,0.8208480565371025,1731,0.611660777385159,0.5697879858657243,0.6,0.20113074204946998,0.92,0.68,0.78,0.69,0.72,"[[1589  142]
 [ 734  365]]"
llama2,13B,visual,0.125,hateful,Yes,553,0.19540636042402826,0,0.0,0.3519081272084806,0.2,0.08961130742049471,0.0,0.0,0.0,0.8,0.72,"[[2277  553]
 [   0    0]]"
llama2,13B,visual,0.125,hateful,No,2277,0.8045936395759717,2830,1.0,0.3519081272084806,0.2,0.08961130742049471,0.8,1.0,0.89,0.8,0.72,"[[2277  553]
 [   0    0]]"
llama2,13B,visual,0.125,offensive,Yes,878,0.3102473498233215,328,0.11590106007067137,0.3409540636042403,0.4,0.06286219081272085,0.8,0.3,0.44,0.76,0.68,"[[1888  614]
 [  64  264]]"
llama2,13B,visual,0.125,offensive,No,1952,0.6897526501766784,2502,0.8840989399293286,0.3409540636042403,0.4,0.06286219081272085,0.75,0.97,0.85,0.76,0.68,"[[1888  614]
 [  64  264]]"
llama2,13B,visual,0.125,toxic,Yes,507,0.17915194346289753,596,0.21060070671378092,0.47219081272084806,0.4,0.11533568904593638,0.51,0.6,0.55,0.82,0.8,"[[2030  204]
 [ 293  303]]"
llama2,13B,visual,0.125,toxic,No,2323,0.8208480565371025,2234,0.789399293286219,0.47219081272084806,0.4,0.11533568904593638,0.91,0.87,0.89,0.82,0.8,"[[2030  204]
 [ 293  303]]"
llama2,13B,visual,0.25,hateful,Yes,553,0.19540636042402826,0,0.0,0.3574558303886926,0.2,0.10371024734982333,0.0,0.0,0.0,0.8,0.72,"[[2277  553]
 [   0    0]]"
llama2,13B,visual,0.25,hateful,No,2277,0.8045936395759717,2830,1.0,0.3574558303886926,0.2,0.10371024734982333,0.8,1.0,0.89,0.8,0.72,"[[2277  553]
 [   0    0]]"
llama2,13B,visual,0.25,offensive,Yes,878,0.3102473498233215,310,0.10954063604240283,0.3430035335689046,0.4,0.07169611307420494,0.8,0.28,0.42,0.76,0.67,"[[1891  629]
 [  61  249]]"
llama2,13B,visual,0.25,offensive,No,1952,0.6897526501766784,2520,0.8904593639575972,0.3430035335689046,0.4,0.07169611307420494,0.75,0.97,0.85,0.76,0.67,"[[1891  629]
 [  61  249]]"
llama2,13B,visual,0.25,toxic,Yes,507,0.17915194346289753,749,0.2646643109540636,0.5110247349823321,0.4,0.15431095406360423,0.42,0.62,0.5,0.78,0.76,"[[1890  191]
 [ 433  316]]"
llama2,13B,visual,0.25,toxic,No,2323,0.8208480565371025,2081,0.7353356890459364,0.5110247349823321,0.4,0.15431095406360423,0.91,0.81,0.86,0.78,0.76,"[[1890  191]
 [ 433  316]]"
llama2,13B,visual,0.5,hateful,Yes,553,0.19540636042402826,0,0.0,0.3637455830388693,0.2,0.1201060070671378,0.0,0.0,0.0,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,visual,0.5,hateful,No,2277,0.8045936395759717,2830,1.0,0.3637455830388693,0.2,0.1201060070671378,0.8,1.0,0.89,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,visual,0.5,offensive,Yes,878,0.3102473498233215,276,0.09752650176678446,0.3409893992932862,0.4,0.08671378091872792,0.8,0.25,0.38,0.75,0.64,"[[1896  658]
 [  56  220]]"
llama2,13B,visual,0.5,offensive,No,1952,0.6897526501766784,2554,0.9024734982332155,0.3409893992932862,0.4,0.08671378091872792,0.74,0.97,0.84,0.75,0.64,"[[1896  658]
 [  56  220]]"
llama2,13B,visual,0.5,toxic,Yes,507,0.17915194346289753,996,0.3519434628975265,0.5565724381625441,0.6,0.20127208480565373,0.33,0.65,0.44,0.7,0.7,"[[1659  175]
 [ 664  332]]"
llama2,13B,visual,0.5,toxic,No,2323,0.8208480565371025,1834,0.6480565371024735,0.5565724381625441,0.6,0.20127208480565373,0.9,0.71,0.8,0.7,0.7,"[[1659  175]
 [ 664  332]]"
llama2,7B,clean,0.0,hateful,Yes,553,0.19540636042402826,0,0.0,0.28526501766784457,0.2,,0.0,0.0,0.0,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,clean,0.0,hateful,No,2277,0.8045936395759717,2830,1.0,0.28526501766784457,0.2,,0.8,1.0,0.89,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,clean,0.0,offensive,Yes,878,0.3102473498233215,1039,0.3671378091872792,0.3221908127208481,0.2,,0.62,0.73,0.67,0.78,0.78,"[[1557  234]
 [ 395  644]]"
llama2,7B,clean,0.0,offensive,No,1952,0.6897526501766784,1791,0.6328621908127209,0.3221908127208481,0.2,,0.87,0.8,0.83,0.78,0.78,"[[1557  234]
 [ 395  644]]"
llama2,7B,clean,0.0,toxic,Yes,507,0.17915194346289753,278,0.09823321554770319,0.3872791519434629,0.2,,0.62,0.34,0.44,0.84,0.83,"[[2217  335]
 [ 106  172]]"
llama2,7B,clean,0.0,toxic,No,2323,0.8208480565371025,2552,0.9017667844522969,0.3872791519434629,0.2,,0.87,0.95,0.91,0.84,0.83,"[[2217  335]
 [ 106  172]]"
llama2,7B,phonetic,0.125,hateful,Yes,553,0.19540636042402826,0,0.0,0.30770318021201415,0.2,0.060954063604240286,0.0,0.0,0.0,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,phonetic,0.125,hateful,No,2277,0.8045936395759717,2830,1.0,0.30770318021201415,0.2,0.060954063604240286,0.8,1.0,0.89,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,phonetic,0.125,offensive,Yes,878,0.3102473498233215,1235,0.4363957597173145,0.34540636042402834,0.2,0.05925795053003533,0.56,0.79,0.65,0.74,0.77,"[[1407  188]
 [ 545  690]]"
llama2,7B,phonetic,0.125,offensive,No,1952,0.6897526501766784,1595,0.5636042402826855,0.34540636042402834,0.2,0.05925795053003533,0.88,0.72,0.79,0.74,0.77,"[[1407  188]
 [ 545  690]]"
llama2,7B,phonetic,0.125,toxic,Yes,507,0.17915194346289753,327,0.11554770318021201,0.41869257950530037,0.5,0.0796113074204947,0.6,0.39,0.47,0.84,0.82,"[[2193  310]
 [ 130  197]]"
llama2,7B,phonetic,0.125,toxic,No,2323,0.8208480565371025,2503,0.884452296819788,0.41869257950530037,0.5,0.0796113074204947,0.88,0.94,0.91,0.84,0.82,"[[2193  310]
 [ 130  197]]"
llama2,7B,phonetic,0.25,hateful,Yes,553,0.19540636042402826,0,0.0,0.3269611307420495,0.2,0.07901060070671378,0.0,0.0,0.0,0.8,0.68,"[[2277  553]
 [   0    0]]"
llama2,7B,phonetic,0.25,hateful,No,2277,0.8045936395759717,2830,1.0,0.3269611307420495,0.2,0.07901060070671378,0.8,1.0,0.89,0.8,0.68,"[[2277  553]
 [   0    0]]"
llama2,7B,phonetic,0.25,offensive,Yes,878,0.3102473498233215,1376,0.4862190812720848,0.36204946996466436,0.2,0.07363957597173144,0.52,0.82,0.64,0.71,0.76,"[[1297  157]
 [ 655  721]]"
llama2,7B,phonetic,0.25,offensive,No,1952,0.6897526501766784,1454,0.5137809187279152,0.36204946996466436,0.2,0.07363957597173144,0.89,0.66,0.76,0.71,0.76,"[[1297  157]
 [ 655  721]]"
llama2,7B,phonetic,0.25,toxic,Yes,507,0.17915194346289753,365,0.12897526501766785,0.432791519434629,0.5,0.09717314487632508,0.53,0.38,0.44,0.83,0.79,"[[2151  314]
 [ 172  193]]"
llama2,7B,phonetic,0.25,toxic,No,2323,0.8208480565371025,2465,0.8710247349823321,0.432791519434629,0.5,0.09717314487632508,0.87,0.93,0.9,0.83,0.79,"[[2151  314]
 [ 172  193]]"
llama2,7B,phonetic,0.5,hateful,Yes,553,0.19540636042402826,0,0.0,0.35088339222614845,0.2,0.1045583038869258,0.0,0.0,0.0,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,phonetic,0.5,hateful,No,2277,0.8045936395759717,2830,1.0,0.35088339222614845,0.2,0.1045583038869258,0.8,1.0,0.89,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,phonetic,0.5,offensive,Yes,878,0.3102473498233215,1582,0.5590106007067138,0.3862544169611307,0.5,0.09996466431095405,0.46,0.84,0.6,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,offensive,No,1952,0.6897526501766784,1248,0.44098939929328623,0.3862544169611307,0.5,0.09996466431095405,0.88,0.57,0.69,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,toxic,Yes,507,0.17915194346289753,446,0.1575971731448763,0.4648056537102474,0.5,0.12565371024734984,0.5,0.44,0.47,0.82,0.78,"[[2099  285]
 [ 224  222]]"
llama2,7B,phonetic,0.5,toxic,No,2323,0.8208480565371025,2384,0.8424028268551237,0.4648056537102474,0.5,0.12565371024734984,0.88,0.9,0.89,0.82,0.78,"[[2099  285]
 [ 224  222]]"
llama2,7B,typo,0.125,hateful,Yes,553,0.19540636042402826,0,0.0,0.30416961130742054,0.2,0.06116607773851591,0.0,0.0,0.0,0.8,0.68,"[[2277  553]
 [   0    0]]"
llama2,7B,typo,0.125,hateful,No,2277,0.8045936395759717,2830,1.0,0.30416961130742054,0.2,0.06116607773851591,0.8,1.0,0.89,0.8,0.68,"[[2277  553]
 [   0    0]]"
llama2,7B,typo,0.125,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,toxic,Yes,507,0.17915194346289753,331,0.11696113074204947,0.4143462897526502,0.5,0.08445229681978798,0.59,0.38,0.46,0.84,0.81,"[[2186  313]
 [ 137  194]]"
llama2,7B,typo,0.125,toxic,No,2323,0.8208480565371025,2499,0.8830388692579505,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.91,0.84,0.81,"[[2186  313]
 [ 137  194]]"
llama2,7B,typo,0.25,hateful,Yes,553,0.19540636042402826,0,0.0,0.3196113074204947,0.2,0.08056537102473499,0.0,0.0,0.0,0.8,0.66,"[[2277  553]
 [   0    0]]"
llama2,7B,typo,0.25,hateful,No,2277,0.8045936395759717,2830,1.0,0.3196113074204947,0.2,0.08056537102473499,0.8,1.0,0.89,0.8,0.66,"[[2277  553]
 [   0    0]]"
llama2,7B,typo,0.25,offensive,Yes,878,0.3102473498233215,1357,0.47950530035335687,0.36038869257950534,0.2,0.08151943462897526,0.51,0.79,0.62,0.7,0.75,"[[1290  183]
 [ 662  695]]"
llama2,7B,typo,0.25,offensive,No,1952,0.6897526501766784,1473,0.5204946996466431,0.36038869257950534,0.2,0.08151943462897526,0.88,0.66,0.75,0.7,0.75,"[[1290  183]
 [ 662  695]]"
llama2,7B,typo,0.25,toxic,Yes,507,0.17915194346289753,357,0.12614840989399292,0.42416961130742054,0.5,0.09943462897526503,0.5,0.36,0.42,0.82,0.79,"[[2146  327]
 [ 177  180]]"
llama2,7B,typo,0.25,toxic,No,2323,0.8208480565371025,2473,0.8738515901060071,0.42416961130742054,0.5,0.09943462897526503,0.87,0.92,0.89,0.82,0.79,"[[2146  327]
 [ 177  180]]"
llama2,7B,typo,0.5,hateful,Yes,553,0.19540636042402826,0,0.0,0.3343462897526502,0.2,0.10356890459363959,0.0,0.0,0.0,0.8,0.67,"[[2277  553]
 [   0    0]]"
llama2,7B,typo,0.5,hateful,No,2277,0.8045936395759717,2830,1.0,0.3343462897526502,0.2,0.10356890459363959,0.8,1.0,0.89,0.8,0.67,"[[2277  553]
 [   0    0]]"
llama2,7B,typo,0.5,offensive,Yes,878,0.3102473498233215,1524,0.5385159010600706,0.37805653710247356,0.5,0.10222614840989398,0.46,0.81,0.59,0.65,0.71,"[[1136  170]
 [ 816  708]]"
llama2,7B,typo,0.5,offensive,No,1952,0.6897526501766784,1306,0.4614840989399293,0.37805653710247356,0.5,0.10222614840989398,0.87,0.58,0.7,0.65,0.71,"[[1136  170]
 [ 816  708]]"
llama2,7B,typo,0.5,toxic,Yes,507,0.17915194346289753,399,0.14098939929328622,0.44438162544169607,0.5,0.13208480565371022,0.46,0.36,0.41,0.81,0.76,"[[2109  322]
 [ 214  185]]"
llama2,7B,typo,0.5,toxic,No,2323,0.8208480565371025,2431,0.8590106007067138,0.44438162544169607,0.5,0.13208480565371022,0.87,0.91,0.89,0.81,0.76,"[[2109  322]
 [ 214  185]]"
llama2,7B,visual,0.125,hateful,Yes,553,0.19540636042402826,0,0.0,0.3132508833922262,0.2,0.06876325088339223,0.0,0.0,0.0,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,visual,0.125,hateful,No,2277,0.8045936395759717,2830,1.0,0.3132508833922262,0.2,0.06876325088339223,0.8,1.0,0.89,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,visual,0.125,offensive,Yes,878,0.3102473498233215,1258,0.44452296819787984,0.3470318021201414,0.2,0.06724381625441696,0.55,0.79,0.65,0.73,0.76,"[[1385  187]
 [ 567  691]]"
llama2,7B,visual,0.125,offensive,No,1952,0.6897526501766784,1572,0.5554770318021202,0.3470318021201414,0.2,0.06724381625441696,0.88,0.71,0.79,0.73,0.76,"[[1385  187]
 [ 567  691]]"
llama2,7B,visual,0.125,toxic,Yes,507,0.17915194346289753,291,0.10282685512367491,0.4120141342756184,0.5,0.08664310954063603,0.59,0.34,0.43,0.84,0.8,"[[2203  336]
 [ 120  171]]"
llama2,7B,visual,0.125,toxic,No,2323,0.8208480565371025,2539,0.897173144876325,0.4120141342756184,0.5,0.08664310954063603,0.87,0.95,0.91,0.84,0.8,"[[2203  336]
 [ 120  171]]"
llama2,7B,visual,0.25,hateful,Yes,553,0.19540636042402826,0,0.0,0.31625441696113077,0.2,0.07883392226148411,0.0,0.0,0.0,0.8,0.68,"[[2277  553]
 [   0    0]]"
llama2,7B,visual,0.25,hateful,No,2277,0.8045936395759717,2830,1.0,0.31625441696113077,0.2,0.07883392226148411,0.8,1.0,0.89,0.8,0.68,"[[2277  553]
 [   0    0]]"
llama2,7B,visual,0.25,offensive,Yes,878,0.3102473498233215,1335,0.4717314487632509,0.3548056537102474,0.2,0.07826855123674911,0.53,0.8,0.64,0.71,0.75,"[[1320  175]
 [ 632  703]]"
llama2,7B,visual,0.25,offensive,No,1952,0.6897526501766784,1495,0.5282685512367491,0.3548056537102474,0.2,0.07826855123674911,0.88,0.68,0.77,0.71,0.75,"[[1320  175]
 [ 632  703]]"
llama2,7B,visual,0.25,toxic,Yes,507,0.17915194346289753,291,0.10282685512367491,0.4218021201413428,0.5,0.10420494699646643,0.52,0.3,0.38,0.82,0.78,"[[2182  357]
 [ 141  150]]"
llama2,7B,visual,0.25,toxic,No,2323,0.8208480565371025,2539,0.897173144876325,0.4218021201413428,0.5,0.10420494699646643,0.86,0.94,0.9,0.82,0.78,"[[2182  357]
 [ 141  150]]"
llama2,7B,visual,0.5,hateful,Yes,553,0.19540636042402826,0,0.0,0.3234275618374559,0.2,0.09257950530035336,0.0,0.0,0.0,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,visual,0.5,hateful,No,2277,0.8045936395759717,2830,1.0,0.3234275618374559,0.2,0.09257950530035336,0.8,1.0,0.89,0.8,0.69,"[[2277  553]
 [   0    0]]"
llama2,7B,visual,0.5,offensive,Yes,878,0.3102473498233215,1378,0.48692579505300354,0.35929328621908135,0.2,0.096113074204947,0.51,0.8,0.62,0.7,0.74,"[[1274  178]
 [ 678  700]]"
llama2,7B,visual,0.5,offensive,No,1952,0.6897526501766784,1452,0.5130742049469965,0.35929328621908135,0.2,0.096113074204947,0.88,0.65,0.75,0.7,0.74,"[[1274  178]
 [ 678  700]]"
llama2,7B,visual,0.5,toxic,Yes,507,0.17915194346289753,273,0.09646643109540635,0.42279151943462895,0.5,0.12074204946996468,0.48,0.26,0.34,0.82,0.75,"[[2182  375]
 [ 141  132]]"
llama2,7B,visual,0.5,toxic,No,2323,0.8208480565371025,2557,0.9035335689045937,0.42279151943462895,0.5,0.12074204946996468,0.85,0.94,0.89,0.82,0.75,"[[2182  375]
 [ 141  132]]"
mistral,7B,clean,0.0,hateful,Yes,553,0.19540636042402826,133,0.0469964664310954,0.3615194346289753,0.3,,0.59,0.14,0.23,0.81,0.79,"[[2223  474]
 [  54   79]]"
mistral,7B,clean,0.0,hateful,No,2277,0.8045936395759717,2697,0.9530035335689045,0.3615194346289753,0.3,,0.82,0.98,0.89,0.81,0.79,"[[2223  474]
 [  54   79]]"
mistral,7B,clean,0.0,offensive,Yes,878,0.3102473498233215,709,0.25053003533568907,0.4441696113074205,0.4,,0.63,0.51,0.57,0.76,0.81,"[[1693  428]
 [ 259  450]]"
mistral,7B,clean,0.0,offensive,No,1952,0.6897526501766784,2121,0.7494699646643109,0.4441696113074205,0.4,,0.8,0.87,0.83,0.76,0.81,"[[1693  428]
 [ 259  450]]"
mistral,7B,clean,0.0,toxic,Yes,507,0.17915194346289753,1,0.00035335689045936394,0.5094346289752651,0.6,,1.0,0.0,0.0,0.82,0.81,"[[2323  506]
 [   0    1]]"
mistral,7B,clean,0.0,toxic,No,2323,0.8208480565371025,2829,0.9996466431095407,0.5094346289752651,0.6,,0.82,1.0,0.9,0.82,0.81,"[[2323  506]
 [   0    1]]"
mistral,7B,phonetic,0.125,hateful,Yes,553,0.19540636042402826,165,0.05830388692579505,0.4427208480565371,0.5,0.15286219081272084,0.53,0.16,0.24,0.81,0.75,"[[2199  466]
 [  78   87]]"
mistral,7B,phonetic,0.125,hateful,No,2277,0.8045936395759717,2665,0.941696113074205,0.4427208480565371,0.5,0.15286219081272084,0.83,0.97,0.89,0.81,0.75,"[[2199  466]
 [  78   87]]"
mistral,7B,phonetic,0.125,offensive,Yes,878,0.3102473498233215,958,0.3385159010600707,0.5403886925795054,0.7,0.16286219081272088,0.52,0.57,0.54,0.7,0.75,"[[1493  379]
 [ 459  499]]"
mistral,7B,phonetic,0.125,offensive,No,1952,0.6897526501766784,1872,0.6614840989399293,0.5403886925795054,0.7,0.16286219081272088,0.8,0.76,0.78,0.7,0.75,"[[1493  379]
 [ 459  499]]"
mistral,7B,phonetic,0.125,toxic,Yes,507,0.17915194346289753,0,0.0,0.5912367491166078,0.8,0.15558303886925798,0.0,0.0,0.0,0.82,0.76,"[[2323  507]
 [   0    0]]"
mistral,7B,phonetic,0.125,toxic,No,2323,0.8208480565371025,2830,1.0,0.5912367491166078,0.8,0.15558303886925798,0.82,1.0,0.9,0.82,0.76,"[[2323  507]
 [   0    0]]"
mistral,7B,phonetic,0.25,hateful,Yes,553,0.19540636042402826,205,0.07243816254416961,0.4804593639575972,0.6,0.18982332155477033,0.55,0.2,0.3,0.81,0.73,"[[2184  441]
 [  93  112]]"
mistral,7B,phonetic,0.25,hateful,No,2277,0.8045936395759717,2625,0.9275618374558304,0.4804593639575972,0.6,0.18982332155477033,0.83,0.96,0.89,0.81,0.73,"[[2184  441]
 [  93  112]]"
