Dataset,Prompting,Ratio,Bootstrap,Category,Class,Support,Support %,Prediction,Prediction %,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
legit,dces+ices,0.25,5,offensive,No,2383,0.9520575309628446,1522,0.6080703156212545,0.99,0.63,0.77,0.64,0.81,"[[1504   18]
 [ 879  102]]"
legit,dces+ices,0.25,5,toxic,Yes,150,0.05992808629644426,1008,0.4027167399121055,0.1,0.65,0.17,0.61,0.7,"[[1442   53]
 [ 911   97]]"
legit,dces+ices,0.25,5,toxic,No,2353,0.9400719137035557,1495,0.5972832600878946,0.96,0.61,0.75,0.61,0.7,"[[1442   53]
 [ 911   97]]"
legit,dces+ices,0.25,6,hateful,Yes,120,0.04794246903715541,846,0.33799440671194564,0.12,0.88,0.22,0.7,0.86,"[[1642   15]
 [ 741  105]]"
legit,dces+ices,0.25,6,hateful,No,2383,0.9520575309628446,1657,0.6620055932880543,0.99,0.69,0.81,0.7,0.86,"[[1642   15]
 [ 741  105]]"
legit,dces+ices,0.25,6,offensive,Yes,120,0.04794246903715541,966,0.38593687574910107,0.1,0.8,0.18,0.64,0.78,"[[1513   24]
 [ 870   96]]"
legit,dces+ices,0.25,6,offensive,No,2383,0.9520575309628446,1537,0.6140631242508989,0.98,0.63,0.77,0.64,0.78,"[[1513   24]
 [ 870   96]]"
legit,dces+ices,0.25,6,toxic,Yes,150,0.05992808629644426,986,0.39392728725529363,0.11,0.71,0.19,0.63,0.73,"[[1474   43]
 [ 879  107]]"
legit,dces+ices,0.25,6,toxic,No,2353,0.9400719137035557,1517,0.6060727127447063,0.97,0.63,0.76,0.63,0.73,"[[1474   43]
 [ 879  107]]"
legit,dces+ices,0.25,7,hateful,Yes,120,0.04794246903715541,799,0.3192169396723931,0.13,0.88,0.23,0.72,0.87,"[[1689   15]
 [ 694  105]]"
legit,dces+ices,0.25,7,hateful,No,2383,0.9520575309628446,1704,0.6807830603276068,0.99,0.71,0.83,0.72,0.87,"[[1689   15]
 [ 694  105]]"
legit,dces+ices,0.25,7,offensive,Yes,120,0.04794246903715541,1014,0.40511386336396327,0.1,0.85,0.18,0.63,0.79,"[[1471   18]
 [ 912  102]]"
legit,dces+ices,0.25,7,offensive,No,2383,0.9520575309628446,1489,0.5948861366360367,0.99,0.62,0.76,0.63,0.79,"[[1471   18]
 [ 912  102]]"
legit,dces+ices,0.25,7,toxic,Yes,150,0.05992808629644426,1039,0.41510187774670393,0.1,0.72,0.18,0.61,0.71,"[[1422   42]
 [ 931  108]]"
legit,dces+ices,0.25,7,toxic,No,2353,0.9400719137035557,1464,0.5848981222532961,0.97,0.6,0.75,0.61,0.71,"[[1422   42]
 [ 931  108]]"
legit,dces+ices,0.25,8,hateful,Yes,120,0.04794246903715541,803,0.32081502197363165,0.14,0.92,0.24,0.72,0.87,"[[1690   10]
 [ 693  110]]"
legit,dces+ices,0.25,8,hateful,No,2383,0.9520575309628446,1700,0.6791849780263683,0.99,0.71,0.83,0.72,0.87,"[[1690   10]
 [ 693  110]]"
legit,dces+ices,0.25,8,offensive,Yes,120,0.04794246903715541,968,0.3867359168997203,0.1,0.82,0.18,0.64,0.81,"[[1514   21]
 [ 869   99]]"
legit,dces+ices,0.25,8,offensive,No,2383,0.9520575309628446,1535,0.6132640831002797,0.99,0.64,0.77,0.64,0.81,"[[1514   21]
 [ 869   99]]"
legit,dces+ices,0.25,8,toxic,Yes,150,0.05992808629644426,978,0.3907311226528166,0.11,0.75,0.2,0.64,0.74,"[[1487   38]
 [ 866  112]]"
legit,dces+ices,0.25,8,toxic,No,2353,0.9400719137035557,1525,0.6092688773471834,0.98,0.63,0.77,0.64,0.74,"[[1487   38]
 [ 866  112]]"
legit,dces+ices,0.25,9,hateful,Yes,120,0.04794246903715541,780,0.3116260487415102,0.14,0.88,0.24,0.73,0.87,"[[1709   14]
 [ 674  106]]"
legit,dces+ices,0.25,9,hateful,No,2383,0.9520575309628446,1723,0.6883739512584898,0.99,0.72,0.83,0.73,0.87,"[[1709   14]
 [ 674  106]]"
legit,dces+ices,0.25,9,offensive,Yes,120,0.04794246903715541,1004,0.40111865761086696,0.1,0.82,0.18,0.63,0.78,"[[1478   21]
 [ 905   99]]"
legit,dces+ices,0.25,9,offensive,No,2383,0.9520575309628446,1499,0.598881342389133,0.99,0.62,0.76,0.63,0.78,"[[1478   21]
 [ 905   99]]"
legit,dces+ices,0.25,9,toxic,Yes,150,0.05992808629644426,985,0.393527766679984,0.1,0.64,0.17,0.62,0.7,"[[1464   54]
 [ 889   96]]"
legit,dces+ices,0.25,9,toxic,No,2353,0.9400719137035557,1518,0.606472233320016,0.96,0.62,0.76,0.62,0.7,"[[1464   54]
 [ 889   96]]"
legit,dces+ices,0.25,10,hateful,Yes,120,0.04794246903715541,833,0.33280063923292047,0.13,0.92,0.23,0.71,0.89,"[[1660   10]
 [ 723  110]]"
legit,dces+ices,0.25,10,hateful,No,2383,0.9520575309628446,1670,0.6671993607670795,0.99,0.7,0.82,0.71,0.89,"[[1660   10]
 [ 723  110]]"
legit,dces+ices,0.25,10,offensive,Yes,120,0.04794246903715541,1002,0.4003196164602477,0.11,0.88,0.19,0.64,0.82,"[[1487   14]
 [ 896  106]]"
legit,dces+ices,0.25,10,offensive,No,2383,0.9520575309628446,1501,0.5996803835397523,0.99,0.62,0.77,0.64,0.82,"[[1487   14]
 [ 896  106]]"
legit,dces+ices,0.25,10,toxic,Yes,150,0.05992808629644426,1059,0.42309228925289655,0.1,0.73,0.18,0.6,0.73,"[[1404   40]
 [ 949  110]]"
legit,dces+ices,0.25,10,toxic,No,2353,0.9400719137035557,1444,0.5769077107471035,0.97,0.6,0.74,0.6,0.73,"[[1404   40]
 [ 949  110]]"
legit,dces+ices,0.25,11,hateful,Yes,120,0.04794246903715541,819,0.3272073511785857,0.12,0.84,0.22,0.71,0.85,"[[1665   19]
 [ 718  101]]"
legit,dces+ices,0.25,11,hateful,No,2383,0.9520575309628446,1684,0.6727926488214143,0.99,0.7,0.82,0.71,0.85,"[[1665   19]
 [ 718  101]]"
legit,dces+ices,0.25,11,offensive,Yes,120,0.04794246903715541,984,0.3931282461046744,0.1,0.83,0.18,0.64,0.8,"[[1499   20]
 [ 884  100]]"
legit,dces+ices,0.25,11,offensive,No,2383,0.9520575309628446,1519,0.6068717538953257,0.99,0.63,0.77,0.64,0.8,"[[1499   20]
 [ 884  100]]"
legit,dces+ices,0.25,11,toxic,Yes,150,0.05992808629644426,1021,0.40791050739113066,0.11,0.74,0.19,0.62,0.73,"[[1443   39]
 [ 910  111]]"
legit,dces+ices,0.25,11,toxic,No,2353,0.9400719137035557,1482,0.5920894926088693,0.97,0.61,0.75,0.62,0.73,"[[1443   39]
 [ 910  111]]"
legit,dces+ices,0.25,12,hateful,Yes,120,0.04794246903715541,795,0.31761885737115464,0.14,0.9,0.24,0.72,0.87,"[[1696   12]
 [ 687  108]]"
legit,dces+ices,0.25,12,hateful,No,2383,0.9520575309628446,1708,0.6823811426288454,0.99,0.71,0.83,0.72,0.87,"[[1696   12]
 [ 687  108]]"
legit,dces+ices,0.25,12,offensive,Yes,120,0.04794246903715541,973,0.38873351977626847,0.1,0.82,0.18,0.64,0.79,"[[1509   21]
 [ 874   99]]"
legit,dces+ices,0.25,12,offensive,No,2383,0.9520575309628446,1530,0.6112664802237315,0.99,0.63,0.77,0.64,0.79,"[[1509   21]
 [ 874   99]]"
legit,dces+ices,0.25,12,toxic,Yes,150,0.05992808629644426,954,0.3811426288453855,0.11,0.69,0.19,0.64,0.71,"[[1503   46]
 [ 850  104]]"
legit,dces+ices,0.25,12,toxic,No,2353,0.9400719137035557,1549,0.6188573711546145,0.97,0.64,0.77,0.64,0.71,"[[1503   46]
 [ 850  104]]"
legit,dces+ices,0.25,13,hateful,Yes,120,0.04794246903715541,804,0.3212145425489413,0.14,0.91,0.24,0.72,0.88,"[[1688   11]
 [ 695  109]]"
legit,dces+ices,0.25,13,hateful,No,2383,0.9520575309628446,1699,0.6787854574510588,0.99,0.71,0.83,0.72,0.88,"[[1688   11]
 [ 695  109]]"
legit,dces+ices,0.25,13,offensive,Yes,120,0.04794246903715541,976,0.3899320815021974,0.1,0.82,0.18,0.64,0.79,"[[1505   22]
 [ 878   98]]"
legit,dces+ices,0.25,13,offensive,No,2383,0.9520575309628446,1527,0.6100679184978026,0.99,0.63,0.77,0.64,0.79,"[[1505   22]
 [ 878   98]]"
legit,dces+ices,0.25,13,toxic,Yes,150,0.05992808629644426,986,0.39392728725529363,0.1,0.63,0.17,0.62,0.69,"[[1462   55]
 [ 891   95]]"
legit,dces+ices,0.25,13,toxic,No,2353,0.9400719137035557,1517,0.6060727127447063,0.96,0.62,0.76,0.62,0.69,"[[1462   55]
 [ 891   95]]"
legit,dces+ices,0.25,14,hateful,Yes,120,0.04794246903715541,838,0.3347982421094686,0.13,0.92,0.23,0.71,0.87,"[[1655   10]
 [ 728  110]]"
legit,dces+ices,0.25,14,hateful,No,2383,0.9520575309628446,1665,0.6652017578905314,0.99,0.69,0.82,0.71,0.87,"[[1655   10]
 [ 728  110]]"
legit,dces+ices,0.25,14,offensive,Yes,120,0.04794246903715541,1000,0.3995205753096284,0.09,0.78,0.17,0.63,0.77,"[[1477   26]
 [ 906   94]]"
legit,dces+ices,0.25,14,offensive,No,2383,0.9520575309628446,1503,0.6004794246903715,0.98,0.62,0.76,0.63,0.77,"[[1477   26]
 [ 906   94]]"
legit,dces+ices,0.25,14,toxic,Yes,150,0.05992808629644426,1025,0.40950858969236914,0.1,0.69,0.18,0.61,0.7,"[[1432   46]
 [ 921  104]]"
legit,dces+ices,0.25,14,toxic,No,2353,0.9400719137035557,1478,0.5904914103076309,0.97,0.61,0.75,0.61,0.7,"[[1432   46]
 [ 921  104]]"
legit,dces+ices,0.25,15,hateful,Yes,120,0.04794246903715541,815,0.3256092688773472,0.14,0.94,0.24,0.72,0.89,"[[1681    7]
 [ 702  113]]"
legit,dces+ices,0.25,15,hateful,No,2383,0.9520575309628446,1688,0.6743907311226528,1.0,0.71,0.83,0.72,0.89,"[[1681    7]
 [ 702  113]]"
legit,dces+ices,0.25,15,offensive,Yes,120,0.04794246903715541,1029,0.4111066719936077,0.1,0.87,0.18,0.62,0.8,"[[1458   16]
 [ 925  104]]"
legit,dces+ices,0.25,15,offensive,No,2383,0.9520575309628446,1474,0.5888933280063924,0.99,0.61,0.76,0.62,0.8,"[[1458   16]
 [ 925  104]]"
legit,dces+ices,0.25,15,toxic,Yes,150,0.05992808629644426,1030,0.4115061925689173,0.09,0.65,0.16,0.61,0.67,"[[1420   53]
 [ 933   97]]"
legit,dces+ices,0.25,15,toxic,No,2353,0.9400719137035557,1473,0.5884938074310827,0.96,0.6,0.74,0.61,0.67,"[[1420   53]
 [ 933   97]]"
legit,dces+ices,0.25,16,hateful,Yes,120,0.04794246903715541,832,0.33240111865761085,0.13,0.89,0.22,0.71,0.88,"[[1658   13]
 [ 725  107]]"
legit,dces+ices,0.25,16,hateful,No,2383,0.9520575309628446,1671,0.6675988813423891,0.99,0.7,0.82,0.71,0.88,"[[1658   13]
 [ 725  107]]"
legit,dces+ices,0.25,16,offensive,Yes,120,0.04794246903715541,991,0.3959248901318418,0.1,0.79,0.17,0.63,0.77,"[[1487   25]
 [ 896   95]]"
legit,dces+ices,0.25,16,offensive,No,2383,0.9520575309628446,1512,0.6040751098681582,0.98,0.62,0.76,0.63,0.77,"[[1487   25]
 [ 896   95]]"
legit,dces+ices,0.25,16,toxic,Yes,150,0.05992808629644426,1019,0.40711146624051137,0.09,0.63,0.16,0.61,0.69,"[[1428   56]
 [ 925   94]]"
legit,dces+ices,0.25,16,toxic,No,2353,0.9400719137035557,1484,0.5928885337594886,0.96,0.61,0.74,0.61,0.69,"[[1428   56]
 [ 925   94]]"
legit,dces+ices,0.25,17,hateful,Yes,120,0.04794246903715541,798,0.3188174190970835,0.14,0.92,0.24,0.72,0.89,"[[1695   10]
 [ 688  110]]"
legit,dces+ices,0.25,17,hateful,No,2383,0.9520575309628446,1705,0.6811825809029165,0.99,0.71,0.83,0.72,0.89,"[[1695   10]
 [ 688  110]]"
legit,dces+ices,0.25,17,offensive,Yes,120,0.04794246903715541,962,0.3843387934478626,0.1,0.8,0.18,0.64,0.78,"[[1517   24]
 [ 866   96]]"
legit,dces+ices,0.25,17,offensive,No,2383,0.9520575309628446,1541,0.6156612065521374,0.98,0.64,0.77,0.64,0.78,"[[1517   24]
 [ 866   96]]"
legit,dces+ices,0.25,17,toxic,Yes,150,0.05992808629644426,988,0.39472632840591293,0.11,0.7,0.18,0.63,0.71,"[[1470   45]
 [ 883  105]]"
legit,dces+ices,0.25,17,toxic,No,2353,0.9400719137035557,1515,0.6052736715940871,0.97,0.62,0.76,0.63,0.71,"[[1470   45]
 [ 883  105]]"
legit,dces+ices,0.25,18,hateful,Yes,120,0.04794246903715541,839,0.33519776268477824,0.12,0.87,0.22,0.7,0.86,"[[1648   16]
 [ 735  104]]"
legit,dces+ices,0.25,18,hateful,No,2383,0.9520575309628446,1664,0.6648022373152217,0.99,0.69,0.81,0.7,0.86,"[[1648   16]
 [ 735  104]]"
legit,dces+ices,0.25,18,offensive,Yes,120,0.04794246903715541,969,0.38713543747503,0.1,0.83,0.18,0.64,0.79,"[[1514   20]
 [ 869  100]]"
legit,dces+ices,0.25,18,offensive,No,2383,0.9520575309628446,1534,0.61286456252497,0.99,0.64,0.77,0.64,0.79,"[[1514   20]
 [ 869  100]]"
legit,dces+ices,0.25,18,toxic,Yes,150,0.05992808629644426,987,0.39432680783060325,0.1,0.68,0.18,0.63,0.72,"[[1468   48]
 [ 885  102]]"
legit,dces+ices,0.25,18,toxic,No,2353,0.9400719137035557,1516,0.6056731921693967,0.97,0.62,0.76,0.63,0.72,"[[1468   48]
 [ 885  102]]"
legit,dces+ices,0.25,19,hateful,Yes,120,0.04794246903715541,804,0.3212145425489413,0.14,0.92,0.24,0.72,0.88,"[[1689   10]
 [ 694  110]]"
legit,dces+ices,0.25,19,hateful,No,2383,0.9520575309628446,1699,0.6787854574510588,0.99,0.71,0.83,0.72,0.88,"[[1689   10]
 [ 694  110]]"
legit,dces+ices,0.25,19,offensive,Yes,120,0.04794246903715541,1003,0.40071913703555734,0.09,0.79,0.17,0.63,0.78,"[[1475   25]
 [ 908   95]]"
legit,dces+ices,0.25,19,offensive,No,2383,0.9520575309628446,1500,0.5992808629644427,0.98,0.62,0.76,0.63,0.78,"[[1475   25]
 [ 908   95]]"
legit,dces+ices,0.25,19,toxic,Yes,150,0.05992808629644426,1029,0.4111066719936077,0.11,0.73,0.18,0.62,0.72,"[[1433   41]
 [ 920  109]]"
legit,dces+ices,0.25,19,toxic,No,2353,0.9400719137035557,1474,0.5888933280063924,0.97,0.61,0.75,0.62,0.72,"[[1433   41]
 [ 920  109]]"
legit,dces+ices,0.25,20,hateful,Yes,120,0.04794246903715541,808,0.3228126248501798,0.14,0.93,0.24,0.72,0.89,"[[1687    8]
 [ 696  112]]"
legit,dces+ices,0.25,20,hateful,No,2383,0.9520575309628446,1695,0.6771873751498202,1.0,0.71,0.83,0.72,0.89,"[[1687    8]
 [ 696  112]]"
legit,dces+ices,0.25,20,offensive,Yes,120,0.04794246903715541,1020,0.40751098681582104,0.1,0.81,0.17,0.62,0.78,"[[1460   23]
 [ 923   97]]"
legit,dces+ices,0.25,20,offensive,No,2383,0.9520575309628446,1483,0.592489013184179,0.98,0.61,0.76,0.62,0.78,"[[1460   23]
 [ 923   97]]"
legit,dces+ices,0.25,20,toxic,Yes,150,0.05992808629644426,1044,0.4170994806232521,0.1,0.69,0.17,0.61,0.7,"[[1412   47]
 [ 941  103]]"
legit,dces+ices,0.25,20,toxic,No,2353,0.9400719137035557,1459,0.5829005193767479,0.97,0.6,0.74,0.61,0.7,"[[1412   47]
 [ 941  103]]"
legit,dces+ices,0.25,21,hateful,Yes,120,0.04794246903715541,807,0.32241310427487013,0.13,0.9,0.23,0.72,0.87,"[[1684   12]
 [ 699  108]]"
legit,dces+ices,0.25,21,hateful,No,2383,0.9520575309628446,1696,0.6775868957251299,0.99,0.71,0.83,0.72,0.87,"[[1684   12]
 [ 699  108]]"
legit,dces+ices,0.25,21,offensive,Yes,120,0.04794246903715541,971,0.3879344786256492,0.1,0.79,0.17,0.64,0.79,"[[1507   25]
 [ 876   95]]"
legit,dces+ices,0.25,21,offensive,No,2383,0.9520575309628446,1532,0.6120655213743508,0.98,0.63,0.77,0.64,0.79,"[[1507   25]
 [ 876   95]]"
legit,dces+ices,0.25,21,toxic,Yes,150,0.05992808629644426,972,0.38833399920095885,0.1,0.66,0.18,0.63,0.71,"[[1480   51]
 [ 873   99]]"
legit,dces+ices,0.25,21,toxic,No,2353,0.9400719137035557,1531,0.6116660007990411,0.97,0.63,0.76,0.63,0.71,"[[1480   51]
 [ 873   99]]"
legit,dces+ices,0.25,22,hateful,Yes,120,0.04794246903715541,816,0.3260087894526568,0.13,0.92,0.24,0.71,0.88,"[[1677   10]
 [ 706  110]]"
legit,dces+ices,0.25,22,hateful,No,2383,0.9520575309628446,1687,0.6739912105473432,0.99,0.7,0.82,0.71,0.88,"[[1677   10]
 [ 706  110]]"
legit,dces+ices,0.25,22,offensive,Yes,120,0.04794246903715541,986,0.39392728725529363,0.1,0.8,0.17,0.63,0.77,"[[1493   24]
 [ 890   96]]"
legit,dces+ices,0.25,22,offensive,No,2383,0.9520575309628446,1517,0.6060727127447063,0.98,0.63,0.77,0.63,0.77,"[[1493   24]
 [ 890   96]]"
legit,dces+ices,0.25,22,toxic,Yes,150,0.05992808629644426,1032,0.41230523371953653,0.11,0.73,0.19,0.62,0.72,"[[1431   40]
 [ 922  110]]"
legit,dces+ices,0.25,22,toxic,No,2353,0.9400719137035557,1471,0.5876947662804635,0.97,0.61,0.75,0.62,0.72,"[[1431   40]
 [ 922  110]]"
legit,dces+ices,0.25,23,hateful,Yes,120,0.04794246903715541,778,0.31082700759089094,0.14,0.92,0.25,0.73,0.89,"[[1716    9]
 [ 667  111]]"
legit,dces+ices,0.25,23,hateful,No,2383,0.9520575309628446,1725,0.6891729924091091,0.99,0.72,0.84,0.73,0.89,"[[1716    9]
 [ 667  111]]"
legit,dces+ices,0.25,23,offensive,Yes,120,0.04794246903715541,1029,0.4111066719936077,0.1,0.85,0.18,0.62,0.78,"[[1456   18]
 [ 927  102]]"
legit,dces+ices,0.25,23,offensive,No,2383,0.9520575309628446,1474,0.5888933280063924,0.99,0.61,0.75,0.62,0.78,"[[1456   18]
 [ 927  102]]"
legit,dces+ices,0.25,23,toxic,Yes,150,0.05992808629644426,1015,0.4055133839392729,0.09,0.62,0.16,0.61,0.67,"[[1431   57]
 [ 922   93]]"
legit,dces+ices,0.25,23,toxic,No,2353,0.9400719137035557,1488,0.5944866160607272,0.96,0.61,0.75,0.61,0.67,"[[1431   57]
 [ 922   93]]"
legit,dces+ices,0.25,24,hateful,Yes,120,0.04794246903715541,778,0.31082700759089094,0.15,0.94,0.25,0.73,0.89,"[[1718    7]
 [ 665  113]]"
legit,dces+ices,0.25,24,hateful,No,2383,0.9520575309628446,1725,0.6891729924091091,1.0,0.72,0.84,0.73,0.89,"[[1718    7]
 [ 665  113]]"
legit,dces+ices,0.25,24,offensive,Yes,120,0.04794246903715541,958,0.38274071114662406,0.1,0.78,0.17,0.64,0.79,"[[1518   27]
 [ 865   93]]"
legit,dces+ices,0.25,24,offensive,No,2383,0.9520575309628446,1545,0.617259288853376,0.98,0.64,0.77,0.64,0.79,"[[1518   27]
 [ 865   93]]"
legit,dces+ices,0.25,24,toxic,Yes,150,0.05992808629644426,1034,0.41310427487015583,0.11,0.77,0.19,0.62,0.73,"[[1434   35]
 [ 919  115]]"
legit,dces+ices,0.25,24,toxic,No,2353,0.9400719137035557,1469,0.5868957251298442,0.98,0.61,0.75,0.62,0.73,"[[1434   35]
 [ 919  115]]"
legit,dces+ices,0.25,25,hateful,Yes,120,0.04794246903715541,851,0.3399920095884938,0.13,0.89,0.22,0.7,0.86,"[[1639   13]
 [ 744  107]]"
legit,dces+ices,0.25,25,hateful,No,2383,0.9520575309628446,1652,0.6600079904115062,0.99,0.69,0.81,0.7,0.86,"[[1639   13]
 [ 744  107]]"
legit,dces+ices,0.25,25,offensive,Yes,120,0.04794246903715541,1012,0.40431482221334397,0.1,0.81,0.17,0.63,0.76,"[[1468   23]
 [ 915   97]]"
legit,dces+ices,0.25,25,offensive,No,2383,0.9520575309628446,1491,0.595685177786656,0.98,0.62,0.76,0.63,0.76,"[[1468   23]
 [ 915   97]]"
legit,dces+ices,0.25,25,toxic,Yes,150,0.05992808629644426,1026,0.40990811026767876,0.09,0.61,0.15,0.6,0.67,"[[1418   59]
 [ 935   91]]"
legit,dces+ices,0.25,25,toxic,No,2353,0.9400719137035557,1477,0.5900918897323212,0.96,0.6,0.74,0.6,0.67,"[[1418   59]
 [ 935   91]]"
legit,dces+ices,0.25,26,hateful,Yes,120,0.04794246903715541,794,0.31721933679584496,0.14,0.92,0.24,0.72,0.89,"[[1700    9]
 [ 683  111]]"
legit,dces+ices,0.25,26,hateful,No,2383,0.9520575309628446,1709,0.682780663204155,0.99,0.71,0.83,0.72,0.89,"[[1700    9]
 [ 683  111]]"
legit,dces+ices,0.25,26,offensive,Yes,120,0.04794246903715541,1012,0.40431482221334397,0.1,0.81,0.17,0.63,0.8,"[[1468   23]
 [ 915   97]]"
legit,dces+ices,0.25,26,offensive,No,2383,0.9520575309628446,1491,0.595685177786656,0.98,0.62,0.76,0.63,0.8,"[[1468   23]
 [ 915   97]]"
legit,dces+ices,0.25,26,toxic,Yes,150,0.05992808629644426,1058,0.42269276867758687,0.1,0.73,0.18,0.6,0.73,"[[1404   41]
 [ 949  109]]"
legit,dces+ices,0.25,26,toxic,No,2353,0.9400719137035557,1445,0.5773072313224131,0.97,0.6,0.74,0.6,0.73,"[[1404   41]
 [ 949  109]]"
