Dataset,Prompting,Ratio,Category,Class,Support,Support %,Prediction,Prediction %,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
legit,legit,0.75,hateful,No,2277,0.8045936395759717,1452,0.5130742049469965,0.94,0.6,0.73,0.64,0.76,"[[1358   94]
 [ 919  459]]"
legit,legit,0.75,offensive,Yes,878,0.3102473498233215,1688,0.5964664310954063,0.44,0.84,0.58,0.62,0.73,"[[1005  137]
 [ 947  741]]"
legit,legit,0.75,offensive,No,1952,0.6897526501766784,1142,0.40353356890459363,0.88,0.51,0.65,0.62,0.73,"[[1005  137]
 [ 947  741]]"
legit,legit,0.75,toxic,Yes,507,0.17915194346289753,1585,0.5600706713780919,0.23,0.73,0.35,0.52,0.65,"[[1108  137]
 [1215  370]]"
legit,legit,0.75,toxic,No,2323,0.8208480565371025,1245,0.43992932862190814,0.89,0.48,0.62,0.52,0.65,"[[1108  137]
 [1215  370]]"
legit,legit,1.0,hateful,Yes,553,0.19540636042402826,1387,0.4901060070671378,0.33,0.82,0.47,0.63,0.73,"[[1343  100]
 [ 934  453]]"
legit,legit,1.0,hateful,No,2277,0.8045936395759717,1443,0.5098939929328622,0.93,0.59,0.72,0.63,0.73,"[[1343  100]
 [ 934  453]]"
legit,legit,1.0,offensive,Yes,878,0.3102473498233215,1964,0.6939929328621908,0.39,0.88,0.54,0.54,0.68,"[[ 762  104]
 [1190  774]]"
legit,legit,1.0,offensive,No,1952,0.6897526501766784,866,0.3060070671378092,0.88,0.39,0.54,0.54,0.68,"[[ 762  104]
 [1190  774]]"
legit,legit,1.0,toxic,Yes,507,0.17915194346289753,1846,0.6522968197879858,0.2,0.74,0.32,0.43,0.59,"[[ 854  130]
 [1469  377]]"
legit,legit,1.0,toxic,No,2323,0.8208480565371025,984,0.34770318021201413,0.87,0.37,0.52,0.43,0.59,"[[ 854  130]
 [1469  377]]"
legit,legit-recovery-replace,0.25,hateful,Yes,553,0.19540636042402826,961,0.33957597173144877,0.41,0.71,0.52,0.74,0.77,"[[1709  160]
 [ 568  393]]"
legit,legit-recovery-replace,0.25,hateful,No,2277,0.8045936395759717,1869,0.6604240282685513,0.91,0.75,0.82,0.74,0.77,"[[1709  160]
 [ 568  393]]"
legit,legit-recovery-replace,0.25,offensive,Yes,878,0.3102473498233215,846,0.2989399293286219,0.59,0.57,0.58,0.74,0.82,"[[1607  377]
 [ 345  501]]"
legit,legit-recovery-replace,0.25,offensive,No,1952,0.6897526501766784,1984,0.7010600706713781,0.81,0.82,0.82,0.74,0.82,"[[1607  377]
 [ 345  501]]"
legit,legit-recovery-replace,0.25,toxic,Yes,507,0.17915194346289753,1141,0.4031802120141343,0.34,0.77,0.47,0.69,0.76,"[[1571  118]
 [ 752  389]]"
legit,legit-recovery-replace,0.25,toxic,No,2323,0.8208480565371025,1689,0.5968197879858658,0.93,0.68,0.78,0.69,0.76,"[[1571  118]
 [ 752  389]]"
legit,legit-recovery-replace,0.5,hateful,Yes,553,0.19540636042402826,950,0.33568904593639576,0.4,0.69,0.51,0.74,0.76,"[[1711  169]
 [ 566  384]]"
legit,legit-recovery-replace,0.5,hateful,No,2277,0.8045936395759717,1880,0.6643109540636042,0.91,0.75,0.82,0.74,0.76,"[[1711  169]
 [ 566  384]]"
legit,legit-recovery-replace,0.5,offensive,Yes,878,0.3102473498233215,925,0.32685512367491165,0.57,0.6,0.58,0.74,0.8,"[[1554  351]
 [ 398  527]]"
legit,legit-recovery-replace,0.5,offensive,No,1952,0.6897526501766784,1905,0.6731448763250883,0.82,0.8,0.81,0.74,0.8,"[[1554  351]
 [ 398  527]]"
legit,legit-recovery-replace,0.5,toxic,Yes,507,0.17915194346289753,1233,0.43568904593639574,0.33,0.79,0.46,0.67,0.75,"[[1492  105]
 [ 831  402]]"
legit,legit-recovery-replace,0.5,toxic,No,2323,0.8208480565371025,1597,0.5643109540636042,0.93,0.64,0.76,0.67,0.75,"[[1492  105]
 [ 831  402]]"
legit,legit-recovery-replace,0.75,hateful,Yes,553,0.19561372479660416,950,0.3360452776795189,0.41,0.71,0.52,0.74,0.77,"[[1714  163]
 [ 560  390]]"
legit,legit-recovery-replace,0.75,hateful,No,2274,0.8043862752033958,1877,0.663954722320481,0.91,0.75,0.83,0.74,0.77,"[[1714  163]
 [ 560  390]]"
legit,legit-recovery-replace,0.75,offensive,Yes,877,0.3102228510788822,1071,0.3788468340997524,0.54,0.66,0.59,0.72,0.79,"[[1457  299]
 [ 493  578]]"
legit,legit-recovery-replace,0.75,offensive,No,1950,0.6897771489211177,1756,0.6211531659002476,0.83,0.75,0.79,0.72,0.79,"[[1457  299]
 [ 493  578]]"
legit,legit-recovery-replace,0.75,toxic,Yes,507,0.17934205871949063,1360,0.48107534488857445,0.29,0.79,0.43,0.62,0.71,"[[1358  109]
 [ 962  398]]"
legit,legit-recovery-replace,0.75,toxic,No,2320,0.8206579412805094,1467,0.5189246551114255,0.93,0.59,0.72,0.62,0.71,"[[1358  109]
 [ 962  398]]"
legit,legit-recovery-replace,1.0,hateful,Yes,553,0.19540636042402826,952,0.3363957597173145,0.41,0.7,0.51,0.74,0.76,"[[1712  166]
 [ 565  387]]"
legit,legit-recovery-replace,1.0,hateful,No,2277,0.8045936395759717,1878,0.6636042402826855,0.91,0.75,0.82,0.74,0.76,"[[1712  166]
 [ 565  387]]"
legit,legit-recovery-replace,1.0,offensive,Yes,878,0.3102473498233215,1120,0.3957597173144876,0.53,0.68,0.6,0.72,0.79,"[[1429  281]
 [ 523  597]]"
legit,legit-recovery-replace,1.0,offensive,No,1952,0.6897526501766784,1710,0.6042402826855123,0.84,0.73,0.78,0.72,0.79,"[[1429  281]
 [ 523  597]]"
legit,legit-recovery-replace,1.0,toxic,Yes,507,0.17915194346289753,1447,0.5113074204946997,0.3,0.85,0.44,0.61,0.73,"[[1306   77]
 [1017  430]]"
legit,legit-recovery-replace,1.0,toxic,No,2323,0.8208480565371025,1383,0.4886925795053004,0.94,0.56,0.7,0.61,0.73,"[[1306   77]
 [1017  430]]"
legit,zeroshot,0.25,hateful,Yes,554,0.19513913349771045,1645,0.5794293765410355,0.31,0.92,0.46,0.59,0.76,"[[1151   43]
 [1134  511]]"
legit,zeroshot,0.25,hateful,No,2285,0.8048608665022895,1194,0.4205706234589644,0.96,0.5,0.66,0.59,0.76,"[[1151   43]
 [1134  511]]"
legit,zeroshot,0.25,offensive,Yes,879,0.30961606199365976,1395,0.4913702007749208,0.48,0.76,0.59,0.67,0.75,"[[1235  209]
 [ 725  670]]"
legit,zeroshot,0.25,offensive,No,1960,0.6903839380063402,1444,0.5086297992250792,0.86,0.63,0.73,0.67,0.75,"[[1235  209]
 [ 725  670]]"
legit,zeroshot,0.25,toxic,Yes,507,0.1785840084536809,1608,0.5663966185276506,0.23,0.71,0.34,0.51,0.63,"[[1086  145]
 [1246  362]]"
legit,zeroshot,0.25,toxic,No,2332,0.8214159915463192,1231,0.4336033814723494,0.88,0.47,0.61,0.51,0.63,"[[1086  145]
 [1246  362]]"
legit,zeroshot,0.5,hateful,Yes,553,0.19540636042402826,1722,0.6084805653710247,0.29,0.92,0.45,0.55,0.74,"[[1062   46]
 [1215  507]]"
legit,zeroshot,0.5,hateful,No,2277,0.8045936395759717,1108,0.39151943462897526,0.96,0.47,0.63,0.55,0.74,"[[1062   46]
 [1215  507]]"
legit,zeroshot,0.5,offensive,Yes,878,0.3102473498233215,1753,0.619434628975265,0.42,0.85,0.57,0.6,0.71,"[[ 944  133]
 [1008  745]]"
legit,zeroshot,0.5,offensive,No,1952,0.6897526501766784,1077,0.380565371024735,0.88,0.48,0.62,0.6,0.71,"[[ 944  133]
 [1008  745]]"
legit,zeroshot,0.5,toxic,Yes,507,0.17915194346289753,1802,0.6367491166077739,0.21,0.73,0.32,0.45,0.6,"[[ 891  137]
 [1432  370]]"
legit,zeroshot,0.5,toxic,No,2323,0.8208480565371025,1028,0.36325088339222616,0.87,0.38,0.53,0.45,0.6,"[[ 891  137]
 [1432  370]]"
legit,zeroshot,0.75,hateful,Yes,553,0.19540636042402826,1774,0.6268551236749117,0.29,0.92,0.44,0.54,0.74,"[[1010   46]
 [1267  507]]"
legit,zeroshot,0.75,hateful,No,2277,0.8045936395759717,1056,0.37314487632508836,0.96,0.44,0.61,0.54,0.74,"[[1010   46]
 [1267  507]]"
legit,zeroshot,0.75,offensive,Yes,878,0.3102473498233215,1931,0.6823321554770319,0.4,0.89,0.56,0.56,0.69,"[[ 802   97]
 [1150  781]]"
legit,zeroshot,0.75,offensive,No,1952,0.6897526501766784,899,0.3176678445229682,0.89,0.41,0.56,0.56,0.69,"[[ 802   97]
 [1150  781]]"
legit,zeroshot,0.75,toxic,Yes,507,0.17915194346289753,1865,0.6590106007067138,0.2,0.74,0.31,0.43,0.59,"[[ 831  134]
 [1492  373]]"
legit,zeroshot,0.75,toxic,No,2323,0.8208480565371025,965,0.3409893992932862,0.86,0.36,0.51,0.43,0.59,"[[ 831  134]
 [1492  373]]"
legit,zeroshot,1.0,hateful,Yes,553,0.19540636042402826,1779,0.6286219081272085,0.28,0.92,0.43,0.53,0.73,"[[1004   47]
 [1273  506]]"
legit,zeroshot,1.0,hateful,No,2277,0.8045936395759717,1051,0.3713780918727915,0.96,0.44,0.6,0.53,0.73,"[[1004   47]
 [1273  506]]"
legit,zeroshot,1.0,offensive,Yes,878,0.3102473498233215,2066,0.7300353356890459,0.38,0.89,0.53,0.51,0.65,"[[ 670   94]
 [1282  784]]"
legit,zeroshot,1.0,offensive,No,1952,0.6897526501766784,764,0.26996466431095406,0.88,0.34,0.49,0.51,0.65,"[[ 670   94]
 [1282  784]]"
legit,zeroshot,1.0,toxic,Yes,507,0.17915194346289753,1928,0.6812720848056537,0.19,0.73,0.31,0.4,0.56,"[[ 767  135]
 [1556  372]]"
legit,zeroshot,1.0,toxic,No,2323,0.8208480565371025,902,0.3187279151943463,0.85,0.33,0.48,0.4,0.56,"[[ 767  135]
 [1556  372]]"
legit+dces+ices,legit+dces+ices,0.25,hateful,Yes,553,0.19540636042402826,1528,0.5399293286219081,0.32,0.89,0.47,0.61,0.77,"[[1241   61]
 [1036  492]]"
legit+dces+ices,legit+dces+ices,0.25,hateful,No,2277,0.8045936395759717,1302,0.4600706713780919,0.95,0.55,0.69,0.61,0.77,"[[1241   61]
 [1036  492]]"
legit+dces+ices,legit+dces+ices,0.25,offensive,Yes,878,0.3102473498233215,1630,0.5759717314487632,0.45,0.84,0.59,0.63,0.73,"[[1059  141]
 [ 893  737]]"
legit+dces+ices,legit+dces+ices,0.25,offensive,No,1952,0.6897526501766784,1200,0.42402826855123676,0.88,0.54,0.67,0.63,0.73,"[[1059  141]
 [ 893  737]]"
legit+dces+ices,legit+dces+ices,0.25,toxic,Yes,507,0.17915194346289753,1512,0.5342756183745583,0.23,0.68,0.34,0.53,0.65,"[[1154  164]
 [1169  343]]"
legit+dces+ices,legit+dces+ices,0.25,toxic,No,2323,0.8208480565371025,1318,0.4657243816254417,0.88,0.5,0.63,0.53,0.65,"[[1154  164]
 [1169  343]]"
legit+dces+ices,legit+dces+ices,0.5,hateful,Yes,553,0.19540636042402826,1585,0.5600706713780919,0.31,0.89,0.46,0.59,0.75,"[[1183   62]
 [1094  491]]"
legit+dces+ices,legit+dces+ices,0.5,hateful,No,2277,0.8045936395759717,1245,0.43992932862190814,0.95,0.52,0.67,0.59,0.75,"[[1183   62]
 [1094  491]]"
legit+dces+ices,legit+dces+ices,0.5,offensive,Yes,878,0.3102473498233215,1906,0.6734982332155477,0.41,0.89,0.56,0.57,0.7,"[[ 828   96]
 [1124  782]]"
legit+dces+ices,legit+dces+ices,0.5,offensive,No,1952,0.6897526501766784,924,0.3265017667844523,0.9,0.42,0.58,0.57,0.7,"[[ 828   96]
 [1124  782]]"
legit+dces+ices,legit+dces+ices,0.5,toxic,Yes,507,0.17915194346289753,1729,0.6109540636042403,0.21,0.71,0.32,0.46,0.61,"[[ 953  148]
 [1370  359]]"
legit+dces+ices,legit+dces+ices,0.5,toxic,No,2323,0.8208480565371025,1101,0.38904593639575974,0.87,0.41,0.56,0.46,0.61,"[[ 953  148]
 [1370  359]]"
legit+dces+ices,legit+dces+ices,0.75,hateful,Yes,553,0.19540636042402826,1551,0.5480565371024735,0.3,0.85,0.45,0.59,0.73,"[[1197   82]
 [1080  471]]"
legit+dces+ices,legit+dces+ices,0.75,hateful,No,2277,0.8045936395759717,1279,0.4519434628975265,0.94,0.53,0.67,0.59,0.73,"[[1197   82]
 [1080  471]]"
legit+dces+ices,legit+dces+ices,0.75,offensive,Yes,878,0.3102473498233215,2086,0.7371024734982332,0.38,0.91,0.54,0.52,0.67,"[[ 669   75]
 [1283  803]]"
legit+dces+ices,legit+dces+ices,0.75,offensive,No,1952,0.6897526501766784,744,0.2628975265017668,0.9,0.34,0.5,0.52,0.67,"[[ 669   75]
 [1283  803]]"
legit+dces+ices,legit+dces+ices,0.75,toxic,Yes,507,0.17915194346289753,1845,0.6519434628975265,0.2,0.72,0.31,0.43,0.59,"[[ 842  143]
 [1481  364]]"
legit+dces+ices,legit+dces+ices,0.75,toxic,No,2323,0.8208480565371025,985,0.3480565371024735,0.85,0.36,0.51,0.43,0.59,"[[ 842  143]
 [1481  364]]"
legit+dces+ices,legit+dces+ices,1.0,hateful,Yes,553,0.19540636042402826,1539,0.5438162544169611,0.31,0.86,0.45,0.6,0.73,"[[1213   78]
 [1064  475]]"
legit+dces+ices,legit+dces+ices,1.0,hateful,No,2277,0.8045936395759717,1291,0.45618374558303887,0.94,0.53,0.68,0.6,0.73,"[[1213   78]
 [1064  475]]"
legit+dces+ices,legit+dces+ices,1.0,offensive,Yes,878,0.3102473498233215,2167,0.7657243816254417,0.37,0.9,0.52,0.49,0.64,"[[ 579   84]
 [1373  794]]"
legit+dces+ices,legit+dces+ices,1.0,offensive,No,1952,0.6897526501766784,663,0.2342756183745583,0.87,0.3,0.44,0.49,0.64,"[[ 579   84]
 [1373  794]]"
legit+dces+ices,legit+dces+ices,1.0,toxic,Yes,507,0.17915194346289753,1907,0.673851590106007,0.18,0.69,0.29,0.4,0.56,"[[ 768  155]
 [1555  352]]"
legit+dces+ices,legit+dces+ices,1.0,toxic,No,2323,0.8208480565371025,923,0.3261484098939929,0.83,0.33,0.47,0.4,0.56,"[[ 768  155]
 [1555  352]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.25,hateful,Yes,553,0.19540636042402826,940,0.3321554770318021,0.41,0.69,0.51,0.74,0.76,"[[1719  171]
 [ 558  382]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.25,hateful,No,2277,0.8045936395759717,1890,0.6678445229681979,0.91,0.75,0.83,0.74,0.76,"[[1719  171]
 [ 558  382]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.25,offensive,Yes,878,0.3102473498233215,868,0.3067137809187279,0.58,0.57,0.57,0.74,0.8,"[[1584  378]
 [ 368  500]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.25,offensive,No,1952,0.6897526501766784,1962,0.6932862190812721,0.81,0.81,0.81,0.74,0.8,"[[1584  378]
 [ 368  500]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.25,toxic,Yes,507,0.17915194346289753,1130,0.3992932862190813,0.33,0.74,0.46,0.69,0.75,"[[1570  130]
 [ 753  377]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.25,toxic,No,2323,0.8208480565371025,1700,0.6007067137809188,0.92,0.68,0.78,0.69,0.75,"[[1570  130]
 [ 753  377]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.5,hateful,Yes,552,0.19519094766619519,941,0.33274398868458277,0.42,0.71,0.53,0.75,0.77,"[[1727  160]
 [ 549  392]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.5,hateful,No,2276,0.8048090523338048,1887,0.6672560113154172,0.92,0.76,0.83,0.75,0.77,"[[1727  160]
 [ 549  392]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.5,offensive,Yes,877,0.31011315417256013,968,0.3422913719943423,0.55,0.6,0.57,0.72,0.79,"[[1512  348]
 [ 439  529]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.5,offensive,No,1951,0.6898868458274399,1860,0.6577086280056577,0.81,0.77,0.79,0.72,0.79,"[[1512  348]
 [ 439  529]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.5,toxic,Yes,506,0.1789250353606789,1257,0.4444837340876945,0.32,0.79,0.45,0.66,0.74,"[[1465  106]
 [ 857  400]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.5,toxic,No,2322,0.8210749646393211,1571,0.5555162659123055,0.93,0.63,0.75,0.66,0.74,"[[1465  106]
 [ 857  400]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.75,hateful,Yes,553,0.19540636042402826,925,0.32685512367491165,0.4,0.67,0.5,0.74,0.75,"[[1725  180]
 [ 552  373]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.75,hateful,No,2277,0.8045936395759717,1905,0.6731448763250883,0.91,0.76,0.82,0.74,0.75,"[[1725  180]
 [ 552  373]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.75,offensive,Yes,878,0.3102473498233215,1097,0.38763250883392225,0.52,0.65,0.58,0.71,0.78,"[[1430  303]
 [ 522  575]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.75,offensive,No,1952,0.6897526501766784,1733,0.6123674911660777,0.83,0.73,0.78,0.71,0.78,"[[1430  303]
 [ 522  575]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.75,toxic,Yes,507,0.17915194346289753,1407,0.4971731448763251,0.3,0.83,0.44,0.62,0.73,"[[1337   86]
 [ 986  421]]"
legit+dces+ices,legit+ices+dces-recovery-replace,0.75,toxic,No,2323,0.8208480565371025,1423,0.5028268551236749,0.94,0.58,0.71,0.62,0.73,"[[1337   86]
 [ 986  421]]"
legit+dces+ices,legit+ices+dces-recovery-replace,1.0,hateful,Yes,553,0.19589089620970598,934,0.33085370173574213,0.4,0.67,0.5,0.74,0.74,"[[1709  180]
 [ 561  373]]"
legit+dces+ices,legit+ices+dces-recovery-replace,1.0,hateful,No,2270,0.804109103790294,1889,0.6691462982642579,0.9,0.75,0.82,0.74,0.74,"[[1709  180]
 [ 561  373]]"
legit+dces+ices,legit+ices+dces-recovery-replace,1.0,offensive,Yes,877,0.3106624158696422,1177,0.4169323414806943,0.51,0.68,0.58,0.7,0.77,"[[1368  278]
 [ 578  599]]"
legit+dces+ices,legit+ices+dces-recovery-replace,1.0,offensive,No,1946,0.6893375841303577,1646,0.5830676585193058,0.83,0.7,0.76,0.7,0.77,"[[1368  278]
 [ 578  599]]"
legit+dces+ices,legit+ices+dces-recovery-replace,1.0,toxic,Yes,507,0.179596174282678,1487,0.5267445979454481,0.28,0.83,0.42,0.59,0.71,"[[1252   84]
 [1064  423]]"
legit+dces+ices,legit+ices+dces-recovery-replace,1.0,toxic,No,2316,0.820403825717322,1336,0.4732554020545519,0.94,0.54,0.69,0.59,0.71,"[[1252   84]
 [1064  423]]"
legit+dces+ices,visual+phonetic+typo,0.25,hateful,Yes,553,0.19540636042402826,1575,0.5565371024734982,0.31,0.9,0.47,0.6,0.76,"[[1197   58]
 [1080  495]]"
legit+dces+ices,visual+phonetic+typo,0.25,hateful,No,2277,0.8045936395759717,1255,0.44346289752650175,0.95,0.53,0.68,0.6,0.76,"[[1197   58]
 [1080  495]]"
legit+dces+ices,visual+phonetic+typo,0.25,offensive,Yes,878,0.3102473498233215,1726,0.6098939929328622,0.44,0.86,0.58,0.61,0.73,"[[980 124]
 [972 754]]"
legit+dces+ices,visual+phonetic+typo,0.25,offensive,No,1952,0.6897526501766784,1104,0.3901060070671378,0.89,0.5,0.64,0.61,0.73,"[[980 124]
 [972 754]]"
legit+dces+ices,visual+phonetic+typo,0.25,toxic,Yes,507,0.17915194346289753,1551,0.5480565371024735,0.22,0.67,0.33,0.51,0.65,"[[1113  166]
 [1210  341]]"
legit+dces+ices,visual+phonetic+typo,0.25,toxic,No,2323,0.8208480565371025,1279,0.4519434628975265,0.87,0.48,0.62,0.51,0.65,"[[1113  166]
 [1210  341]]"
legit+dces+ices,visual+phonetic+typo,0.5,hateful,Yes,553,0.19540636042402826,1634,0.5773851590106007,0.3,0.9,0.46,0.58,0.75,"[[1141   55]
 [1136  498]]"
legit+dces+ices,visual+phonetic+typo,0.5,hateful,No,2277,0.8045936395759717,1196,0.4226148409893993,0.95,0.5,0.66,0.58,0.75,"[[1141   55]
 [1136  498]]"
legit+dces+ices,visual+phonetic+typo,0.5,offensive,Yes,878,0.3102473498233215,1978,0.6989399293286219,0.4,0.9,0.56,0.55,0.7,"[[ 767   85]
 [1185  793]]"
legit+dces+ices,visual+phonetic+typo,0.5,offensive,No,1952,0.6897526501766784,852,0.3010600706713781,0.9,0.39,0.55,0.55,0.7,"[[ 767   85]
 [1185  793]]"
legit+dces+ices,visual+phonetic+typo,0.5,toxic,Yes,507,0.17915194346289753,1781,0.6293286219081272,0.21,0.72,0.32,0.45,0.62,"[[ 908  141]
 [1415  366]]"
legit+dces+ices,visual+phonetic+typo,0.5,toxic,No,2323,0.8208480565371025,1049,0.3706713780918728,0.87,0.39,0.54,0.45,0.62,"[[ 908  141]
 [1415  366]]"
legit+dces+ices,visual+phonetic+typo,0.75,hateful,Yes,553,0.19540636042402826,1574,0.5561837455830388,0.31,0.87,0.45,0.59,0.73,"[[1185   71]
 [1092  482]]"
