model,size,test,ratio,Bootstrap,Category,Class,Support,Support %,Prediction,Prediction %,Mean Score,Med Score,∆ Score,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
llama2,13B,clean,0.0,3,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,3,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,3,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,3,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,3,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,4,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,4,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,4,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,4,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,4,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,4,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,5,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,5,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,5,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,5,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,5,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,5,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,6,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,6,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,6,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,6,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,6,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,6,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,7,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,7,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,7,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,7,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,7,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,7,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,8,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,8,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,8,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,8,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,8,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,8,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,9,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,9,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,9,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,9,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,9,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,9,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,10,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,10,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,10,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,10,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,10,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,10,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,11,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,11,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,11,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,11,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,11,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,11,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,12,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,12,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,12,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,12,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,12,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,12,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,13,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,13,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,13,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,13,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,13,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,13,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,14,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,14,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,14,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,14,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,14,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,14,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,15,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,15,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,15,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,15,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,15,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,15,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,16,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,16,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,16,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,16,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,16,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,16,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,17,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,17,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,17,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,17,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,17,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,17,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,18,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,18,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,18,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,18,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,18,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,18,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,19,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,19,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,19,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,19,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,19,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,19,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,20,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,20,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,20,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,20,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,20,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,20,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,21,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,21,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,21,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,21,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,21,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,21,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,22,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,22,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,22,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,22,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,22,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,22,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
