,idx,clean,perturbed,predicted,batch
3,193,time,tmie,time,38
4,194,takes,taeks,take,38
0,195,phases,pases,places,39
1,196,implementation,i`mple<men$ta^tion,impression,39
2,197,investigate,investiate,investigate,39
3,198,manifolds,mxnifolds,manifolds,39
4,199,well,Wele,wheel,39
0,200,growing,growin,growing,40
1,201,train,trin,train,40
2,202,landscape,'landscape,landscape,40
3,203,asynchronous,asynchronou,asynchronous,40
4,204,show,sho,show,40
0,205,symmetry,symmtry,symmetry,41
1,206,analysis,analise,analyze,41
2,207,conducted,co#n.d^u;cte[d,compromise,41
3,208,conjecture,c~o<nje+ctu[re,compromise,41
4,209,domain,domsin,dominate,41
0,210,prepare,prepre,prep,42
1,211,bipolar,bipola5,bipolar,42
2,212,crystals,drystals,crystals,42
3,213,tackle,ta|c(kle,tackle,42
4,214,math,mth,math,42
0,215,discrepancy,fisvrepancy,fiscal,43
1,216,zero,zeo,zero,43
2,217,nonlinear,nonlineaf,nonlinear,43
3,218,hyperparameter,yperprameter,hyperparameter,43
4,219,english,Englis,English,43
0,220,particularly,Particulary,particular,44
1,221,space,spcae,space,44
2,222,composed,cesompod,commodity,44
3,223,observe,obevsre,obverse,44
4,224,energetically,eieeanclltrgy,economy,44
0,225,rationale,tahiona.d,Tahiti,45
1,226,stylized,stylizev,Stylistic,45
2,227,metrics,<me_tri(cs,Theme,45
3,228,framework,<fr-amework,Framework,45
4,229,sequence,senquency,Seniority,45
0,230,improvements,improvments,improvements,46
1,231,relevant,releant,relevant,46
2,232,given,give@n,give in,46
3,233,outputs,ouhputa,output,46
4,234,exhibits,exh9bits,exhibits,46
0,235,graphs,ghpras,grasp,47
1,236,first,fi-rst,first,47
2,237,least,lea)st,least,47
3,238,terms,tems,themes,47
4,239,achieve,"a""chi!eve",achieve,47
0,240,operator,opera(t@or,Opera,48
1,241,everywhere,erervewyhe,Herve,48
2,242,critical,ciitcarl,Carl,48
3,243,theory,+t@h=eo(ry,House,48
4,244,perceptron,percepron,Prison,48
0,245,nature,ature,nature,49
1,246,performing,pfeimnrrog,image,49
2,247,additional,add'i[t-ion.al,additional,49
3,248,integer,iteger,iger,49
4,249,cosmic,cosic,cosmic,49
0,250,norms,n!or#ms,norms,50
1,251,problem,problom,problem,50
2,252,acquisition,acstiiuiqon,accomplishment,50
3,253,developed,"d,eve(loped",develope,50
4,254,quality,]qua/li(t!y,quality,50
0,255,present,plesant,pleasant,51
1,256,found,foun]d,found,51
2,257,concrete,conrete,concrete,51
3,258,many,meny,many,51
4,259,expected,{e@x`pec\t#e\d,exact,51
0,260,along,al@ong,angle,52
1,261,advanced,aancevdd,advance,52
2,262,language,languag)e,language,52
3,263,implementation,implementatin,implementation,52
4,264,associated,associeted,associated,52
0,265,initial,initia[l,initial,53
1,266,explore,elopxre,explore,53
2,267,spectroscopy,"s""pec)t""rosc&opy",spectroscopy,53
3,268,transformers,trnsformers,transformers,53
4,269,learning,liannerg,linear,53
0,270,across,$across,across,54
1,271,visual,visul,vision,54
2,272,argument,argumen$t,argument,54
3,273,observe,bserve,observe,54
4,274,characteristic,characterisic,characteristic,54
0,275,utilize,utiize,utilize,55
1,276,care,crae,care,55
2,277,analysis,aalysis,analysis,55
3,278,dark,dak,dark,55
4,279,environments,"en]vi=ron,ment<s",environment,55
0,280,along,aonlg,angle,56
1,281,denoiser,den9iser,denser,56
2,282,data,dtaa,data,56
3,283,based,besad,basis,56
4,284,gradient,gradiebt,gradient,56
0,285,perturbations,putoeanrtirbs,poet,57
1,286,boundary,braduony,brain,57
2,287,pion,;ion,sion,57
3,288,tabular,tabualr,table,57
4,289,ranging,rngniag,ring,57
0,290,strong,st{r]o`ng,strong,58
1,291,tasks,tksas,thanks,58
2,292,required,require|d,required,58
3,293,symbolic,>s*ymbolic,symbolic,58
4,294,processes,proesses,processes,58
0,295,categories,categorie,category,59
1,296,external,_extern^al,external,59
2,297,time,ime,time,59
3,298,techniques,tchniques,techniques,59
4,299,performance,Perfomance,performance,59
0,300,published,publshed,publish,60
1,301,spark,s'ark,spark,60
2,302,minimal,min8mao,minimao,60
3,303,notion,jotuon,judgment,60
4,304,exploration,e]xplo;r*ati`on,exploration,60
0,305,simplified,sim0lifurd,simple,61
1,306,especially,espcially,especially,61
2,307,units,uns,sun,61
3,308,essential,esstial,essential,61
4,309,challenge,.ch+a.llenge,challenge,61
0,310,comparable,comp|arable,comparable,62
1,311,spinless,spin%les?s,spineless,62
2,312,surface,surfa+ce,surface,62
3,313,points,popints,points,62
4,314,strategy,sgeartty,startling,62
0,315,relates,re~la;t]es,labels,63
1,316,capture,captur,capture,63
2,317,energy,en+ergy,energy,63
3,318,data,da;ta,data,63
4,319,always,[[Allways,always,63
0,320,current,crneurt,crown,64
1,321,model,mode*l,model,64
2,322,angles,ang>l>e^s,angle,64
3,323,replaced,replacd,replaced,64
4,324,tighter,^tig`hte%r,tight,64
0,325,pair,piar,pair,65
1,326,powder,pwder,power,65
2,327,behavior,bevhiaor,behavior,65
3,328,somewhat,so'me)what,somewhat,65
4,329,based,bsaed,blessed,65
0,330,pfdm,pfem,fem,66
1,331,significantly,sfinicnlitgay,financial,66
2,332,structures,st[ructu)res,structures,66
3,333,mean,mea-n,mean,66
4,334,along,anolg,analog,66
0,335,predictions,pred8ctions,predictions,67
1,336,challenging,chllenging,challenging,67
2,337,interaction,"inte`rac,tion",integration,67
3,338,influencers,infuencer,influencer,67
4,339,determinant,dterminant,determinant,67
0,340,evaluations,eaitulvonas,lead,68
1,341,methods,mehods,methods,68
2,342,classes,clseass,class,68
3,343,potential,potentil,potential,68
4,344,guide,gui=de,guide,68
0,345,estimated,estmated,estimate,69
1,346,rather,[[rathen,perhaps,69
2,347,bridge,brdgie,bridge,69
3,348,technique,tchnique,technique,69
4,349,heisenberg,heusenbetf,housekeeping,69
0,350,model,modle,model,70
1,351,inclusive,inclusiv,inclusive,70
2,352,fusion,f-u's*ion,fusion,70
3,353,paper,pepar,prepare,70
4,354,scalable,sca$l(a?ble,scaleable,70
0,355,scheduling,"s*cheduli,ng",scheduling,71
1,356,shown,sowhn,show,71
2,357,equivalent,elvuqnaeit,elbow,71
3,358,slight,sligth,slight,71
4,359,scales,sealcs,seals,71
0,360,vehicles,vclheies,vacations,72
1,361,inside,inide,inside,72
2,362,conditioned,cnentodiiod,concentrated,72
3,363,physical,<phys(i+cal,physical,72
4,364,program,prragom,program,72
0,365,characterized,caeirceztrhad,inspire,73
1,366,establish,esablish,establish,73
2,367,recent,recents,recent,73
3,368,needs,n'eeds,need,73
4,369,domain,doain,drain,73
0,370,first,frst,first,74
1,371,synthetic,Syntetic,synthetic,74
2,372,nutshell,nutsheel,nutshell,74
3,373,types,tpyes,types,74
4,374,illusion,isoiluln,isolated,74
0,375,large,l;a|rge,large,75
1,376,difference,differece,difference,75
2,377,rectangular,rectagular,regular,75
3,378,safety,setfay,set away,75
4,379,robot,robo,robot,75
0,380,turn,trun,train,76
1,381,pulses,puses,uses,76
2,382,sdss,@sdss,lass,76
3,383,resistive,redist8be,distribute,76
4,384,match,mtch,match,76
0,385,design,dgsien,digest,77
1,386,empirical,em/p_i!rical,impetuous,77
2,387,cluster,clsetur,cluster,77
3,388,perspective,perspect,perspective,77
4,389,percent,percen,percent,77
0,390,directly,dertcily,directory,78
1,391,expected,expeted,expected,78
2,392,diagnose,dlagnice,delicious,78
3,393,across,ascros,cross,78
4,394,particular,pa|r:ticul%ar,particular,78
0,395,closely,ceolsly,collies,79
1,396,friction,frictin,friction,79
2,397,primarily,_p*rimarily,primarily,79
3,398,quantity,qiuatnty,quantity,79
4,399,data,ata,data,79
0,400,also,a&lso,also,80
1,401,particle,partile,"partile"" (no change)",80
2,402,resolution,res0lution,resolution,80
3,403,refinement,reg9nemejt,regimen,80
4,404,furthermore,furthermoe,furthermore,80
0,405,structure,strucure,structure,81
1,406,applications,atcinlpoiaps,ascending,81
2,407,setting,Seting,setting,81
3,408,models,mode-l=s,mode,81
4,409,various,vouaris,vortex,81
0,410,approach,aproach,approach,82
1,411,randomized,rezndoimad,insane,82
2,412,radical,radicl,radical,82
3,413,unit,uint,union,82
4,414,performance,perfermonce,performance,82
0,415,considering,Considersing,Consideration,83
1,416,fractional,ffzvtional,Futuristic,83
2,417,weather,weate,Wait,83
3,418,learning,learnin,Learning,83
4,419,empirical,emirical,Emotional,83
0,420,type,tpye,type,84
1,421,toric,toirc,torch,84
2,422,workforce,wkrocrfoe,crocker,84
3,423,addressing,addressujh,address,84
4,424,curvature,curvatur,curvature,84
0,425,identifying,identifyig,identify,85
1,426,consensus,cunenssos,sensors,85
2,427,however,howeve,however,85
3,428,chosen,chsen,chosen,85
4,429,analogous,"ajx,ogous",axious,85
0,430,numbers,numbes,numbers,86
1,431,milgrom,m\ilgrom,milgram,86
2,432,bounded,bendoud,Baudouin,86
3,433,lack,laco,lacrosse,86
4,434,transition,tsrationin,stratification,86
0,435,conditions,/condi%t<io'n`s,conditions,87
1,436,extend,eetnxd,network,87
2,437,solutions,soluti(ons,solutions,87
3,438,loss,oss,loss,87
4,439,query,qeruy,query,87
0,440,communication,communicaton,communication,88
1,441,method,mohted,moved,88
2,442,show,schow,show,88
3,443,available,availabl,available,88
4,444,planner,plneanr,planner,88
0,445,fractional,fradtiknal,fractal,89
1,446,propose,psprooe,prose,89
2,447,torsion,troison,tension,89
3,448,detailed,det=a}iled,detailed,89
4,449,positive,psitie,spite,89
0,450,motor,mtoor,motion,90
1,451,excursions,eoixncrsus,excessive,90
2,452,conjugation,conjgation,congression,90
3,453,charmed,cnarmed,armed,90
4,454,reinforcement,rein%forcement,reinforcement,90
0,455,effectively,effectivel,effective,91
1,456,systems,Systens,systems,91
2,457,wavelength,wavelen\gth,wavelength,91
3,458,finite,fibite,fixture,91
4,459,block,blok,block,91
0,460,several,srveeal,surreal,92
1,461,paper,paepr,aper,92
2,462,dead,d?ead,dead,92
3,463,different,diferent,different,92
4,464,dynamics,dcanmyis,can my is,92
0,465,nash,nsah,nation,93
1,466,enhanced,enhamced,enhanced,93
2,467,uniform,"u{ni{f_or""m",universe,93
3,468,elimination,elimnation,elimination,93
4,469,ones,o;nes,ones,93
0,470,show,sohw,show,94
1,471,nondeterministic,",nondet$erm(inis@tic",computer,94
2,472,search,earch,search,94
3,473,undecidability,un#de-c=id<ab<i$lity,understand,94
4,474,imposes,impoees,employees,94
0,475,surface,srufcae,surface,95
1,476,tree,=tr)ee,tree,95
2,477,eopl,eop#l,pool,95
3,478,flow,flo=w,flow,95
4,479,identity,ientity,identity,95
0,480,first,frst,first,96
1,481,need,ned,need,96
2,482,fairness,fairnesw,fairness,96
3,483,furthermore,furtermore,furthermore,96
4,484,confounders,]confou/nde[rs,confusion,96
0,485,data,d/ata,data,97
1,486,finitely,finite_ly,finite,97
2,487,canada,canaa,canna,97
3,488,etgraph,eptgarh,EPtgarh,97
4,489,conditions,cotdoniins,cotton,97
0,490,type,tpye,type,98
1,491,transfer,tesnrfar,sensor,98
2,492,perturbations,prrturbatoons,perturbations,98
3,493,foggy,fgogy,foggy,98
4,494,made,mdae,made,98
0,495,decreasing,decr@easing,decreasing,99
1,496,detection,d3teftiom,defective,99
2,497,employing,eploying,deploying,99
3,498,environment,environement,environment,99
4,499,influence,fluence,influence,99
0,500,addition,additon,addition,100
1,501,halts,hltas,halt,100
2,502,technique,t`e~chniqu#e,technique,100
3,503,absolute,abolute,absolute,100
4,504,tidal,ti~dal,tidal,100
0,505,concepts,c)onc;epts,concept,101
1,506,permanent,penenrmat,phenomenon,101
2,507,methods,methos,method,101
3,508,available,alblaviae,abundance,101
4,509,increasingly,"increas#ingl""y",increasingly,101
0,510,improvements,improvemts,improvements,102
1,511,requires,requiere,require,102
2,512,adaptation,aaptation,adaptation,102
3,513,vision,vsoiin,vision,102
4,514,domains,domaines,domains,102
0,515,deciding,deciing,decide,103
1,516,devastating,eevqsyating,evaluate,103
2,517,cool,ool,pool,103
3,518,particularly,plrrilauctay,parallel,103
4,519,publish,publih,public,103
0,520,applications,"ap#pl,ic;at!io/n@s",application,104
1,521,could,colud,cloud,104
2,522,benchmark,b4ncnjark,branch,104
3,523,corresponding,correspoding,corresponding,104
4,524,unveil,uevinl,vein,104
0,525,scheme,"sc,heme",scheme,105
1,526,right,rihgt,right,105
2,527,fractional,fractiknal,fractional,105
3,528,challenges,ceahnlgles,chain gangs,105
4,529,series,?serie]s,series,105
0,530,including,includng,including,106
1,531,crystallographic,crystallogaphic,crystallographic,106
2,532,included,ineculdd,independent,106
3,533,rule,rul+e,rule,106
4,534,large,larg,large,106
0,535,correlation,}co+r+r&el#at&ion,composition,107
1,536,returns,retu-r'ns,returns,107
2,537,leverages,lveaeegrs,veggies,107
3,538,assumption,asumption,assumption,107
4,539,consider,cosider,consider,107
0,540,directly,d{i;rectl'y,directly,108
1,541,setting,Settiing,setting,108
2,542,applicative,?applica?tive,applicable,108
3,543,explicit,<e[xpl=ic%it,explosive,108
4,544,tentative,tentafive,tentative,108
0,545,theta,thet<a,the,109
1,546,cancer,+c&an(cer,cancer,109
2,547,series,sries,series,109
3,548,field,ield,field,109
4,549,propose,propouse,propose,109
0,550,authentication,authntication,authenticate,110
1,551,feedback,feebdack,feedback,110
2,552,associated,ssocited,associated,110
3,553,code,|co$de,code,110
4,554,applying,applyng,applying,110
0,555,tasks,tsks,asks,111
1,556,noise,noice,voice,111
2,557,furthermore,furthermor<e,furthermore,111
3,558,renormalisation,rarisotioanlemn,chaos theory,111
4,559,arise,aisre,sire,111
0,560,lasting,lazting,lazing,112
1,561,indicate,indica)t?e,indicate,112
2,562,understand,"under""sta~nd",understand,112
3,563,kuznetsov,kuznetso,Kuznetsov,112
4,564,derived,derievd,derived,112
0,565,benchmark,benchmsrk,bench mark,113
1,566,injected,injeted,injected,113
2,567,functional,fuctioal,futuristic,113
3,568,occlusions,occ#l~u`sions,occlusion,113
4,569,prove,pove,love,113
0,570,modern,moderne,modern,114
1,571,networks,Netwoks,networks,114
2,572,neural,neual,neutral,114
3,573,decision,!dec&is*io\n,decision,114
4,574,faulty,fautly,fully,114
0,575,importance,impo{r\t'ance,importance,115
1,576,serve,searve,serve,115
2,577,using,useing,using,115
3,578,mathematically,matematically,mathematically,115
4,579,concentration,concentracion,concentration,115
0,580,framework,^framework,framework,116
1,581,either,eigher,heir,116
2,582,employ,emloy,employ,116
3,583,existing,exising,existing,116
4,584,experimental,expeimental,experimental,116
0,585,constrain,costrain,strain,117
1,586,factor,facto,fact,117
2,587,canting,ca*ntin}g,counting,117
3,588,hyperelastic,jylw4elastic,elastic,117
4,589,excitation,eatiioctxn,context,117
0,590,precursors,precursoes,processes,118
1,591,method,methodo,method,118
2,592,specific,speciic,specific,118
3,593,evaluate,ealuate,evaluate,118
4,594,propagating,propqgating,propagating,118
0,595,coherence,coher?ence,coherence,119
1,596,inflation,nflation,inflation,119
2,597,exhibits,wxhibits,exhibits,119
3,598,likelihood,likeliood,likelihood,119
4,599,length,"len""gt_h",length,119
0,600,also,alson,alone,120
1,601,respectively,resp^ec#tively,responsively,120
2,602,simple,simpl,simple,120
3,603,result,esult,result,120
4,604,introductory,&i^ntro+ductory,introducible,120
0,605,judgments,hudgmentz,judgment,121
1,606,approach,approa(ch,approach,121
2,607,simple,siple,simple,121
3,608,using,useing,using,121
4,609,either,etheir,their,121
0,610,construct,cons-tru}ct,construct,122
1,611,using,us&ing,using,122
2,612,comparison,compar#i~son,comparison,122
3,613,meshes,"m/esh""es",mesh,122
4,614,known,kown,known,122
0,615,code,cdoe,code,123
1,616,curvature,curvaure,curve,123
2,617,poorly,pooly,pool,123
3,618,iterated,*i#tera_ted,terrified,123
4,619,several,severals,several,123
0,620,perimeter,peimeter,meter,124
1,621,speculation,specu#l+ation,specification,124
2,622,factor,ftcaor,factor,124
3,623,essays,e[ssays,essays,124
4,624,even,enven,even,124
0,625,contradictory,ontradictory,inconsistent,125
1,626,essentially,ess)e#nti[ally,essentially,125
2,627,groups,gropus,group,125
3,628,aggregate,agregate,aggregate,125
4,629,input,inp-ut,input,125
0,630,investigates,invwstigztes,investment,126
1,631,find,_find,find,126
2,632,initially,initial~ly,initially,126
3,633,onto,ont,on,126
4,634,find,fnid,find,126
0,635,methods,mtohdes,motives,127
1,636,desired,desidered,desired,127
2,637,remote,remte,remote,127
3,638,continual,continuo,continuous,127
4,639,worrying,worying,worrying,127
0,640,present,pesent,present,128
1,641,nucleon,nucl3on,nucleon,128
2,642,limit,liimt,limit,128
3,643,recoil,recol,recolour,128
4,644,estimated,emseiattd,mesothelioma,128
0,645,inner,inenr,Inner,129
1,646,article,Articel,Article,129
2,647,advances,advanc3s,Advances,129
3,648,rigorously,riboro8sly,Ribosyl,129
4,649,data,dtaa,Data,129
0,650,size,szie,size,130
1,651,circular,"circ8,ar",circle,130
2,652,multiple,mutliple,multiple,130
3,653,whether,whheter,whether,130
4,654,faster,f}ast'er,faster,130
0,655,method,metho,method,131
1,656,large,Lan,land,131
2,657,arising,aisng,singing,131
3,658,dimensional,di)mension;al,dimensional,131
4,659,ensure,esunre,sunrise,131
0,660,points,ppoints,points,132
1,661,finally,fnlialy,fully,132
2,662,leads,leeds,lead,132
3,663,simpler,sim^pler,simple,132
4,664,consequently,cons_e'quent<ly,consequentially,132
0,665,asymptotic,aopymtsitc,optimistic,133
1,666,case,ca*se,case,133
2,667,shell,slhel,shelf,133
3,668,better,?b$e#t[ter,beautiful,133
4,669,accuracy,acacurcy,accuracy,133
0,670,consistent,onsstent,tent,134
1,671,parameter,pa-ra`m=eter,parameter,134
2,672,excellent,ex~ce]lle|nt,excellent,134
3,673,digital,di>gita#l,digital,134
4,674,learning,linanerg,lanigan,134
0,675,combine,cmbine,combine,135
1,676,circular,cir^cular,circular,135
2,677,footing,fitonog,fitonogue,135
3,678,test,/test,test,135
4,679,easily,eisaly,ease,135
0,680,individual,idniivdaul,identify,136
1,681,recognition,recogniti0n,recognition,136
2,682,public,$publ;ic,public,136
3,683,labeling,labelng,labeling,136
4,684,scratch,srctcah,source,136
0,685,gpus,gups,pugs,137
1,686,sequence,"s/eq{uen]c,e",queen,137
2,687,respect,rpecest,crest,137
3,688,sets,ets,set,137
4,689,reduction,redution,reduction,137
0,690,proposed,p\roposed,proposed,138
1,691,causal,>causal,causal,138
2,692,continuous,continuus,continuous,138
3,693,understand,andestand,stand,138
4,694,boundary,bundary,boundary,138
0,695,last,lsat,Lust,139
1,696,fixed,fi(xe:d,Fixed,139
2,697,applications,appz,Apples,139
3,698,versatility,vrgsatil9ty,Virgins,139
4,699,supernova,sopervnua,Soup,139
0,700,exploring,exrloring,exploring,140
1,701,zone,zne,zone,140
2,702,voltage,vaogtle,vogue,140
3,703,mounted,m[ounted,mounted,140
4,704,cluster,clutr,clutter,140
0,705,particularly,Paticularly,particularly,141
1,706,provide,prowided,provided,141
2,707,vivid,vigid,vigilant,141
3,708,complementary,co>mplementary,complementary,141
4,709,score,sco_re,score,141
0,710,rate,rtae,rate,142
1,711,proper,pr(oper,operator,142
2,712,elevated,eeltaved,deleted,142
3,713,cyclotron,cyclotro,cyclotron,142
4,714,case,casue,cause,142
0,715,landau,lahdau,ladder,143
1,716,typically,talyiplcy,table,143
2,717,dimension,dnosimien,simulation,143
3,718,moments,+m^ome*n$ts,computer,143
4,719,superconducting,superconucti,superconductor,143
0,720,scarcity,"s*carci,t>y",carcass,144
1,721,lacking,lcking,locking,144
2,722,efficient,"effic`ie;n""t",efficient,144
3,723,reference,rrfeenece,refrigerator,144
4,724,rather,[[rathen,rather,144
0,725,data,datas,data,145
1,726,performances,perfomances,performance,145
2,727,symbols,sboylms,boils,145
3,728,prediction,pecdioitrn,product,145
4,729,near,nier,night,145
0,730,possible,poosible,possible,146
1,731,outperforms,out[srforms,outforms,146
2,732,leverage,lgrveaee,large,146
3,733,token,tekon,teak,146
4,734,calphad,cal[phad,cable,146
0,735,sets,ets,set,147
1,736,compton,$compto`n,company,147
2,737,based,bsead,lead,147
3,738,reduction,}reduc/tion,reduction,147
4,739,obtained,oteniabd,abandon,147
0,740,special,spcial,special,148
1,741,achieve,ahieve,achieve,148
2,742,either,eit\her,either,148
3,743,burge,~bu>r!ge,burge,148
4,744,comprising,ciismrnopg,crisis,148
0,745,opinion,oinipon,ocean,149
1,746,flow,&f'lo?w,flow,149
2,747,difficult,difficlt,difficult,149
3,748,towards,towads,wards,149
4,749,magnification,magnivicatioh,magnification,149
0,750,line,!l{i`n]e,line,150
1,751,decision,=d[e(cisi+on,decision,150
2,752,splendor,sp/lend'o?r,spendor,150
3,753,temporally,teparlolmy,parlor,150
4,754,study,sudy,study,150
