,clean,perturbed,legibility_score,legible,predicted,batch
4,religions,religľcns,4.051266,,religious,13
0,garcia,gәrcia,4.858491,True,garcia,14
1,fairfield,fairfiȅlü,0.69829893,False,fairfield,14
2,tours,Torus,2.0335793,,tower,14
3,textbooks,tɵйͳbőeks,-0.9600353,,toyboxes,14
4,sought,saughth,,,south,14
0,medical,mêսɪćaɫ,-0.9171149,True,musical,15
1,growing,ɡrowing,1.6638894,,growing,15
2,introducing,intȓoḩᔐᕍing,-1.1135367,True,investing,15
3,thru,thrue,,,true,15
4,inspired,շnsęΙreӫ,-1.9278816,,shines,15
0,speaking,speakingh,,,speech,16
1,travelling,tainrlevlg,4.908233,,trailing,16
2,comparing,comproming,2.8875313,,compromise,16
3,commands,ᴄommänɗß,0.38852927,,committee,16
4,sure,suuureeee,0.7637043,,surely,16
0,disabled,daleibsd,4.1078887,,dialysis,17
1,expression,expressione's,,,expressions,17
2,psychiatry,psýↀɥǐаtry,0.5682104,,psychiatry,17
3,printed,prrinnted,,,printed,17
4,python,pythob,0.9656745,,python,17
0,allows,alƖ□ⳙs,1.0482446,True,alls,18
1,sand,saŉđ,2.7540672,,sand,18
2,mycorrhizal,McCaralley'sv,,,McCarthy's,18
3,only,only,,,only,18
4,spider,spided,4.7032146,,spied,18
0,meta,metae,,,medium,19
1,movie,movℑe,0.09448522,,move,19
2,double,doublee,3.1357741,,double,19
3,webster,webſter,1.6776322,,website,19
4,year,yaer,4.671417,,year,19
0,midnight,midnight,4.6963024,True,midnight,20
1,males,Mayles,-1.4505162,,Miles,20
2,katrina,kattrina,,,Katrina,20
3,sends,sendas,4.3947086,,sends,20
4,medicines,ↀ⋷ᴐiວ႞nes,-2.763312,False,provinces,20
0,peoples,peᴏpḷeS,3.950958,False,populations,21
1,cognitive,Cogիїtive,2.442729,True,cognitive,21
2,porsche,Porsche,1.2255555,,Porsche,21
3,stuffed,st7ffee,1.5625461,,staff,21
4,retention,ŕêṱëƞƫiøn,1.2336664,,retirement,21
0,favor,favar,,,favor,22
1,peoples,peǿples,0.9205144,,people,22
2,disposition,disposition,4.8785253,,disposition,22
3,determine,deterine,4.8984294,,determine,22
4,transcripts,?t_r<a_nscript_s,0.15447456,,script,22
0,celtic,Xeltic,,,exotic,23
1,graham,gήẹham,-0.7026713,False,geham,23
2,evans,ȇväňs,2.1552706,,vens,23
3,efficient,ėfϊioiӫnt,-1.9151884,,efficient,23
4,overseas,owveerseas,,,overseas,23
0,databases,daₜabaßes,0.3762958,,database,24
1,jelsoft,jelsoft,4.6799574,,software,24
2,patricia,pátricia,4.443466,,patricia,24
3,highlighted,higlighted,4.7828217,,highlighted,24
4,clay,dlat,1.5447332,,data,24
0,instruction,INSTRUCTION,-1.4138817,,instruction,25
1,studying,stuqying,2.0778809,False,studying,25
2,loan,lona,4.593236,,alone,25
3,emerald,emwrald,1.9139088,,emerald,25
4,full,FuLl,2.243592,,full,25
0,played,playd,4.600442,,played,26
1,efficiency,Efficiency,3.8053396,,efficiency,26
2,environmental,en_v#ir/on#m'ent]al,-0.0135458,,availability,26
3,corporations,corporations,4.55942,,corporation,26
4,curve,curʪe,0.3435588,,curse,26
0,healing,ɦealing,3.5867364,,healing,27
1,distinction,dïs˕inϭtion,0.22093752,,disinction,27
2,david,DAvid,-0.35980782,,David,27
3,photographer,րcotograҫhɵr,2.2915869,,robotographer,27
4,perfume,pe>rfume,2.2524326,,perfume,27
0,porter,portɞr,3.0983348,,port,28
1,exams,exåms,3.0261328,,exams,28
2,fish,fhises,2.7645009,,fishes,28
3,roger,rogerr,,,roger,28
4,florist,florist,4.870085,,florist,28
0,essex,e'sces,,,excess,29
1,stuffed,stuffe,4.471527,,stuff,29
2,gzip,giesp's,,,geese,29
3,calculation,čaƚℂúŀäƫion,-0.48153913,,chaos,29
4,sussex,SushiX,-1.2159474,,sushi,29
0,meter,mԑẗeႰ,-0.9092879,True,mistake,30
1,aims,Ains,-2.2566264,,ains,30
2,sims,Sims',,,sims,30
3,murder,murkered',,,murdered,30
4,prototype,protitipe,,,protip,30
0,spread,sprẻad,4.287149,True,spread,31
1,ongoing,onգò⥙ῃg,-2.7038515,False,kg,31
2,update,update,3.529374,True,update,31
3,shelf,shеlf,4.312754,True,shell,31
4,tribes,tribez,,,tribe,31
0,sort,aort,1.2784443,,heart,32
1,flat,flot,0.0052145454,,float,32
2,clothing,clothings,4.718145,,clothes,32
3,border,horder,3.065675,,horde,32
4,benchmark,bencmark,4.199861,,benchmark,32
0,lightweight,liyhtweight,3.1453898,,lightweight,33
1,phones,PHoNeS,-2.1666446,,phones,33
2,animated,animbatted,,,animated,33
3,pornographic,pornographi,3.9913092,,pornography,33
4,queue,qϋeùe,-0.41657972,,queue,33
0,cart,ⴢɛr╉,-3.1443791,False,standard,34
1,standards,Standarts,4.929992,,standards,34
2,click,Clik,1.612336,,click,34
3,promise,promise,4.966765,,promise,34
4,independence,independante,4.5615335,,independent,34
0,port,porait,0.15900666,,portrait,35
1,ultra,u<l!t'r|a,-1.2272887,,ulterior,35
2,beam,beem,4.4085875,,beam,35
3,world,wojld,0.60916775,,wold,35
4,meta,Ṅe≮a,-1.6567014,True,neighbor,35
0,parliament,parlament,3.4546316,,parliament,36
1,circumstances,circunstances,4.875987,,circumstances,36
2,circus,cïrℂus,1.2576123,,circle,36
3,referred,refered,,,referred,36
4,brain,vra9n,-0.4164194,,vrain,36
0,namely,namely,4.4761386,,manly,37
1,risk,Rijk,1.3652221,,king,37
2,stayed,stäyed,3.9282,,stood,37
3,viewpicture,veuwtiripce,3.1133282,,viewership,37
4,referrals,(re'ferral+s,1.8815523,,referrals,37
0,litter,litting,0.90881044,,lighting,38
1,guinea,ginea,,,Ghana,38
2,xerox,Xerox,4.0246067,,"Xerox"" (no change)",38
3,shōnen,s(hōn=en,0.024244763,,shone,38
4,bold,bould,-0.27518255,,boulder,38
0,davidson,davₗ♃son,0.3864693,True,danson,39
1,guides,guidȩs,4.3176346,True,guides,39
2,reprints,ryperints,,,riperints,39
3,celebrity,celebbritei,,,celebrity,39
4,namely,namḜlỲ,-2.0012197,,Namibia,39
0,type,t!ype,0.648333,,type,40
1,keyword,keihard,0.62232894,,keyboard,40
2,jamaica,jԀǌσica,-0.8288796,,Japanese,40
3,footwear,footᷱear,2.6415896,,footwear,40
4,qualify,qualifie,2.2997708,,qualify,40
0,viewpicture,viewpicture,,,view picture,41
1,sacramento,sacrument,,,instrument,41
2,rounds,ronds,4.8817873,,rounds,41
3,import,impert,4.618469,,impert,41
4,signatures,ӟignđtures,-0.06324128,,adventures,41
0,rose,rosé,3.3585231,,rose,42
1,seal,@seal,-0.1769724,,seal,42
2,deeply,deϱⱰḹᒘ,-1.7758267,True,desert,42
3,emerald,e^merald,2.4505188,,emerald,42
4,principle,priniciple,4.814046,,principle,42
0,wood,wϭod,0.44136626,,wood,43
1,magnificent,ma↋nifḷc⫔nt,-0.62751067,True,mainframe,43
2,picture,ƥicͭure,-0.14254563,,secure,43
3,trained,ʥѓuinɒd,-2.4080272,,database,43
4,cisco,psyach,,,psych,43
0,gamma,Gama,0.6212919,,game,44
1,extent,exteny,1.2897595,,extensive,44
2,namespace,namespace,,,namespace,44
3,burns,brns,3.962595,,burns,44
4,responses,respijwes,0.2836062,,responsible,44
0,cellular,celular,4.8933225,,cellular,45
1,workforce,warkfforce,,,workforce,45
2,rounds,ROUNDS,-1.7892398,,rounds,45
3,sellers,selers,5.109375,,sellers,45
4,gamecube,gam>ecube,1.5924876,,game cube,45
0,celebrate,cailebraite,,,castle,46
1,skiing,skyping,,,skying,46
2,ford,fprf,0.4803191,,proof,46
3,pollution,poulation,4.2144017,,population,46
4,indexes,īᑎрвxвэ,-3.070392,False,information,46
0,rubber,r;ub.b^er,-0.021773007,,robbers,47
1,recognize,recɒXր;ze,-0.97789645,,recycle,47
2,anxiety,aՈxiety,3.7566843,True,anxiety,47
3,taxi,Tasi,0.5849642,,taste,47
4,workforce,workᷫɵrçe,0.6569568,,workforce,47
0,year,yir,,,iron,48
1,couple,ɛoupíɵ,-2.540358,,oupe,48
2,lounge,ˡoעnge,-0.27536675,False,angle,48
3,missouri,meissouri,,,Missouri,48
4,fatal,fatel,,,fate,48
0,transportation,Transportation,3.0910423,,transportation,49
1,neil,ηeīl,1.6810582,,heel,49
2,outlook,outlo▢k,3.9802892,True,lookout,49
3,setting,settingedf,,,defense,49
4,bang,Bang,-0.3051011,,bang,49
0,graphics,grapics,4.8385224,,graphics,50
1,assets,Asstes,0.90809405,,assets,50
2,arizona,Arisona,,,Arizona,50
3,zinc,ZINC,-1.333148,,zinc,50
4,counted,ℂõuƞₜed,-0.09879549,,census,50
0,informative,INFORMATIVE,-1.9424485,,informative,51
1,magnificent,Magnificient,1.8896582,,magnificent,51
2,greece,grece,4.8968716,,Greece,51
3,dutch,Deutch,0.13800305,,German,51
4,dishes,deshes,4.7398567,,deserts,51
0,indicator,indecator,,,indicator,52
1,boston,boston,4.842908,,Boston,52
2,continent,Continent,4.645204,,continent,52
3,tenant,Ӻĕnånť,-0.079001516,,Jenny,52
4,actress,ჴcᵗɚesಽ,-0.93555254,False,chest,52
0,treat,tήeat,1.1139475,False,tea,53
1,seasonal,seasoal,4.870549,,seaweed,53
2,analyses,a/n|al\yses,-0.40740472,,analyses,53
3,well,wclї,-0.98997897,,wheel,53
4,networks,network'sk,,,networks,53
0,concern,Եonceɚn,1.1016549,False,Once upon a time,54
1,retro,retro,4.922962,True,retro,54
2,clay,ɢīay,-0.9367249,True,gay,54
3,teaching,tèachiɳg,3.1094983,,teacher,54
4,transportation,transportonate,,,transportation,54
0,featuring,featshurin,,,feature,55
1,authorization,əᶸthՕɾŀzaṭiՕn,-1.088829,True,authorization,55
2,cells,clles,4.9178977,,clothes,55
3,galaxy,]g-alaxy,3.2364879,,galaxy,55
4,cardiff,caediff,1.5660248,,difficulty,55
0,japan,jpaan,4.3526616,,Japan,56
1,election,electin,4.623942,,election,56
2,repeat,repeat,4.7571316,,repeat,56
3,personal,personalle,4.5738535,,personal,56
4,workforce,worrkfforce,,,workforce,56
0,tender,ƫender,4.916203,,sender,57
1,anyway,aņyŵáý,2.045876,,anyway,57
2,business,buɢinesc,0.07044791,,business,57
3,anthony,anthon,4.43156,,anthony,57
4,teeth,teeᵗh,1.8777152,True,theft,57
0,drop,Ⅾrop,-0.07622396,True,crop,58
1,pokemon,pokenon,3.8209488,,nonpoke,58
2,publication,pȕbɭìcâtioŉ,-0.76070607,,computer,58
3,counted,ͨøūnƭeđ,-0.20291187,,cloud,58
4,proven,roven,3.9225583,,rover,58
0,violent,violentedl,,,violent,59
1,corresponding,corresponidng,4.5274906,,corresponding,59
2,felt,fĕˡţ,0.094227836,,feet,59
3,commons,commins,,,communism,59
4,sculpture,ssculppture,,,sculpture,59
0,hunt,hunvedd,,,hunting,60
1,suited,suited,4.9458747,,suits,60
2,which,Whixh,-0.6855804,,which,60
3,kernel,kerne;,2.3291943,,knee,60
4,bike,bic,,,,60
0,personal,pnraeosl,3.4177868,,principal,61
1,circumstances,circumstannesse,,,circumstance,61
2,marijuana,maḥ℩jῡana,-0.9547129,False,majesty,61
3,jenny,genny,,,genie,61
4,façades,façades,4.7294436,,facades,61
0,quick,quic,,,Quick,62
1,killer,ƙǐller,3.3437252,,Killer,62
2,abroad,a℔rȭǟd,-0.03562587,,Hard,62
3,exam,eaxam,,,Exam,62
4,alternatives,alternativest,,,Alternatives,62
0,offensive,Offensive,3.551797,,offensive,63
1,learned,learnd,,,learn,63
2,killer,Kϫlleh,-0.53570616,,Khullah,63
3,jamaica,ḭamaica,3.8640928,False,Jamaica,63
4,unlock,unluck,3.7900295,,unlucky,63
0,boots,bkots,3.4331083,,books,64
1,robbie,robvie,3.3178208,,robbie,64
2,convention,cunvenshon,,,conversation,64
3,substitute,Substitute,4.771179,,substitute,64
4,navigator,naviǵaſoՒ,2.080782,,navigation,64
0,withdrawal,withdtawal,4.674078,,withdrawal,65
1,developers,devilvirus,1.7174239,,devil virus,65
2,anthony,ANTHONY,-2.359367,,Anthony,65
3,namely,namelyy,,,namely,65
4,interested,inntteresteed,,,interested,65
0,rubber,rubbere,,,rubber,66
1,voters,vothers,1.1330564,,others,66
2,porter,poṟteṟ,4.696307,True,portrait,66
3,agreed,^agr/eed,0.2863226,,agree,66
4,planes,Pleins,-2.2010572,,pleins,66
0,coordinates,coordonates,3.8321934,,coordinates,67
1,futures,fǔtuԻьŝ,0.38973138,,futures,67
2,rose,wrase,,,waste,67
3,rehabilitation,rehabilỉtation,2.2898407,True,rehabilitation,67
4,double,dOubLe,1.3387158,,doubt,67
0,cornell,chornell,,,"chornell"" (no change)",68
1,emissions,emissłonæ,0.32116392,,emissional,68
2,tanzania,TANZANIA,-2.9506516,,Tanzania,68
3,porsche,bortchess,,,boardgame,68
4,london,londra,3.5069523,,London,68
0,algorithms,algoratism'sf,,,algorithm,69
1,jeremy,jeгeϕӌ,-1.4290166,,juggler,69
2,introduced,introducted,4.4322767,,introduced,69
3,turkish,ᵗurkⁱsh,3.0046747,False,urchin,69
4,advertisement,advertizing,1.8847916,,advertising,69
0,attaché,ațtaɛhé,3.9614158,,attention,70
1,savage,SaVaGe,0.48893285,,saveage,70
2,signatures,siƹnatបres,-0.6894934,True,sinceres,70
3,loans,lɵanσ,-0.5086065,,loans,70
4,discrimination,decrimination,3.919458,,discrimination,70
0,sides,ͼŀdeȯ,-2.5489104,,style,71
1,cities,citys,3.087385,,cities,71
2,evaluations,e\valuat\io%ns,1.984009,,evaluations,71
3,fitting,fittibg,1.0466198,,fitting,71
4,lifestyle,lifestylevel,,,lifestyle level,71
0,slope,s>lope,1.7461599,,slope,72
1,partners,partneŕs,3.2626066,,partners,72
2,hungary,hungaĥ¼,0.54827315,,hangover,72
3,cruz,ƈɾuz,2.5918784,,russia,72
4,hardware,hɐrdware,4.561754,,hardware,72
0,israeli,esrael,,,Israel,73
1,somewhere,somewehre,4.8626165,,somewhere,73
2,maintaining,máïntainȉnĝ,3.234462,,mountain,73
3,berkeley,beerkeley,,,Berkeley,73
4,parks,parrks,,,parks,73
0,selecting,seilisting,4.719675,,listing,74
1,viewpicture,view0icture,0.87509257,,view picture,74
2,surveys,ₛurvĕyₛ,-0.9372458,,survey,74
3,neither,nēіther,2.419698,,neither,74
4,directed,dⲓґected,1.4868126,True,disconnected,74
0,anthony,Antoni,-1.597126,,Andoni,75
1,dated,dǟtēd,1.7830535,,dated,75
2,contrast,conttrastt,,,contrast,75
3,others,oters,4.3826714,,others,75
4,venture,venturè,3.854324,,venture,75
0,sure,s0re,0.21365708,,sore,76
1,input,inpu☦,1.4480392,False,inspire,76
2,costumes,costuuuuumes,2.7731645,,costumes,76
3,wrist,wrist,4.9675303,,wrist,76
4,hotmail,hotmail,4.760611,,hotmail,76
0,scholarships,schoǏärshiҏs,2.7963228,,schools,77
1,hosted,hoated,3.9945629,,hoard,77
2,guest,Muesϊ,-2.0972185,,Muse,77
3,solar,sola,4.040198,,solo,77
4,prerequisite,οreheρuisiťe,1.0968877,,orchestra,77
0,fairy,fairy,4.847158,True,fairy,78
1,wishing,wisning,4.693988,,wisning,78
2,stops,stoµs,1.1404852,False,stops,78
3,manuals,maիualɜ,-0.24215968,,mailian,78
4,ferry,farry,,,fare,78
0,symposium,şчᲅpοşᶖ∪ᲅ,1.3484011,True,shoppers,79
1,impressive,IMPRESSIVE,-1.4328746,,impressive,79
2,displayed,discipled,1.2839545,,disciples,79
3,vessels,vessells,,,vessels,79
4,appeals,aeplpas,3.8120742,,apples,79
0,firm,fiηm,1.9054617,False,firm,80
1,washing,washing,4.765594,,washing,80
2,vera,vɝȓᶏ,-0.13676253,,vibrant,80
3,library,Lirary,1.0646011,,library,80
4,marie,ₘaȑɨe,-2.0162425,,chaos,80
0,taxation,ₜaxaₜiôƞ,1.312193,,axiom,81
1,framework,fræmḂwᎠ༼ჸ,-1.9599979,False,frame,81
2,environmental,ӫnϼironmʚnɩal,1.0119551,,ironman,81
3,well,wlel,4.9930654,,wheel,81
4,tenant,tenaсճ,0.03955708,,tennis,81
0,risk,rick,,,rich,82
1,anne,agnne,,,again,82
2,viewpicture,viewpicture,3.735208,,view picture,82
3,replaces,rβῃ༏aceⳍ,-2.6473687,,race,82
4,pregnant,ϸregnant,4.711176,True,pregnant,82
0,freeze,fre'eze,1.6438514,,freeze,83
1,viewpicture,viewpjcture,3.5916426,,viewpoint,83
2,annotation,annytation,,,animation,83
3,immigrants,im♏igⁿants,2.39808,True,immigrants,83
4,bikes,bike'se,,,bikes,83
0,barbados,bbarrbados,,,barbados,84
1,provide,drovīde,2.6030328,True,video,84
2,manufacture,manufactur,4.510605,,manufacturer,84
3,kernel,Kernell,4.4392557,,kernel,84
4,intelligence,intelligenceThere,3.2107105,,intelligence,84
0,excuse,escuse,4.6999745,,excuse,85
1,menu,menu,4.706045,True,menu,85
2,bits,buts,,,buts,85
3,varies,ѣaries,0.6555306,,ears,85
4,emotional,emotḷonal,3.4372,True,emotional,85
0,costume,costumev,,,costume,86
1,tribes,tribus,0.81770796,,tribe,86
2,forums,foruns,4.0680366,,forums,86
3,scholarships,schoalrships,4.9269996,,shipwrecks,86
4,meet,mEt,3.1123397,,met,86
0,kept,keeped,3.7980666,,keep,87
1,début,datab',,,database,87
2,distinction,distinctionedh,,,distinguished,87
3,indexes,ỉnά⍷x⍷Ⳅ,-1.244813,False,inbox,87
4,protégé,protégé,4.6024117,,protege,87
0,exam,EXAM,-2.262816,,exam,88
1,hanging,hanging,,,hanging,88
2,invest,invesst,,,invest,88
3,understood,understՕod,4.1765656,False,understood,88
4,writings,writtings,,,writings,88
0,celebrate,celebrationMe,1.3821508,,celebration,89
1,leads,lĕåds,0.6857628,,loads,89
2,wave,wav,4.509877,,wave,89
3,difficult,dificul,4.8178096,,difficult,89
4,funding,fhonding,,,finding,89
0,yield,yieldl,,,yield,90
1,marco,marck,2.6540117,,mark,90
2,flow,flkw,4.260348,,flow,90
3,smithsonian,ſmithſߐniáᴺ,-1.7486341,,Smithsonian,90
4,excited,exicited,4.764997,,excited,90
0,participating,partecipating,3.8121076,,participating,91
1,taxi,taxy,,,taxi,91
2,amenities,amenities,4.997335,,amenity,91
3,guinea,guinie,,,guinea,91
4,nail,NAIL,-2.61676,,nail,91
0,barbados,baɍbađoſ,-0.2520263,,babies,92
1,phillips,philipps,4.924866,,philippines,92
2,coordinates,coardinates,,,coordinates,92
3,identifies,idekntiphies,,,identities,92
4,proven,proveen,,,proven,92
0,pennsylvania,pᶒnnşylvania,3.7755184,True,Pennsylvania,93
1,doll,dll,4.536049,,dell,93
2,carter,ckarter,,,cker,93
3,find,FIIND,-2.428471,,find,93
4,relocation,rielohcation,,,relocation,93
0,group,gɼôųp,2.577778,,group,94
1,commons,Commons,4.0269103,,common,94
2,combines,compaines,2.1499631,,companies,94
3,examples,ƨӿʚmples,0.85543716,,samples,94
4,trusts,tstrus,4.9319654,,trusts,94
0,skype,scype,,,type,95
1,oliver,oḻiᏙeɼ,3.9097059,False,oil,95
2,society,socjety,4.017347,,society,95
3,stop,stoppppp,4.517766,,stop,95
4,attending,attendìng,3.8868883,,attending,95
0,impressive,imρԻeԍsiVė,2.0737216,,impressive,96
1,burns,Ouřns,1.0241746,False,ours,96
2,contained,c.o<ntain;e-d,-0.09201712,,contained,96
3,penalties,pnalties,4.1355367,,penalties,96
4,cleveland,ɞlɘݍelɵիօ,-2.9896107,False,delicious,96
0,photographer,φႶo☨๐ǵՒaφh⋸r,-0.50039285,False,phosphorus,97
1,password,PASSWORD,-2.8830078,,password,97
2,nonprofit,nonprofitsNot,1.780554,,non-profit,97
3,deutsche,deutsce,4.797249,,ducks,97
4,frequency,Frequence,3.5400393,,frequency,97
0,beverage,DevԐṛaՅe,-1.6446078,False,device,98
1,server,servar,,,server,98
2,clark,claʙk,1.0446709,,black,98
3,wishes,wishe/s,1.800931,,wishes,98
4,galleries,Galleries,1.6620195,,galleries,98
0,limitation,llimiteation,,,limitation,99
1,edges,օϋgeɔ,-3.0078135,,ocean,99
2,shipment,shipmint,4.566817,,shipment,99
3,boss,℔oss,0.060695693,,hope,99
4,pocket,pockett,,,pocket,99
0,productivity,productibity,3.2184727,,productivity,100
1,header,hₑaḋer,1.8260387,,hacker,100
2,patio,patiaux,,,patio,100
3,weapon,veapon,2.5173743,,weapon,100
4,computation,cmputaion,4.2091208,,computation,100
0,border,Border,1.7142508,,border,101
1,physicians,ϼᏺyᘌic℩áղᘌ,-2.8136747,False,cybersecurity,101
2,dōjin,dōjin,3.3136685,,dojo,101
3,offensive,offenzive,,,offensive,101
4,treat,trut,0.33923393,,truth,101
0,queue,queee,4.1310897,,queen,102
1,illustrated,їlḷụStraẗed,3.3304923,True,steady,102
2,exports,exportación,1.0850362,,exportation,102
3,starts,Starts,4.8035383,,starts,102
4,fatal,faẗaḻ,2.2524405,True,faith,102
0,licence,licence,4.9547753,,license,103
1,mixture,mixttiere,,,mixer,103
2,distinction,ӓչǝͱinctioŕ,-1.7150928,,attachment,103
3,valium,VALIUM,-2.4773655,,valium,103
4,yeah,Yeah,1.3816136,,yeah,103
0,sides,sidious,-1.0249612,,suspicious,104
1,michigan,mīcʜℑgࠡn,-1.5613238,,microwave,104
2,allied,Ald,-0.68315613,,old,104
3,bridges,briedgez,,,bridges,104
4,husband,husbannedc,,,husband,104
0,wood,WOOD,-2.7295482,,wood,105
1,flooring,foliorng,4.744268,,forest,105
2,achievement,achiviement,4.933093,,achievement,105
3,placement,plasment,3.399799,,placenta,105
4,mask,mzsk,1.8424716,,mask,105
0,modular,woǒůlөɦ,-2.7242444,,wolf,106
1,scared,scaed,5.048252,,scared,106
2,guidelines,ϵuide⦌in8s,-0.65804225,False,guide,106
3,reasons,reasoᥟs,3.6388633,True,reasons,106
4,euros,[e\uros,0.8066358,,euro,106
0,transmit,transm~i}t,2.0831301,,transmit,107
1,atomic,aotimc,4.3428555,,award,107
2,retention,rɵteŕճion,1.5412471,,retirement,107
3,talented,talenƪed,2.9000142,,talented,107
4,tournaments,toaurenntms,4.411842,,toothbrushes,107
0,proof,qπoof,-1.5281799,,proof,108
1,tags,ags,4.570225,,"ags"" (no change)",108
2,celtic,cteilc,4.7273903,,center,108
3,system,syst[e%m,1.2664014,,system,108
4,bios,bioc,,,,108
0,papua,p(apua,1.6203369,,papua,109
1,hacker,հãcƙɛr,2.0236268,,hackers,109
2,flow,ťíow,0.6338056,,tips,109
3,marie,maᖘie,2.4638634,False,miracle,109
4,answered,aswer,4.2441974,,answer,109
0,toward,toword,,,tower,110
1,occurring,oėcqńńiḩƴ,-2.8739784,False,computer,110
2,apollo,APOLLO,-3.1490388,,Apollo,110
3,lies,lıes,4.6418123,,lies,110
4,personal,perSONAl,0.017942695,,personal,110
0,uganda,udnaga,4.314804,,underground,111
1,animals,aNiMaLs,-1.4584554,,animals,111
2,informative,informativelyt,,,informatively,111
3,finally,ḟinally,4.2994437,,finally,111
4,imagination,ȋₘâgiɳatīon,1.2631886,,information,111
0,registration,registration,4.838233,,registration,112
1,sulfide,Sul℄iḍe,0.846634,,sulfide,112
2,attached,aftaƨhed,1.393885,,affected,112
3,garmin,Mȧrmɬɾ,-2.2693696,,marrow,112
4,acre,acker,,,actor,112
0,phones,pօɛԵ¤s,-1.2206812,,poets,113
1,ohio,o\hio,0.40151843,,Ohio,113
2,jersey,jeesry,4.758843,,journey,113
3,thru,thu,3.8426774,,thought,113
4,ware,ware,4.983086,,ware,113
0,watched,wặtcŋed,1.2382679,True,wanted,114
1,graphical,graphical,4.9420886,,graphic,114
2,travelling,traveilling,4.871245,,traveling,114
3,satisfaction,Satisfation,4.570029,,satisfaction,114
4,bacon,bac-on,2.758561,,back on,114
0,preston,presyoh,2.441009,,psych,115
1,persecuted,perᶊࠝcuted,2.5272706,,perfected,115
2,allied,allieded's',,,allotted,115
3,cooler,cleoor,3.067835,,clear,115
4,washing,washeng,,,washing,115
0,bride,brde,4.682115,,bird,116
1,mate,mayte,3.37452,,mate,116
2,frequencies,Ƥreqȧenōŀeə,-1.7052462,,pregnant,116
3,wishes,wiches,3.7725823,,witches,116
4,approximately,ȃppro×ĺmatᏮly,0.76760083,True,approximately,116
0,flow,Ŧloⳙ,0.50525796,True,thought,117
1,sand,saըⰚ,-1.3526503,False,science,117
2,dispatched,dispatthed,,,displaced,117
3,cooler,coler,4.8552704,,color,117
4,thru,threw,,,through,117
0,atomic,atomiic,,,atomic,118
1,timer,tomet,0.9092433,,tomato,118
